 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.67 , 0.60 , 0.60 , 1.44 , 1.06 , 0.80 , 1.21 , 2.72 , 1.13 , 0.97 , 1.77 , 1.66 , 1.24 , 1.24 , 1.54 , 1.25 
 1960 , 0.74 , 0.70 , 0.60 , 1.17 , 1.07 , 0.70 , 1.03 , 1.90 , 1.09 , 0.98 , 1.52 , 1.34 , 0.46 , 1.33 , 1.37 , 1.02 
 1970 , 0.72 , 0.68 , 0.59 , 0.80 , 1.12 , 0.65 , 1.00 , 1.40 , 1.16 , 1.02 , 1.40 , 1.04 , 0.62 , 1.07 , 1.17 , 0.87 
 1980 , 0.79 , 0.73 , 0.66 , 0.87 , 1.12 , 0.66 , 0.99 , 1.33 , 1.04 , 1.09 , 1.15 , 1.09 , 0.60 , 1.00 , 1.11 , 0.84 
 1990 , 0.96 , 0.98 , 0.90 , 1.05 , 0.99 , 0.86 , 1.20 , 1.08 , 1.02 , 1.05 , 1.03 , 1.11 , 0.81 , 1.05 , 1.00 , 1.06 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.07 , 1.07 , 1.07 , 0.98 , 1.01 , 1.09 , 0.99 , 1.07 , 1.00 , 0.99 , 1.01 , 0.98 , 1.12 , 0.99 , 1.01 , 1.04 
 2020 , 1.15 , 1.16 , 1.12 , 1.00 , 1.02 , 1.15 , 1.08 , 1.19 , 1.03 , 1.02 , 1.03 , 1.00 , 1.17 , 1.02 , 1.04 , 1.12 
 2030 , 1.19 , 1.21 , 1.16 , 1.03 , 1.05 , 1.20 , 1.14 , 1.24 , 1.09 , 1.08 , 1.06 , 1.03 , 1.20 , 1.08 , 1.10 , 1.19 
 2040 , 1.22 , 1.24 , 1.19 , 1.05 , 1.08 , 1.30 , 1.23 , 1.29 , 1.18 , 1.17 , 1.11 , 1.08 , 1.25 , 1.17 , 1.19 , 1.29 
 2050 , 1.25 , 1.27 , 1.22 , 1.08 , 1.10 , 1.36 , 1.28 , 1.32 , 1.20 , 1.19 , 1.13 , 1.10 , 1.28 , 1.19 , 1.21 , 1.32 
 2060 , 1.27 , 1.29 , 1.24 , 1.09 , 1.12 , 1.38 , 1.31 , 1.31 , 1.17 , 1.15 , 1.13 , 1.09 , 1.27 , 1.15 , 1.18 , 1.28 
 2070 , 1.29 , 1.31 , 1.26 , 1.11 , 1.13 , 1.40 , 1.33 , 1.31 , 1.14 , 1.13 , 1.13 , 1.10 , 1.27 , 1.13 , 1.15 , 1.25 
 2080 , 1.31 , 1.33 , 1.28 , 1.13 , 1.15 , 1.41 , 1.33 , 1.32 , 1.13 , 1.11 , 1.14 , 1.10 , 1.28 , 1.11 , 1.13 , 1.23 
 2090 , 1.33 , 1.35 , 1.29 , 1.14 , 1.17 , 1.41 , 1.33 , 1.33 , 1.12 , 1.10 , 1.14 , 1.11 , 1.29 , 1.10 , 1.12 , 1.22 
 2100 , 1.37 , 1.39 , 1.33 , 1.18 , 1.20 , 1.44 , 1.37 , 1.37 , 1.14 , 1.12 , 1.17 , 1.14 , 1.33 , 1.12 , 1.14 , 1.24 
