 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.67 , 0.60 , 0.60 , 1.42 , 1.05 , 0.80 , 1.21 , 2.72 , 1.12 , 0.97 , 1.76 , 1.65 , 1.24 , 1.21 , 1.51 , 1.25 
 1960 , 0.74 , 0.70 , 0.60 , 1.16 , 1.06 , 0.70 , 1.03 , 1.90 , 1.08 , 0.98 , 1.51 , 1.33 , 0.46 , 1.30 , 1.34 , 1.02 
 1970 , 0.72 , 0.68 , 0.59 , 0.79 , 1.11 , 0.65 , 1.00 , 1.40 , 1.15 , 1.01 , 1.38 , 1.03 , 0.62 , 1.05 , 1.15 , 0.87 
 1980 , 0.79 , 0.73 , 0.66 , 0.86 , 1.11 , 0.66 , 0.99 , 1.33 , 1.04 , 1.09 , 1.14 , 1.08 , 0.60 , 0.98 , 1.08 , 0.84 
 1990 , 0.96 , 0.98 , 0.90 , 1.04 , 0.98 , 0.86 , 1.20 , 1.08 , 1.01 , 1.04 , 1.02 , 1.10 , 0.81 , 1.03 , 0.98 , 1.06 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.07 , 1.07 , 1.07 , 1.05 , 1.07 , 1.09 , 0.99 , 1.07 , 1.06 , 1.05 , 1.07 , 1.04 , 1.12 , 1.14 , 1.16 , 1.04 
 2020 , 1.14 , 1.15 , 1.11 , 1.14 , 1.16 , 1.13 , 1.07 , 1.23 , 1.16 , 1.14 , 1.20 , 1.17 , 1.17 , 1.39 , 1.41 , 1.12 
 2030 , 1.15 , 1.16 , 1.12 , 1.19 , 1.21 , 1.14 , 1.08 , 1.39 , 1.23 , 1.22 , 1.31 , 1.27 , 1.21 , 1.61 , 1.65 , 1.20 
 2040 , 1.15 , 1.16 , 1.12 , 1.22 , 1.24 , 1.14 , 1.08 , 1.51 , 1.30 , 1.28 , 1.41 , 1.37 , 1.24 , 1.81 , 1.84 , 1.26 
 2050 , 1.15 , 1.16 , 1.12 , 1.24 , 1.26 , 1.14 , 1.08 , 1.61 , 1.35 , 1.33 , 1.51 , 1.46 , 1.27 , 1.98 , 2.01 , 1.31 
 2060 , 1.15 , 1.16 , 1.12 , 1.25 , 1.28 , 1.14 , 1.08 , 1.70 , 1.38 , 1.37 , 1.58 , 1.54 , 1.28 , 2.13 , 2.17 , 1.34 
 2070 , 1.15 , 1.16 , 1.12 , 1.26 , 1.29 , 1.14 , 1.08 , 1.78 , 1.42 , 1.40 , 1.66 , 1.62 , 1.29 , 2.29 , 2.34 , 1.37 
 2080 , 1.15 , 1.16 , 1.12 , 1.27 , 1.30 , 1.14 , 1.08 , 1.85 , 1.44 , 1.42 , 1.73 , 1.68 , 1.30 , 2.44 , 2.49 , 1.40 
 2090 , 1.15 , 1.17 , 1.12 , 1.28 , 1.31 , 1.15 , 1.08 , 1.90 , 1.45 , 1.43 , 1.77 , 1.72 , 1.31 , 2.55 , 2.60 , 1.41 
 2100 , 1.17 , 1.19 , 1.14 , 1.30 , 1.33 , 1.16 , 1.10 , 1.94 , 1.47 , 1.46 , 1.81 , 1.76 , 1.34 , 2.62 , 2.68 , 1.43 
 2110 , 1.19 , 1.21 , 1.16 , 1.33 , 1.36 , 1.19 , 1.12 , 1.98 , 1.50 , 1.49 , 1.85 , 1.79 , 1.36 , 2.68 , 2.73 , 1.46 
 2120 , 1.22 , 1.23 , 1.19 , 1.36 , 1.39 , 1.21 , 1.14 , 2.02 , 1.53 , 1.52 , 1.88 , 1.83 , 1.39 , 2.73 , 2.78 , 1.49 
 2130 , 1.24 , 1.26 , 1.21 , 1.38 , 1.41 , 1.23 , 1.17 , 2.06 , 1.57 , 1.55 , 1.92 , 1.86 , 1.42 , 2.79 , 2.84 , 1.52 
 2140 , 1.27 , 1.29 , 1.24 , 1.41 , 1.44 , 1.26 , 1.19 , 2.10 , 1.60 , 1.58 , 1.96 , 1.90 , 1.45 , 2.84 , 2.90 , 1.55 
 2150 , 1.29 , 1.31 , 1.26 , 1.44 , 1.47 , 1.28 , 1.22 , 2.14 , 1.63 , 1.61 , 2.00 , 1.94 , 1.48 , 2.90 , 2.96 , 1.58 
 2160 , 1.32 , 1.34 , 1.29 , 1.47 , 1.50 , 1.31 , 1.24 , 2.19 , 1.66 , 1.64 , 2.04 , 1.98 , 1.51 , 2.96 , 3.02 , 1.61 
