 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF   , SSA  , SIS  
 1950 , 0.59 , 0.59 , 0.59 , 0.61 , 0.59 , 0.60 , 0.59 , 0.59 , 0.60 , 0.59 , 0.60 , 0.60 , 0.60 , 0.60  , 0.60 , 0.63 
 1960 , 0.76 , 0.77 , 0.76 , 0.79 , 0.77 , 0.75 , 0.76 , 0.75 , 0.75 , 0.76 , 0.76 , 0.76 , 0.76 , 0.77  , 0.76 , 0.75 
 1970 , 0.91 , 0.92 , 0.91 , 0.93 , 0.91 , 0.91 , 0.91 , 0.91 , 0.90 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91  , 0.91 , 0.94 
 1980 , 1.06 , 1.08 , 1.07 , 1.07 , 1.07 , 1.06 , 1.07 , 1.07 , 1.06 , 1.06 , 1.06 , 1.06 , 1.07 , 1.06  , 1.07 , 1.06 
 1990 , 1.22 , 1.23 , 1.21 , 1.21 , 1.22 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21  , 1.22 , 1.25 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00  , 1.00 , 1.00 
 2010 , 1.08 , 1.28 , 1.08 , 1.11 , 0.74 , 1.00 , 1.17 , 1.41 , 1.37 , 1.18 , 1.19 , 1.33 , 1.14 , 1.38  , 1.43 , 1.13 
 2020 , 1.14 , 1.64 , 1.09 , 1.11 , 0.74 , 1.39 , 1.47 , 1.92 , 1.77 , 1.46 , 1.36 , 1.64 , 1.27 , 1.84  , 1.75 , 1.25 
 2030 , 1.27 , 1.54 , 1.09 , 1.14 , 0.77 , 1.31 , 1.65 , 2.58 , 2.13 , 1.79 , 1.57 , 1.85 , 1.49 , 2.43  , 1.90 , 1.38 
 2040 , 1.34 , 1.38 , 1.08 , 1.18 , 0.78 , 1.22 , 1.69 , 3.51 , 2.40 , 1.96 , 1.77 , 2.01 , 1.77 , 3.25  , 2.34 , 1.50 
 2050 , 1.34 , 1.64 , 1.06 , 1.21 , 0.77 , 1.17 , 1.67 , 4.54 , 2.58 , 2.16 , 2.00 , 2.14 , 2.08 , 4.06  , 2.81 , 1.63 
 2060 , 1.39 , 1.79 , 1.04 , 1.21 , 0.90 , 1.16 , 1.92 , 5.63 , 2.77 , 2.37 , 2.14 , 2.32 , 2.42 , 4.25  , 3.44 , 1.75 
 2070 , 1.42 , 1.87 , 1.05 , 1.21 , 1.07 , 1.23 , 2.25 , 6.30 , 3.00 , 2.59 , 2.02 , 2.68 , 2.76 , 3.94  , 4.00 , 1.88 
 2080 , 1.52 , 2.03 , 1.10 , 1.25 , 1.29 , 1.36 , 2.52 , 5.88 , 3.29 , 2.77 , 1.91 , 2.77 , 3.12 , 4.38  , 4.23 , 1.94 
 2090 , 1.70 , 2.28 , 1.19 , 1.32 , 1.51 , 1.47 , 2.66 , 5.11 , 3.56 , 3.27 , 1.88 , 2.74 , 3.41 , 5.04  , 4.27 , 2.00 
