 Year , USA , CAN , WEU , JPK , ANZ , EEU , FSU  , MDE , CAM , SAM , SAS , SEA , CHI , NAF , SSA , SIS 
 1950 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1960 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1970 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1980 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1990 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 2000 , 8   , 8   , 6   , 0   , 6   , 0   , 100  , 0   , 39  , 355 , 51  , 152 , 92  , 0   , 245 , 0   
 2010 , 13  , 13  , 13  , 0   , 13  , 0   , 200  , 0   , 32  , 284 , 41  , 124 , 165 , 0   , 315 , 0   
 2020 , 8   , 8   , 8   , 0   , 8   , 0   , 30   , 0   , 20  , 180 , 6   , 19  , 25  , 0   , 200 , 0   
 2030 , 5   , 5   , 5   , 0   , 5   , 0   , 10   , 0   , 16  , 144 , 15  , 45  , 60  , 0   , 160 , 0   
 2040 , 0   , 0   , 0   , 0   , 0   , 0   , -60  , 0   , 15  , 131 , 21  , 64  , 85  , 0   , 145 , 0   
 2050 , -3  , -3  , -3  , 0   , -3  , 0   , -130 , 0   , 13  , 117 , 31  , 94  , 125 , 0   , 130 , 0   
 2060 , 3   , 3   , 3   , 0   , 3   , 0   , -110 , 0   , 13  , 113 , 20  , 60  , 80  , 0   , 125 , 0   
 2070 , 15  , 15  , 15  , 0   , 15  , 0   , -90  , 0   , 12  , 104 , 14  , 41  , 55  , 0   , 115 , 0   
 2080 , 28  , 28  , 28  , 0   , 28  , 0   , -70  , 0   , 11  , 95  , 13  , 38  , 50  , 0   , 105 , 0   
 2090 , 23  , 23  , 23  , 0   , 23  , 0   , -50  , 0   , 10  , 86  , 18  , 53  , 70  , 0   , 95  , 0   
 2100 , 18  , 18  , 18  , 0   , 18  , 0   , -30  , 0   , 8   , 72  , 24  , 71  , 95  , 0   , 80  , 0   
 2110 , 16  , 16  , 16  , 0   , 16  , 0   , -27  , 0   , 7   , 65  , 21  , 64  , 86  , 0   , 72  , 0   
 2120 , 14  , 14  , 14  , 0   , 14  , 0   , -24  , 0   , 6   , 58  , 19  , 57  , 76  , 0   , 64  , 0   
 2130 , 12  , 12  , 12  , 0   , 12  , 0   , -21  , 0   , 6   , 50  , 17  , 50  , 67  , 0   , 56  , 0   
 2140 , 11  , 11  , 11  , 0   , 11  , 0   , -18  , 0   , 5   , 43  , 14  , 43  , 57  , 0   , 48  , 0   
 2150 , 9   , 9   , 9   , 0   , 9   , 0   , -15  , 0   , 4   , 36  , 12  , 36  , 48  , 0   , 40  , 0   
 2160 , 7   , 7   , 7   , 0   , 7   , 0   , -12  , 0   , 3   , 29  , 10  , 29  , 38  , 0   , 32  , 0   
 2170 , 5   , 5   , 5   , 0   , 5   , 0   , -9   , 0   , 2   , 22  , 7   , 21  , 29  , 0   , 24  , 0   
 2180 , 4   , 4   , 4   , 0   , 4   , 0   , -6   , 0   , 2   , 14  , 5   , 14  , 19  , 0   , 16  , 0   
 2190 , 2   , 2   , 2   , 0   , 2   , 0   , -3   , 0   , 1   , 7   , 2   , 7   , 10  , 0   , 8   , 0   
 2200 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2210 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2220 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2230 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2240 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2250 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2260 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2270 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2280 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2290 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2300 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
