 Year , USA , CAN , WEU , JPK , ANZ , EEU , FSU , MDE , CAM , SAM , SAS , SEA , CHI , NAF , SSA , SIS 
 1950 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1960 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1970 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1980 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1990 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 2000 , 2   , 2   , 0   , 0   , 0   , 0   , 0   , 0   , 43  , 386 , 51  , 154 , 94  , 0   , 280 , 0   
 2010 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 39  , 347 , 43  , 128 , 170 , 0   , 385 , 0   
 2020 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 43  , 383 , 49  , 146 , 195 , 0   , 425 , 0   
 2030 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 42  , 378 , 44  , 131 , 175 , 0   , 420 , 0   
 2040 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 39  , 351 , 35  , 105 , 140 , 0   , 390 , 0   
 2050 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 36  , 320 , 28  , 83  , 110 , 0   , 355 , 0   
 2060 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 26  , 234 , 19  , 56  , 75  , 0   , 260 , 0   
 2070 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 16  , 144 , 10  , 30  , 40  , 0   , 160 , 0   
 2080 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 11  , 95  , 5   , 15  , 20  , 0   , 105 , 0   
 2090 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 9   , 81  , 4   , 11  , 15  , 0   , 90  , 0   
 2100 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 8   , 72  , 3   , 8   , 10  , 0   , 80  , 0   
 2110 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 7   , 65  , 2   , 7   , 9   , 0   , 72  , 0   
 2120 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 6   , 58  , 2   , 6   , 8   , 0   , 64  , 0   
 2130 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 6   , 50  , 2   , 5   , 7   , 0   , 56  , 0   
 2140 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 5   , 43  , 2   , 5   , 6   , 0   , 48  , 0   
 2150 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 4   , 36  , 1   , 4   , 5   , 0   , 40  , 0   
 2160 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 3   , 29  , 1   , 3   , 4   , 0   , 32  , 0   
 2170 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 2   , 22  , 1   , 2   , 3   , 0   , 24  , 0   
 2180 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 2   , 14  , 1   , 2   , 2   , 0   , 16  , 0   
 2190 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 1   , 7   , 0   , 1   , 1   , 0   , 8   , 0   
 2200 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2210 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2220 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2230 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2240 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2250 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2260 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2270 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2280 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2290 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2300 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
