 Year , USA , CAN , WEU , JPK , ANZ , EEU , FSU , MDE , CAM , SAM , SAS , SEA , CHI , NAF , SSA , SIS 
 1950 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1960 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1970 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1980 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 1990 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 2000 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175 , 0   
 2010 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 44  , 400 , 56  , 169 , 18  , 0   , 164 , 0   
 2020 , 3   , 3   , 0   , 0   , 0   , 0   , 0   , 0   , 41  , 373 , 53  , 158 , 17  , 0   , 153 , 0   
 2030 , 2   , 2   , 0   , 0   , 0   , 0   , 0   , 0   , 38  , 341 , 48  , 144 , 15  , 0   , 140 , 0   
 2040 , 2   , 2   , 0   , 0   , 0   , 0   , 0   , 0   , 33  , 301 , 42  , 127 , 13  , 0   , 124 , 0   
 2050 , 2   , 2   , 0   , 0   , 0   , 0   , 0   , 0   , 29  , 262 , 37  , 111 , 12  , 0   , 108 , 0   
 2060 , 1   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 23  , 203 , 29  , 86  , 9   , 0   , 83  , 0   
 2070 , 1   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 16  , 144 , 20  , 61  , 6   , 0   , 59  , 0   
 2080 , 1   , 1   , 0   , 0   , 0   , 0   , 0   , 0   , 9   , 85  , 12  , 36  , 4   , 0   , 35  , 0   
 2090 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 3   , 26  , 4   , 11  , 1   , 0   , 11  , 0   
 2100 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , -4  , -33 , -5  , -14 , -1  , 0   , -13 , 0   
 2110 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2120 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2130 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2140 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2150 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2160 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2170 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2180 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2190 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2200 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2210 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2220 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2230 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2240 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2250 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2260 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2270 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2280 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2290 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
 2300 , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
