 -    , Î±           , Î´    , Î²           
 USA  , 0.000120686 , 0.04 , 0.2912144   
 CAN  , 0.000169725 , 0.04 , 0.063117456 
 WEU  , 0.000209185 , 0.04 , 0.121209462 
 JPK  , 1.04096E-05 , 0.04 , 0.114939831 
 ANZ  , 0.000276264 , 0.21 , 0.116317932 
 EEU  , 4.58675E-05 , 0.04 , 0.050081393 
 FSU  , 4.4056E-05  , 0.04 , 0.12684268  
 MDE  , 1.56247E-05 , 0.04 , 0.052986905 
 CAM  , 4.4056E-05  , 0.04 , 0.12684268  
 SAM  , 3.57676E-06 , 0.21 , 0.046527794 
 SAS  , 0.000550631 , 0.21 , 0.204864801 
 SEA  , 6.27064E-05 , 0.04 , 0.08572204  
 CHI  , 0.000167734 , 0.04 , 0.114203457 
 NAF  , 2.81278E-07 , 0.04 , 0.038346516 
 SSA  , 0.000550631 , 0.04 , 0.204864801 
 SIS  , 0.000426887 , 0.13 , 1.577927496 
