 -     , 65-        , -           , -           , -          , 65+        , -            , -             , -         
       , Linear     ,             , Quadratic   ,            , Linear     ,              , Quadratic     ,           
 USA   , 151.6768   , (3.4583)    , -155.1251   , (2.8292)   , -161.4521  , (62.3397)    , 2.8314        , (62.3080) 
 CAN   , 195.6424   , (3.4583)    , -199.0906   , (2.8292)   , -205.4176  , (62.3397)    , 2.8314        , (62.3080) 
 WEU   , 19.2327    , (1.2716)    ,  -21.7191   , (1.0403)   , -145.9539  , (23.8362)    , 2.8279        , (23.8241) 
 JPK   , 65.5934    , (3.5211)    ,  -67.1850   , (2.8805)   , -33.6830   , (24.9641)    , 1.2018        , (24.9514) 
 ANZ   , 67.1775    , (2.9403)    ,  -68.9576   , (2.4054)   , -91.0606   , (53.2451)    , 2.8314        , (53.2180) 
 EEU   , 61.4840    , (1.5395)    ,  -65.2217   , (1.2594)   , -201.8789  , (27.0842)    , 2.8314        , (27.0704) 
 FSU   , -3.4422    , (3.4583)    ,    0.0473   , (2.8292)   , -190.3936  , (62.3397)    , 2.8314        , (62.3080) 
 MDE   , -2.4508    , (1.5732)    ,    0.0457   , (1.2870)   , -136.8033  , (30.2768)    , 2.7443        , (30.2614) 
 CAM   , -0.6855    , (2.6117)    ,   -0.4840   , (2.1366)   , -54.1635   , (45.5739)    , 2.7085        , (45.5507) 
 SAM   , 16.6942    , (1.8829)    ,  -18.2021   , (1.5404)   , -78.4126   , (32.7397)    , 2.8094        , (32.7230) 
 SAS   , -1.6072    , (2.6242)    ,    0.0473   , (2.1468)   , -80.2320   , (51.2055)    , 2.8314        , (51.1794) 
 SEA   , -0.6838    , (1.4722)    ,    0.0413   , (1.2044)   , 12.0899    , (12.0535)    , -1.1081       , (12.0474) 
 CHI   , 81.1077    , (3.4522)    ,  -84.8815   , (2.8242)   , -66.6796   , (43.8249)    , 2.0193        , (43.8025) 
 NAF   , -1.9826    , (1.9196)    ,    0.0473   , (1.5704)   , -102.4339  , (35.4522)    , 2.8314        , (35.4341) 
 SSA   , -1.0407    , (0.9609)    ,    0.0448   , (0.7861)   , -49.9700   , (16.5999)    , 2.6771        , (16.5915) 
 SIS   , 1.6035     , (1.1897)    ,   -2.3428   , (0.9733)   , -10.4503   , (7.4943)     , 0.5138        , (7.4905)  
