 -     , 65-      , -         , -         , -        , 65+      , -         , -         , -          
       , linear   ,           , quadratic ,          , linear   ,           , quadratic ,            
 USA   , 1.0988   , (1.0738)  , 0.0471    , (0.8815) , 34.9374  , (42.9155) , 1.7285    , (35.2319)  
 CAN   , 1.0705   , (1.0738)  , 0.0471    , (0.8815) , 27.3280  , (42.9155) , 1.7285    , (35.2319)  
 WEU   , 0.4022   , (0.4226)  , 0.0467    , (0.3469) , 25.7570  , (17.8447) , 1.7966    , (14.6498)  
 JPK   , 1.0356   , (1.1234)  , 0.0559    , (0.9223) , 8.2986   , (17.7713) , 0.7493    , (14.5895)  
 ANZ   , 0.4493   , (0.9147)  , 0.0470    , (0.7509) , 18.8372  , (36.7267) , 1.7286    , (30.1512)  
 EEU   , 0.6119   , (0.4767)  , 0.0470    , (0.3914) , 29.6249  , (18.8672) , 1.7531    , (15.4893)  
 FSU   , 0.6468   , (1.0738)  , 0.0471    , (0.8815) , 36.4415  , (42.9155) , 1.7285    , (35.2319)  
 MDE   , 1.0931   , (0.4791)  , 0.0452    , (0.3933) , 50.5493  , (20.6547) , 1.7011    , (16.9568)  
 CAM   , 0.9144   , (0.8887)  , 0.0471    , (0.7296) , 44.7697  , (34.4286) , 1.6620    , (28.2646)  
 SAM   , 0.5893   , (0.5874)  , 0.0470    , (0.4823) , 33.7621  , (23.0347) , 1.7535    , (18.9106)  
 SAS   , 1.6317   , (0.8373)  , 0.0470    , (0.6874) , 74.5092  , (36.2131) , 1.7378    , (29.7296)  
 SEA   , 0.8545   , (0.4641)  , 0.0411    , (0.3810) , -18.7223 , (8.1867)  , -0.6683   , (6.7210)   
 CHI   , 0.7565   , (1.0335)  , 0.0474    , (0.8485) , 82.0355  , (29.0776) , 1.2095    , (23.8716)  
 NAF   , 1.0409   , (0.5662)  , 0.0471    , (0.4648) , 50.4842  , (23.0206) , 1.7096    , (18.8991)  
 SSA   , 0.8682   , (0.3408)  , 0.0440    , (0.2798) , 43.4397  , (13.5145) , 1.6578    , (11.0949)  
 SIS   , 1.0227   , (0.4957)  , 0.0324    , (0.4070) , 16.9938  , (8.0489)  , 0.4223    , (6.6079)   
