 -   , Linear   , -         , Quadratic , -        
 USA , 0.9452   , (6.7337)  , 0.4342    , (5.5281) 
 CAN , -1.9284  , (6.7337)  , 0.4342    , (5.5281) 
 WEU , -0.7650  , (2.4863)  , 0.4341    , (2.0412) 
 JPK , 0.4185   , (5.8130)  , 0.4342    , (4.7723) 
 ANZ , 0.2579   , (5.7279)  , 0.4342    , (4.7024) 
 EEU , -1.2946  , (2.9883)  , 0.4342    , (2.4533) 
 FSU , 1.5277   , (6.7337)  , 0.4342    , (5.5281) 
 MDE , 5.6711   , (3.0690)  , 0.4194    , (2.5196) 
 CAM , 3.8894   , (5.0789)  , 0.4342    , (4.1696) 
 SAM , 1.0893   , (3.6563)  , 0.4335    , (3.0017) 
 SAS , 10.2485  , (5.1264)  , 0.4342    , (4.2086) 
 SEA , 4.8562   , (3.2809)  , 0.4339    , (2.6935) 
 CHI , 4.4083   , (6.5634)  , 0.4319    , (5.3883) 
 NAF , 5.1980   , (3.7408)  , 0.4341    , (3.0711) 
 SSA , 3.6196   , (1.8681)  , 0.411     , (1.5337) 
 SIS , 4.1354   , (2.0330)  , 0.2522    , (1.6690) 
