 -    , Malaria  , Schistosomiasis  , Dengue fever  , Cardiovascular  , Respiratory 
 USA  , 0.0000   , 0.0000           , 0.0000        , 0.9609          , 8.7638      
 CAN  , 0.0000   , 0.0000           , 0.0000        , 0.9609          , 8.7638      
 WEU  , 0.0000   , 0.0000           , 0.0000        , 0.9609          , 8.7638      
 JPK  , 0.0000   , 0.0000           , 0.0000        , 0.9609          , 8.7638      
 ANZ  , 0.0000   , 0.0000           , 0.0000        , 0.9609          , 8.7638      
 EEU  , 0.0000   , 0.0000           , 0.0000        , 0.8986          , 11.8101     
 FSU  , 0.0000   , 0.0000           , 0.0000        , 0.8986          , 11.8101     
 MDE  , 24.8571  , 51.5000          , 0.0000        , 1.3459          , 21.8098     
 CAM  , 4.5714   , 69.0000          , 0.0000        , 1.2548          , 22.1552     
 SAM  , 4.5714   , 69.0000          , 0.0000        , 1.2548          , 22.1552     
 SAS  , 16.3462  , 0.0000           , 0.2500        , 1.3879          , 16.5094     
 SEA  , 3.2727   , 6.0000           , 0.4286        , 1.3729          , 20.0541     
 CHI  , 0.0000   , 11.0000          , 0.0000        , 1.2399          , 8.3072      
 NAF  , 24.8571  , 51.5000          , 0.0000        , 1.3459          , 21.8098     
 SSA  , 3.6940   , 293.7500         , 0.0000        , 1.3301          , 21.5857     
 SIS  , 4.5714   , 69.0000          , 0.0000        , 1.2548          , 22.1552     
