 Region , Malaria (Baseáµƒ) , Malaria (Impactáµ‡) , Dengue fever (Baseáµƒ) , Dengue fever (Impactáµ‡) , Schistosomiasis (Baseáµƒ) , Schistosomiasis (Impactáµ‡) 
USA     , 0.023           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.007                   , -0.1149 (0.0614)          
CAN     , 0.023           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.007                   , -0.1149 (0.0614)          
WEU     , 0.240           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.020                   , -0.1149 (0.0614)          
JPK     , 2.358           , 0.0794 (0.0575)   , 0.125                , 0.3534 (0.0614)        , 0.423                   , -0.1149 (0.0614)          
ANZ     , 0.069           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.037                   , -0.1149 (0.0614)          
EEU     , 0.377           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.012                   , -0.1149 (0.0614)          
FSU     , 0.133           , 0.0794 (0.0575)   , 0.000                , 0.3534 (0.0614)        , 0.003                   , -0.1149 (0.0614)          
MDE     , 24.113          , 0.0794 (0.0575)   , 0.286                , 0.3534 (0.0614)        , 4.229                   , -0.1149 (0.0614)          
CAM     , 2.913           , 0.0794 (0.0575)   , 0.508                , 0.3534 (0.0614)        , 1.235                   , -0.1149 (0.0614)          
SAM     , 3.090           , 0.0794 (0.0575)   , 0.541                , 0.3534 (0.0614)        , 1.217                   , -0.1149 (0.0614)          
SAS     , 48.413          , 0.0794 (0.0575)   , 6.896                , 0.3534 (0.0614)        , 0.898                   , -0.1149 (0.0614)          
SEA     , 22.129          , 0.0794 (0.0575)   , 2.072                , 0.3534 (0.0614)        , 0.629                   , -0.1149 (0.0614)          
CHI     , 8.987           , 0.0794 (0.0575)   , 0.593                , 0.3534 (0.0614)        , 1.430                   , -0.1149 (0.0614)          
NAF     , 458.133         , 0.0794 (0.0575)   , 1.089                , 0.3534 (0.0614)        , 7.474                   , -0.1149 (0.0614)          
SSA     , 1414.284        , 0.0794 (0.0575)   , 0.351                , 0.3534 (0.0614)        , 8.275                   , -0.1149 (0.0614)          
SIS     , 116.586         , 0.0794 (0.0575)   , 1.010                , 0.3534 (0.0614)        , 1.296                   , -0.1149 (0.0614)          
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
