 -    , USA      , CAN      , WEU      , JPK      , ANZ      , EEU      , FSU      , MDE      , CAM     , SAM     , SAS     , SEA     , CHI     , NAF     , SSA     , SIS     
 USA  , 1.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.040    , 0.100   , 0.100   , 0.040   , 0.040   , 0.040   , 0.010   , 0.030   , 0.150   
      , (0.100)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.040)  , (0.100) , (0.100) , (0.040) , (0.040) , (0.040) , (0.010) , (0.030) , (0.150) 
 CAN  , 0.000    , 1.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.010    , 0.000   , 0.000   , 0.010   , 0.010   , 0.010   , 0.000   , 0.005   , 0.100   
      , (0.050)  , (0.100)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.010)  , (0.050) , (0.050) , (0.010) , (0.010) , (0.010) , (0.005) , (0.005) , (0.100) 
 WEU  , 0.000    , 0.000    , 1.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.040    , 0.000   , 0.000   , 0.040   , 0.020   , 0.020   , 0.090   , 0.060   , 0.150   
      , (0.020)  , (0.020)  , (0.100)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.040)  , (0.050) , (0.050) , (0.040) , (0.020) , (0.020) , (0.090) , (0.060) , (0.150) 
 JPK  , 0.000    , 0.000    , 0.000    , 1.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.005   , 0.010   , 0.010   , 0.000   , 0.000   , 0.050   
      , (0.010)  , (0.010)  , (0.010)  , (0.100)  , (0.010)  , (0.001)  , (0.001)  , (0.005)  , (0.010) , (0.010) , (0.005) , (0.010) , (0.010) , (0.001) , (0.001) , (0.050) 
 ANZ  , 0.000    , 0.000    , 0.000    , 0.000    , 1.000    , 0.000    , 0.000    , 0.010    , 0.000   , 0.000   , 0.005   , 0.020   , 0.020   , 0.000   , 0.005   , 0.150   
      , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.100)  , (0.010)  , (0.010)  , (0.010)  , (0.010) , (0.010) , (0.005) , (0.020) , (0.020) , (0.005) , (0.005) , (0.150) 
 EEU  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 1.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.100)  , (0.050)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) 
 FSU  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 1.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.100)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) 
 MDE  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.900    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.900)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) 
 CAM  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.900   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.100   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.900) , (0.005) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.100) 
 SAM  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.900   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.100   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.005) , (0.900) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.100) 
 SAS  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.900   , 0.000   , 0.000   , 0.000   , 0.000   , 0.100   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.900) , (0.005) , (0.001) , (0.001) , (0.001) , (0.100) 
 SEA  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.900   , 0.000   , 0.000   , 0.000   , 0.100   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.005) , (0.900) , (0.005) , (0.001) , (0.001) , (0.100) 
 CHI  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.900   , 0.000   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.900) , (0.001) , (0.001) , (0.001) 
 NAF  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.900   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.900) , (0.005) , (0.001) 
 SIS  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.900   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.900) , (0.001) 
 SIS  , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   , 0.000   
      , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.001) , (0.000) 
