 Region ,  Methane                     , Nitrous oxide                
 USA    , 5.74E-04 (4.15E-04 7.90E-04) , 2.14E-05 (1.91E-05 2.39E-05) 
 CAN    , 1.20E-03 (8.70E-04 1.64E-03) , 6.92E-05 (6.29E-05 7.60E-05) 
 WEU    , 3.71E-04 (2.34E-04 5.80E-04) , 7.26E-06 (6.60E-06 7.98E-06) 
 JPK    , 1.27E-04 (8.75E-05 1.84E-04) , 5.32E-07 (3.21E-07 8.57E-07) 
 ANZ    , 4.12E-03 (3.03E-03 5.57E-03) , 2.08E-04 (1.89E-04 2.29E-04) 
 EEU    , 3.90E-03 (2.81E-03 5.38E-03) , 9.39E-05 (8.89E-05 9.93E-05) 
 FSU    , 8.87E-03 (7.49E-03 1.05E-02) , 1.05E-05 (1.00E-05 1.10E-05) 
 MDE    , 6.32E-03 (4.86E-03 8.19E-03) , 1.05E-05 (1.00E-05 1.10E-05) 
 CAM    , 3.65E-03 (2.87E-03 4.62E-03) , 2.35E-04 (2.19E-04 2.53E-04) 
 SAM    , 2.75E-02 (1.81E-02 4.14E-02) , 1.05E-05 (1.00E-05 1.10E-05) 
 SAS    , 3.16E-02 (2.43E-02 4.08E-02) , 5.64E-04 (5.29E-04 6.01E-04) 
 SEA    , 1.43E-02 (1.06E-02 1.91E-02) , 2.55E-15 (2.16E-15 3.01E-15) 
 CHI    , 1.26E-02 (9.50E-03 1.67E-02) , 2.16E-05 (2.02E-05 2.30E-05) 
 NAF    , 1.43E-02 (1.06E-02 1.91E-02) , 1.05E-05 (1.00E-05 1.10E-05) 
 SSA    , 1.43E-02 (1.06E-02 1.91E-02) , 1.05E-05 (1.00E-05 1.10E-05) 
 SIS    , 1.43E-02 (1.06E-02 1.91E-02) , 1.05E-05 (1.00E-05 1.10E-05) 
