 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.57 , 0.44 , 0.79 , 0.60 , 0.49 , 0.70 , 0.62 , 0.25 , 0.27 , 0.33 , 0.34 , 0.35 , 0.43 , 0.31 , 0.28 , 0.43 
 1960 , 0.67 , 0.57 , 0.84 , 0.69 , 0.61 , 0.79 , 0.74 , 0.32 , 0.36 , 0.43 , 0.42 , 0.43 , 0.51 , 0.39 , 0.34 , 0.52 
 1970 , 0.75 , 0.68 , 0.91 , 0.79 , 0.73 , 0.86 , 0.83 , 0.43 , 0.50 , 0.56 , 0.53 , 0.55 , 0.65 , 0.50 , 0.44 , 0.64 
 1980 , 0.83 , 0.79 , 0.94 , 0.89 , 0.81 , 0.94 , 0.91 , 0.58 , 0.66 , 0.70 , 0.67 , 0.69 , 0.78 , 0.64 , 0.58 , 0.75 
 1990 , 0.91 , 0.89 , 0.97 , 0.96 , 0.87 , 0.99 , 0.99 , 0.80 , 0.82 , 0.85 , 0.83 , 0.85 , 0.90 , 0.82 , 0.77 , 0.87 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.06 , 1.07 , 1.02 , 1.03 , 1.07 , 1.00 , 1.00 , 1.17 , 1.21 , 1.19 , 1.15 , 1.13 , 1.10 , 1.21 , 1.24 , 1.18 
 2020 , 1.08 , 1.09 , 1.05 , 1.06 , 1.09 , 1.00 , 1.00 , 1.27 , 1.44 , 1.41 , 1.25 , 1.23 , 1.19 , 1.44 , 1.48 , 1.40 
 2030 , 1.09 , 1.10 , 1.05 , 1.06 , 1.10 , 0.99 , 0.99 , 1.36 , 1.65 , 1.63 , 1.33 , 1.31 , 1.27 , 1.66 , 1.71 , 1.62 
 2040 , 1.08 , 1.09 , 1.04 , 1.05 , 1.09 , 0.98 , 0.98 , 1.42 , 1.85 , 1.82 , 1.39 , 1.37 , 1.33 , 1.86 , 1.91 , 1.80 
 2050 , 1.06 , 1.07 , 1.03 , 1.04 , 1.07 , 0.96 , 0.96 , 1.46 , 2.01 , 1.98 , 1.43 , 1.41 , 1.37 , 2.02 , 2.08 , 1.97 
 2060 , 1.05 , 1.06 , 1.02 , 1.03 , 1.06 , 0.94 , 0.94 , 1.48 , 2.16 , 2.12 , 1.45 , 1.43 , 1.39 , 2.17 , 2.23 , 2.11 
 2070 , 1.04 , 1.05 , 1.00 , 1.01 , 1.05 , 0.93 , 0.93 , 1.50 , 2.27 , 2.24 , 1.47 , 1.45 , 1.41 , 2.28 , 2.35 , 2.22 
 2080 , 1.03 , 1.04 , 0.99 , 1.00 , 1.04 , 0.92 , 0.92 , 1.51 , 2.36 , 2.32 , 1.48 , 1.46 , 1.42 , 2.37 , 2.44 , 2.31 
 2090 , 1.02 , 1.03 , 0.99 , 1.00 , 1.03 , 0.91 , 0.91 , 1.52 , 2.42 , 2.39 , 1.49 , 1.47 , 1.43 , 2.44 , 2.50 , 2.37 
 2100 , 1.01 , 1.02 , 0.98 , 0.99 , 1.02 , 0.91 , 0.91 , 1.53 , 2.47 , 2.44 , 1.50 , 1.48 , 1.43 , 2.49 , 2.56 , 2.42 
 2110 , 1.01 , 1.02 , 0.98 , 0.99 , 1.02 , 0.90 , 0.90 , 1.54 , 2.52 , 2.49 , 1.51 , 1.49 , 1.44 , 2.54 , 2.61 , 2.47 
 2120 , 1.00 , 1.01 , 0.97 , 0.98 , 1.01 , 0.90 , 0.90 , 1.55 , 2.57 , 2.53 , 1.51 , 1.49 , 1.45 , 2.58 , 2.66 , 2.51 
