 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.57 , 0.44 , 0.79 , 0.60 , 0.49 , 0.70 , 0.62 , 0.25 , 0.27 , 0.33 , 0.34 , 0.35 , 0.43 , 0.31 , 0.28 , 0.43 
 1960 , 0.67 , 0.57 , 0.84 , 0.69 , 0.61 , 0.79 , 0.74 , 0.32 , 0.36 , 0.43 , 0.42 , 0.43 , 0.51 , 0.39 , 0.34 , 0.52 
 1970 , 0.75 , 0.68 , 0.91 , 0.79 , 0.73 , 0.86 , 0.83 , 0.43 , 0.50 , 0.56 , 0.53 , 0.55 , 0.65 , 0.50 , 0.44 , 0.64 
 1980 , 0.83 , 0.79 , 0.94 , 0.89 , 0.81 , 0.94 , 0.91 , 0.58 , 0.66 , 0.70 , 0.67 , 0.69 , 0.78 , 0.64 , 0.58 , 0.75 
 1990 , 0.91 , 0.89 , 0.97 , 0.96 , 0.87 , 0.99 , 0.99 , 0.80 , 0.82 , 0.85 , 0.83 , 0.85 , 0.90 , 0.82 , 0.77 , 0.87 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.06 , 1.06 , 1.01 , 1.07 , 1.11 , 1.01 , 1.00 , 1.23 , 1.15 , 1.13 , 1.16 , 1.15 , 1.09 , 1.23 , 1.27 , 1.13 
 2020 , 1.07 , 1.08 , 1.02 , 1.16 , 1.19 , 1.01 , 1.01 , 1.47 , 1.26 , 1.24 , 1.30 , 1.29 , 1.16 , 1.50 , 1.55 , 1.23 
 2030 , 1.08 , 1.09 , 1.03 , 1.20 , 1.24 , 1.02 , 1.01 , 1.67 , 1.34 , 1.32 , 1.42 , 1.41 , 1.20 , 1.75 , 1.80 , 1.31 
 2040 , 1.08 , 1.09 , 1.03 , 1.23 , 1.27 , 1.02 , 1.01 , 1.82 , 1.41 , 1.39 , 1.53 , 1.51 , 1.24 , 1.96 , 2.01 , 1.38 
 2050 , 1.07 , 1.08 , 1.02 , 1.25 , 1.30 , 1.01 , 1.01 , 1.94 , 1.47 , 1.44 , 1.64 , 1.61 , 1.26 , 2.14 , 2.20 , 1.43 
 2060 , 1.07 , 1.08 , 1.02 , 1.27 , 1.31 , 1.01 , 1.01 , 2.04 , 1.50 , 1.48 , 1.72 , 1.70 , 1.27 , 2.31 , 2.37 , 1.47 
 2070 , 1.06 , 1.07 , 1.01 , 1.28 , 1.32 , 1.00 , 1.00 , 2.15 , 1.54 , 1.52 , 1.81 , 1.78 , 1.28 , 2.49 , 2.56 , 1.50 
 2080 , 1.06 , 1.07 , 1.01 , 1.29 , 1.33 , 1.00 , 1.00 , 2.23 , 1.57 , 1.54 , 1.88 , 1.85 , 1.29 , 2.65 , 2.72 , 1.53 
 2090 , 1.06 , 1.07 , 1.01 , 1.30 , 1.34 , 1.00 , 1.00 , 2.27 , 1.57 , 1.55 , 1.91 , 1.89 , 1.30 , 2.75 , 2.83 , 1.54 
 2100 , 1.06 , 1.07 , 1.01 , 1.30 , 1.34 , 1.00 , 1.00 , 2.29 , 1.58 , 1.55 , 1.93 , 1.90 , 1.30 , 2.81 , 2.88 , 1.54 
 2110 , 1.06 , 1.07 , 1.01 , 1.30 , 1.34 , 1.00 , 1.00 , 2.30 , 1.58 , 1.55 , 1.93 , 1.91 , 1.30 , 2.83 , 2.91 , 1.54 
 2120 , 1.06 , 1.07 , 1.01 , 1.30 , 1.34 , 1.00 , 1.00 , 2.30 , 1.58 , 1.55 , 1.93 , 1.91 , 1.30 , 2.83 , 2.91 , 1.54 
