 -    , Damage       , Mortality   
 USA  , 0.001469567  , 3.90602E-07 
 CAN  , 7.35509E-06  , 4.8608E-09  
 WEU  , 1.72941E-08  , 2.12624E-09 
 JPK  , 0.000328676  , 5.43398E-07 
 ANZ  , 0.000100282  , 6.68407E-08 
 EEU  , 0            , 0           
 FSU  , 1.71639E-05  , 7.09183E-09 
 MDE  , 0            , 1.39312E-09 
 CAM  , 0.0017726    , 8.21967E-06 
 SAM  , 1.3063E-05   , 2.36703E-08 
 SAS  , 0.000936454  , 6.91678E-06 
 SEA  , 0.000414319  , 2.39815E-06 
 CHI  , 0.001972917  , 2.86767E-07 
 NAF  , 0            , 0           
 SSA  , 5.91057E-05  , 1.43921E-07 
 SIS  , 0.00573135   , 4.91454E-06 
