 Year , USA   , CAN   , WEU   , JPK   , ANZ   , EEU    , FSU    , MDE    , CAM    , SAM    , SAS    , SEA    , CHI    , NAF    , SSA    , SIS    
 1950 , 0.33  , 0.28  , 0.24  , 0.17  , 0.48  , 0.33   , 0.53   , 0.48   , 0.35   , 0.39   , 0.29   , 0.09   , 0.04   , 0.23   , 1.03   , 0.30   
 1960 , 0.39  , 0.37  , 0.32  , 0.23  , 0.54  , 0.44   , 0.69   , 0.60   , 0.50   , 0.54   , 0.31   , 0.15   , 0.05   , 0.33   , 1.12   , 0.40   
 1970 , 0.47  , 0.48  , 0.41  , 0.32  , 0.61  , 0.59   , 0.91   , 0.76   , 0.71   , 0.75   , 0.34   , 0.23   , 0.08   , 0.47   , 1.21   , 0.53   
 1980 , 0.57  , 0.63  , 0.54  , 0.44  , 0.68  , 0.78   , 1.20   , 0.96   , 1.01   , 1.04   , 0.36   , 0.35   , 0.12   , 0.67   , 1.30   , 0.71   
 1990 , 0.78  , 0.86  , 0.85  , 0.88  , 0.83  , 0.90   , 1.79   , 0.87   , 0.85   , 0.84   , 0.72   , 0.69   , 0.46   , 0.88   , 1.07   , 0.81   
 2000 , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   
 2010 , 1.20  , 1.21  , 1.20  , 1.20  , 1.21  , 1.09   , 1.13   , 1.53   , 1.40   , 1.39   , 1.79   , 1.84   , 1.90   , 1.40   , 1.38   , 1.44   
 2020 , 1.42  , 1.42  , 1.41  , 1.41  , 1.42  , 2.00   , 2.07   , 3.02   , 2.29   , 2.28   , 3.52   , 3.63   , 3.73   , 2.29   , 2.25   , 2.37   
 2030 , 1.66  , 1.67  , 1.66  , 1.66  , 1.67  , 3.40   , 3.52   , 5.33   , 3.62   , 3.60   , 6.20   , 6.40   , 6.59   , 3.62   , 3.57   , 3.75   
 2040 , 1.95  , 1.95  , 1.94  , 1.94  , 1.96  , 5.27   , 5.47   , 8.17   , 5.48   , 5.45   , 9.52   , 9.82   , 10.10  , 5.47   , 5.39   , 5.66   
 2050 , 2.29  , 2.30  , 2.28  , 2.29  , 2.30  , 7.57   , 7.85   , 12.14  , 7.78   , 7.74   , 14.14  , 14.60  , 15.02  , 7.77   , 7.66   , 8.04   
 2060 , 2.70  , 2.71  , 2.69  , 2.69  , 2.71  , 9.90   , 10.27  , 17.36  , 10.22  , 10.17  , 20.22  , 20.87  , 21.47  , 10.21  , 10.06  , 10.57  
 2070 , 3.17  , 3.18  , 3.16  , 3.16  , 3.18  , 12.82  , 13.31  , 24.34  , 13.29  , 13.22  , 28.36  , 29.28  , 30.11  , 13.28  , 13.09  , 13.74  
 2080 , 3.69  , 3.70  , 3.68  , 3.68  , 3.70  , 16.27  , 16.88  , 32.72  , 16.88  , 16.80  , 38.12  , 39.35  , 40.48  , 16.88  , 16.63  , 17.46  
 2090 , 4.28  , 4.28  , 4.26  , 4.26  , 4.29  , 20.40  , 21.16  , 42.96  , 21.17  , 21.07  , 50.05  , 51.67  , 53.15  , 21.16  , 20.85  , 21.90  
 2100 , 4.96  , 4.97  , 4.94  , 4.94  , 4.97  , 25.26  , 26.21  , 55.77  , 26.22  , 26.08  , 64.97  , 67.07  , 68.99  , 26.20  , 25.82  , 27.11  
 2110 , 5.74  , 5.75  , 5.72  , 5.73  , 5.76  , 30.65  , 31.80  , 70.92  , 31.82  , 31.66  , 82.62  , 85.29  , 87.73  , 31.80  , 31.33  , 32.90  
 2120 , 6.61  , 6.63  , 6.60  , 6.60  , 6.64  , 36.84  , 38.22  , 88.87  , 38.24  , 38.04  , 103.53 , 106.88 , 109.94 , 38.22  , 37.65  , 39.54  
 2130 , 7.58  , 7.60  , 7.56  , 7.56  , 7.61  , 43.84  , 45.48  , 109.75 , 45.51  , 45.27  , 127.86 , 131.99 , 135.77 , 45.48  , 44.81  , 47.06  
 2140 , 8.65  , 8.67  , 8.63  , 8.63  , 8.68  , 51.66  , 53.60  , 133.56 , 53.62  , 53.35  , 155.59 , 160.62 , 165.22 , 53.59  , 52.80  , 55.45  
 2150 , 9.82  , 9.84  , 9.80  , 9.80  , 9.86  , 60.28  , 62.54  , 160.15 , 62.57  , 62.25  , 186.57 , 192.60 , 198.11 , 62.54  , 61.61  , 64.70  
 2160 , 11.10 , 11.12 , 11.07 , 11.07 , 11.14 , 69.65  , 72.26  , 189.23 , 72.29  , 71.93  , 220.45 , 227.57 , 234.09 , 72.26  , 71.19  , 74.76  
 2170 , 12.48 , 12.50 , 12.44 , 12.44 , 12.52 , 79.68  , 82.67  , 220.32 , 82.71  , 82.29  , 256.66 , 264.95 , 272.54 , 82.67  , 81.44  , 85.53  
 2180 , 13.96 , 13.98 , 13.92 , 13.92 , 14.00 , 90.26  , 93.65  , 252.74 , 93.70  , 93.22  , 294.43 , 303.95 , 312.65 , 93.65  , 92.26  , 96.89  
 2190 , 15.54 , 15.57 , 15.49 , 15.50 , 15.59 , 101.25 , 105.05 , 285.68 , 105.10 , 104.56 , 332.80 , 343.56 , 353.39 , 105.04 , 103.49 , 108.68 
 2200 , 17.21 , 17.24 , 17.16 , 17.16 , 17.27 , 112.45 , 116.67 , 318.15 , 116.73 , 116.13 , 370.63 , 382.61 , 393.57 , 116.66 , 114.94 , 120.70 
 2210 , 18.97 , 19.01 , 18.92 , 18.93 , 19.04 , 123.99 , 128.65 , 350.81 , 128.71 , 128.05 , 408.68 , 421.89 , 433.97 , 128.64 , 126.74 , 133.09 
 2220 , 20.84 , 20.88 , 20.78 , 20.79 , 20.91 , 136.18 , 141.29 , 385.30 , 141.36 , 140.64 , 448.85 , 463.36 , 476.62 , 141.29 , 139.20 , 146.18 
 2230 , 22.80 , 22.84 , 22.73 , 22.74 , 22.87 , 148.98 , 154.57 , 421.50 , 154.64 , 153.85 , 491.02 , 506.89 , 521.40 , 154.56 , 152.28 , 159.91 
 2240 , 24.84 , 24.89 , 24.77 , 24.78 , 24.92 , 162.33 , 168.42 , 459.27 , 168.50 , 167.64 , 535.03 , 552.32 , 568.13 , 168.41 , 165.93 , 174.24 
 2250 , 26.96 , 27.01 , 26.88 , 26.89 , 27.05 , 176.18 , 182.79 , 498.45 , 182.88 , 181.94 , 580.67 , 599.44 , 616.60 , 182.78 , 180.08 , 189.10 
 2260 , 29.14 , 29.20 , 29.06 , 29.07 , 29.24 , 190.45 , 197.59 , 538.83 , 197.69 , 196.68 , 627.71 , 648.00 , 666.55 , 197.58 , 194.67 , 204.42 
 2270 , 31.38 , 31.44 , 31.29 , 31.30 , 31.49 , 205.06 , 212.75 , 580.17 , 212.86 , 211.77 , 675.87 , 697.71 , 717.69 , 212.75 , 209.60 , 220.11 
 2280 , 33.65 , 33.72 , 33.56 , 33.57 , 33.77 , 219.92 , 228.17 , 622.21 , 228.28 , 227.12 , 724.84 , 748.27 , 769.69 , 228.16 , 224.79 , 236.06 
