 Year , USA   , CAN   , WEU   , JPK   , ANZ   , EEU   , FSU   , MDE   , CAM   , SAM   , SAS   , SEA   , CHI   , NAF   , SSA   , SIS   
 1950 , 0.33  , 0.28  , 0.24  , 0.17  , 0.48  , 0.33  , 0.53  , 0.48  , 0.35  , 0.39  , 0.29  , 0.09  , 0.04  , 0.23  , 1.03  , 0.30  
 1960 , 0.39  , 0.37  , 0.32  , 0.23  , 0.54  , 0.44  , 0.69  , 0.60  , 0.50  , 0.54  , 0.31  , 0.15  , 0.05  , 0.33  , 1.12  , 0.40  
 1970 , 0.47  , 0.48  , 0.41  , 0.32  , 0.61  , 0.59  , 0.91  , 0.76  , 0.71  , 0.75  , 0.34  , 0.23  , 0.08  , 0.47  , 1.21  , 0.53  
 1980 , 0.57  , 0.63  , 0.54  , 0.44  , 0.68  , 0.78  , 1.20  , 0.96  , 1.01  , 1.04  , 0.36  , 0.35  , 0.12  , 0.67  , 1.30  , 0.71  
 1990 , 0.78  , 0.86  , 0.85  , 0.88  , 0.83  , 0.90  , 1.79  , 0.87  , 0.85  , 0.84  , 0.72  , 0.69  , 0.46  , 0.88  , 1.07  , 0.81  
 2000 , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  
 2010 , 1.16  , 1.16  , 1.15  , 1.16  , 1.16  , 0.99  , 1.03  , 1.37  , 1.13  , 1.14  , 1.60  , 1.65  , 1.70  , 1.15  , 1.13  , 1.19  
 2020 , 1.27  , 1.27  , 1.26  , 1.27  , 1.27  , 1.52  , 1.57  , 2.18  , 1.46  , 1.48  , 2.55  , 2.63  , 2.70  , 1.48  , 1.46  , 1.53  
 2030 , 1.37  , 1.38  , 1.37  , 1.38  , 1.38  , 2.41  , 2.50  , 3.14  , 2.06  , 2.08  , 3.67  , 3.78  , 3.89  , 2.09  , 2.06  , 2.17  
 2040 , 1.49  , 1.49  , 1.49  , 1.50  , 1.50  , 3.77  , 3.91  , 4.22  , 2.99  , 3.02  , 4.93  , 5.09  , 5.24  , 3.03  , 2.98  , 3.13  
 2050 , 1.61  , 1.62  , 1.61  , 1.62  , 1.62  , 5.34  , 5.54  , 5.40  , 4.11  , 4.15  , 6.30  , 6.51  , 6.70  , 4.17  , 4.11  , 4.31  
 2060 , 1.76  , 1.76  , 1.75  , 1.76  , 1.76  , 6.90  , 7.16  , 6.59  , 5.27  , 5.32  , 7.69  , 7.94  , 8.17  , 5.34  , 5.26  , 5.53  
 2070 , 1.93  , 1.93  , 1.92  , 1.93  , 1.93  , 8.28  , 8.59  , 7.79  , 6.31  , 6.37  , 9.08  , 9.38  , 9.65  , 6.40  , 6.30  , 6.62  
 2080 , 2.10  , 2.11  , 2.10  , 2.11  , 2.11  , 9.39  , 9.75  , 8.94  , 7.18  , 7.25  , 10.43 , 10.77 , 11.08 , 7.28  , 7.18  , 7.54  
 2090 , 2.30  , 2.31  , 2.30  , 2.31  , 2.31  , 10.44 , 10.84 , 10.11 , 7.99  , 8.06  , 11.80 , 12.18 , 12.53 , 8.10  , 7.98  , 8.38  
 2100 , 2.53  , 2.54  , 2.53  , 2.54  , 2.54  , 11.54 , 11.97 , 11.28 , 8.82  , 8.90  , 13.16 , 13.59 , 13.98 , 8.94  , 8.81  , 9.25  
 2110 , 2.80  , 2.80  , 2.79  , 2.80  , 2.81  , 12.74 , 13.22 , 12.46 , 9.74  , 9.83  , 14.54 , 15.01 , 15.44 , 9.88  , 9.73  , 10.22 
 2120 , 3.09  , 3.10  , 3.08  , 3.10  , 3.10  , 14.08 , 14.61 , 13.76 , 10.76 , 10.86 , 16.06 , 16.58 , 17.06 , 10.91 , 10.75 , 11.29 
 2130 , 3.41  , 3.42  , 3.40  , 3.42  , 3.42  , 15.55 , 16.13 , 15.20 , 11.88 , 12.00 , 17.74 , 18.32 , 18.84 , 12.05 , 11.87 , 12.47 
 2140 , 3.77  , 3.78  , 3.76  , 3.78  , 3.78  , 17.18 , 17.82 , 16.79 , 13.13 , 13.25 , 19.59 , 20.23 , 20.81 , 13.31 , 13.12 , 13.77 
 2150 , 4.16  , 4.17  , 4.15  , 4.18  , 4.18  , 18.97 , 19.69 , 18.55 , 14.50 , 14.64 , 21.64 , 22.35 , 22.99 , 14.71 , 14.49 , 15.21 
 2160 , 4.60  , 4.61  , 4.59  , 4.61  , 4.62  , 20.96 , 21.75 , 20.49 , 16.02 , 16.17 , 23.91 , 24.69 , 25.39 , 16.24 , 16.00 , 16.81 
 2170 , 5.08  , 5.09  , 5.07  , 5.10  , 5.10  , 23.15 , 24.02 , 22.63 , 17.69 , 17.86 , 26.41 , 27.27 , 28.05 , 17.94 , 17.68 , 18.56 
 2180 , 5.61  , 5.62  , 5.60  , 5.63  , 5.63  , 25.57 , 26.53 , 25.00 , 19.55 , 19.73 , 29.17 , 30.12 , 30.99 , 19.82 , 19.53 , 20.51 
 2190 , 6.20  , 6.21  , 6.18  , 6.22  , 6.22  , 28.25 , 29.31 , 27.61 , 21.59 , 21.79 , 32.22 , 33.27 , 34.23 , 21.89 , 21.57 , 22.65 
 2200 , 6.85  , 6.86  , 6.83  , 6.87  , 6.87  , 31.21 , 32.38 , 30.50 , 23.85 , 24.07 , 35.59 , 36.76 , 37.81 , 24.19 , 23.83 , 25.02 
 2210 , 7.55  , 7.57  , 7.53  , 7.57  , 7.58  , 34.41 , 35.70 , 33.64 , 26.30 , 26.55 , 39.25 , 40.53 , 41.69 , 26.67 , 26.27 , 27.59 
 2220 , 8.29  , 8.31  , 8.27  , 8.32  , 8.32  , 37.79 , 39.21 , 36.94 , 28.88 , 29.16 , 43.11 , 44.51 , 45.79 , 29.29 , 28.86 , 30.30 
 2230 , 9.07  , 9.09  , 9.05  , 9.10  , 9.11  , 41.34 , 42.89 , 40.41 , 31.60 , 31.89 , 47.16 , 48.69 , 50.09 , 32.04 , 31.57 , 33.15 
 2240 , 9.89  , 9.91  , 9.86  , 9.91  , 9.92  , 45.05 , 46.74 , 44.03 , 34.43 , 34.75 , 51.38 , 53.06 , 54.58 , 34.91 , 34.40 , 36.12 
 2250 , 10.73 , 10.75 , 10.70 , 10.76 , 10.77 , 48.89 , 50.72 , 47.79 , 37.37 , 37.72 , 55.77 , 57.59 , 59.23 , 37.89 , 37.33 , 39.20 
 2260 , 11.60 , 11.62 , 11.57 , 11.63 , 11.64 , 52.85 , 54.83 , 51.66 , 40.39 , 40.77 , 60.28 , 62.25 , 64.03 , 40.96 , 40.36 , 42.38 
 2270 , 12.49 , 12.51 , 12.45 , 12.52 , 12.53 , 56.91 , 59.04 , 55.63 , 43.49 , 43.90 , 64.91 , 67.03 , 68.95 , 44.10 , 43.45 , 45.63 
 2280 , 13.39 , 13.42 , 13.36 , 13.43 , 13.44 , 61.03 , 63.32 , 59.66 , 46.64 , 47.08 , 69.61 , 71.88 , 73.94 , 47.30 , 46.60 , 48.94 
