,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.60  , 0.60  ,0,0, 0.60  ,0, 0.60  , 1.21  , 0.60  , 0.60  , 0.60  , 0.60  ,0, 0.60  , 0.60  , 1.21  , 1.21  , 0.60  , 0.60  , 0.60  ,0, 0.60  ,0,0,0, 0.60  , 0.60  , 0.60  , 1.24  , 1.66  , 1.77  , 0.98 , 1.21  , 0.67  , 1.55 
1, 1960 , 0.60  , 0.60  ,0,0, 0.60  ,0, 0.60  , 1.03  , 0.60  , 0.60  , 0.60  , 0.60  ,0, 0.60  , 0.60  , 1.03  , 1.03  , 0.60  , 0.60  , 0.60  ,0, 0.60  ,0,0,0, 0.60  , 0.60  , 0.60  , 0.46  , 1.34  , 1.52  , 0.99 , 1.03  , 0.74  , 1.37 
2, 1970 , 0.59  , 0.59  ,0,0, 0.59  ,0, 0.59  , 1.00  , 0.59  , 0.59  , 0.59  , 0.59  ,0, 0.59  , 0.59  , 1.00  , 1.00  , 0.59  , 0.59  , 0.59  ,0, 0.59  ,0,0,0, 0.59  , 0.59  , 0.59  , 0.62  , 1.04  , 1.40  , 1.02 , 1.00  , 0.72  , 1.18 
3, 1980 , 0.66  , 0.66  ,0,0, 0.66  ,0, 0.66  , 0.99  , 0.66  , 0.66  , 0.66  , 0.66  ,0, 0.66  , 0.66  , 0.99  , 0.99  , 0.66  , 0.66  , 0.66  ,0, 0.66  ,0,0,0, 0.66  , 0.66  , 0.66  , 0.60  , 1.09  , 1.15  , 1.10 , 0.99  , 0.79  , 1.11 
4, 1990 , 0.90  , 0.90  ,0,0, 0.90  ,0, 0.90  , 1.20  , 0.90  , 0.90  , 0.90  , 0.90  ,0, 0.90  , 0.90  , 1.20  , 1.20  , 0.90  , 0.90  , 0.90  ,0, 0.90  ,0,0,0, 0.90  , 0.90  , 0.90  , 0.81  , 1.12  , 1.03  , 1.06 , 1.20  , 0.96  , 1.00 
5, 2000 , 1.00  , 1.00  ,0,0, 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  ,0,0,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00 , 1.00  , 1.00  , 1.00 
6, 2010 , 1.07  , 1.07  ,0,0, 1.07  ,0, 1.07  , 0.99  , 1.07  , 1.07  , 1.07  , 1.07  ,0, 1.07  , 1.07  , 0.99  , 0.99  , 1.07  , 1.07  , 1.07  ,0, 1.07  ,0,0,0, 1.07  , 1.07  , 1.07  , 1.12  , 0.97  , 1.00  , 0.96 , 0.99  , 1.07  , 0.98 
7, 2020 , 1.13  , 1.13  ,0,0, 1.13  ,0, 1.13  , 1.11  , 1.13  , 1.13  , 1.13  , 1.13  ,0, 1.13  , 1.13  , 1.11  , 1.11  , 1.13  , 1.13  , 1.13  ,0, 1.13  ,0,0,0, 1.13  , 1.13  , 1.13  , 1.20  , 1.02  , 1.05  , 0.98 , 1.11  , 1.16  , 1.00 
8, 2030 , 1.21  , 1.21  ,0,0, 1.21  ,0, 1.21  , 1.26  , 1.21  , 1.21  , 1.21  , 1.21  ,0, 1.21  , 1.21  , 1.26  , 1.26  , 1.21  , 1.21  , 1.21  ,0, 1.21  ,0,0,0, 1.21  , 1.21  , 1.21  , 1.34  , 1.14  , 1.18  , 1.10 , 1.26  , 1.24  , 1.13 
9, 2040 , 1.30  , 1.30  ,0,0, 1.30  ,0, 1.30  , 1.47  , 1.30  , 1.30  , 1.30  , 1.30  ,0, 1.30  , 1.30  , 1.47  , 1.47  , 1.30  , 1.30  , 1.30  ,0, 1.30  ,0,0,0, 1.30  , 1.30  , 1.30  , 1.58  , 1.35  , 1.39  , 1.27 , 1.47  , 1.33  , 1.29 
