,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.60 , 0.60 ,0,0, 0.60 ,0, 0.60 , 1.21 , 0.60 , 0.60 , 0.60 , 0.60 ,0, 0.60 , 0.60 , 1.21 , 1.21 , 0.60 , 0.60 , 0.60 ,0, 0.60 ,0,0,0, 0.60 , 0.60 , 0.60 , 1.24 , 1.65 , 1.76 , 0.97 , 1.21 , 0.67 , 1.51 
1, 1960 , 0.60 , 0.60 ,0,0, 0.60 ,0, 0.60 , 1.03 , 0.60 , 0.60 , 0.60 , 0.60 ,0, 0.60 , 0.60 , 1.03 , 1.03 , 0.60 , 0.60 , 0.60 ,0, 0.60 ,0,0,0, 0.60 , 0.60 , 0.60 , 0.46 , 1.33 , 1.51 , 0.98 , 1.03 , 0.74 , 1.34 
2, 1970 , 0.59 , 0.59 ,0,0, 0.59 ,0, 0.59 , 1.00 , 0.59 , 0.59 , 0.59 , 0.59 ,0, 0.59 , 0.59 , 1.00 , 1.00 , 0.59 , 0.59 , 0.59 ,0, 0.59 ,0,0,0, 0.59 , 0.59 , 0.59 , 0.62 , 1.03 , 1.38 , 1.01 , 1.00 , 0.72 , 1.15 
3, 1980 , 0.66 , 0.66 ,0,0, 0.66 ,0, 0.66 , 0.99 , 0.66 , 0.66 , 0.66 , 0.66 ,0, 0.66 , 0.66 , 0.99 , 0.99 , 0.66 , 0.66 , 0.66 ,0, 0.66 ,0,0,0, 0.66 , 0.66 , 0.66 , 0.60 , 1.08 , 1.14 , 1.09 , 0.99 , 0.79 , 1.08 
4, 1990 , 0.90 , 0.90 ,0,0, 0.90 ,0, 0.90 , 1.20 , 0.90 , 0.90 , 0.90 , 0.90 ,0, 0.90 , 0.90 , 1.20 , 1.20 , 0.90 , 0.90 , 0.90 ,0, 0.90 ,0,0,0, 0.90 , 0.90 , 0.90 , 0.81 , 1.10 , 1.02 , 1.04 , 1.20 , 0.96 , 0.98 
5, 2000 , 1.00 , 1.00 ,0,0, 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 ,0,0,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
6, 2010 , 1.07 , 1.07 ,0,0, 1.07 ,0, 1.07 , 0.99 , 1.07 , 1.07 , 1.07 , 1.07 ,0, 1.07 , 1.07 , 0.99 , 0.99 , 1.07 , 1.07 , 1.07 ,0, 1.07 ,0,0,0, 1.07 , 1.07 , 1.07 , 1.12 , 1.04 , 1.07 , 1.05 , 0.99 , 1.07 , 1.16 
7, 2020 , 1.11 , 1.11 ,0,0, 1.11 ,0, 1.11 , 1.07 , 1.11 , 1.11 , 1.11 , 1.11 ,0, 1.11 , 1.11 , 1.07 , 1.07 , 1.11 , 1.11 , 1.11 ,0, 1.11 ,0,0,0, 1.11 , 1.11 , 1.11 , 1.17 , 1.17 , 1.20 , 1.14 , 1.07 , 1.14 , 1.41 
8, 2030 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.21 , 1.27 , 1.31 , 1.22 , 1.08 , 1.15 , 1.65 
9, 2040 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.24 , 1.37 , 1.41 , 1.28 , 1.08 , 1.15 , 1.84 
10, 2050 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.27 , 1.46 , 1.51 , 1.33 , 1.08 , 1.15 , 2.01 
11, 2060 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.28 , 1.54 , 1.58 , 1.37 , 1.08 , 1.15 , 2.17 
12, 2070 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.29 , 1.62 , 1.66 , 1.40 , 1.08 , 1.15 , 2.34 
13, 2080 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.30 , 1.68 , 1.73 , 1.42 , 1.08 , 1.15 , 2.49 
14, 2090 , 1.12 , 1.12 ,0,0, 1.12 ,0, 1.12 , 1.08 , 1.12 , 1.12 , 1.12 , 1.12 ,0, 1.12 , 1.12 , 1.08 , 1.08 , 1.12 , 1.12 , 1.12 ,0, 1.12 ,0,0,0, 1.12 , 1.12 , 1.12 , 1.31 , 1.72 , 1.77 , 1.43 , 1.08 , 1.15 , 2.60 
15, 2100 , 1.14 , 1.14 ,0,0, 1.14 ,0, 1.14 , 1.10 , 1.14 , 1.14 , 1.14 , 1.14 ,0, 1.14 , 1.14 , 1.10 , 1.10 , 1.14 , 1.14 , 1.14 ,0, 1.14 ,0,0,0, 1.14 , 1.14 , 1.14 , 1.34 , 1.76 , 1.81 , 1.46 , 1.10 , 1.17 , 2.68 
16, 2110 , 1.16 , 1.16 ,0,0, 1.16 ,0, 1.16 , 1.12 , 1.16 , 1.16 , 1.16 , 1.16 ,0, 1.16 , 1.16 , 1.12 , 1.12 , 1.16 , 1.16 , 1.16 ,0, 1.16 ,0,0,0, 1.16 , 1.16 , 1.16 , 1.36 , 1.79 , 1.85 , 1.49 , 1.12 , 1.19 , 2.73 
17, 2120 , 1.19 , 1.19 ,0,0, 1.19 ,0, 1.19 , 1.14 , 1.19 , 1.19 , 1.19 , 1.19 ,0, 1.19 , 1.19 , 1.14 , 1.14 , 1.19 , 1.19 , 1.19 ,0, 1.19 ,0,0,0, 1.19 , 1.19 , 1.19 , 1.39 , 1.83 , 1.88 , 1.52 , 1.14 , 1.22 , 2.78 
18, 2130 , 1.21 , 1.21 ,0,0, 1.21 ,0, 1.21 , 1.17 , 1.21 , 1.21 , 1.21 , 1.21 ,0, 1.21 , 1.21 , 1.17 , 1.17 , 1.21 , 1.21 , 1.21 ,0, 1.21 ,0,0,0, 1.21 , 1.21 , 1.21 , 1.42 , 1.86 , 1.92 , 1.55 , 1.17 , 1.24 , 2.84 
19, 2140 , 1.24 , 1.24 ,0,0, 1.24 ,0, 1.24 , 1.19 , 1.24 , 1.24 , 1.24 , 1.24 ,0, 1.24 , 1.24 , 1.19 , 1.19 , 1.24 , 1.24 , 1.24 ,0, 1.24 ,0,0,0, 1.24 , 1.24 , 1.24 , 1.45 , 1.90 , 1.96 , 1.58 , 1.19 , 1.27 , 2.90 
20, 2150 , 1.26 , 1.26 ,0,0, 1.26 ,0, 1.26 , 1.22 , 1.26 , 1.26 , 1.26 , 1.26 ,0, 1.26 , 1.26 , 1.22 , 1.22 , 1.26 , 1.26 , 1.26 ,0, 1.26 ,0,0,0, 1.26 , 1.26 , 1.26 , 1.48 , 1.94 , 2.00 , 1.61 , 1.22 , 1.29 , 2.96 
21, 2160 , 1.29 , 1.29 ,0,0, 1.29 ,0, 1.29 , 1.24 , 1.29 , 1.29 , 1.29 , 1.29 ,0, 1.29 , 1.29 , 1.24 , 1.24 , 1.29 , 1.29 , 1.29 ,0, 1.29 ,0,0,0, 1.29 , 1.29 , 1.29 , 1.51 , 1.98 , 2.04 , 1.64 , 1.24 , 1.32 , 3.02 
22, 2170 , 1.31 , 1.31 ,0,0, 1.31 ,0, 1.31 , 1.27 , 1.31 , 1.31 , 1.31 , 1.31 ,0, 1.31 , 1.31 , 1.27 , 1.27 , 1.31 , 1.31 , 1.31 ,0, 1.31 ,0,0,0, 1.31 , 1.31 , 1.31 , 1.54 , 2.02 , 2.08 , 1.68 , 1.27 , 1.35 , 3.08 
23, 2180 , 1.34 , 1.34 ,0,0, 1.34 ,0, 1.34 , 1.29 , 1.34 , 1.34 , 1.34 , 1.34 ,0, 1.34 , 1.34 , 1.29 , 1.29 , 1.34 , 1.34 , 1.34 ,0, 1.34 ,0,0,0, 1.34 , 1.34 , 1.34 , 1.57 , 2.06 , 2.12 , 1.71 , 1.29 , 1.37 , 3.14 
24, 2190 , 1.37 , 1.37 ,0,0, 1.37 ,0, 1.37 , 1.32 , 1.37 , 1.37 , 1.37 , 1.37 ,0, 1.37 , 1.37 , 1.32 , 1.32 , 1.37 , 1.37 , 1.37 ,0, 1.37 ,0,0,0, 1.37 , 1.37 , 1.37 , 1.60 , 2.10 , 2.17 , 1.74 , 1.32 , 1.40 , 3.20 
