,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.60 , 0.60 ,0,0, 0.60 ,0, 0.60 , 1.21  , 0.60 , 0.60 , 0.60 , 0.60 ,0, 0.60 , 0.60 , 1.21  , 1.21  , 0.60 , 0.60 , 0.60 ,0, 0.60 ,0,0,0, 0.60 , 0.60 , 0.60 , 1.23  , 1.65 , 1.76  , 0.97 , 1.21  , 0.66 , 1.53 
1, 1960 , 0.59 , 0.59 ,0,0, 0.59 ,0, 0.59 , 1.03  , 0.59 , 0.59 , 0.59 , 0.59 ,0, 0.59 , 0.59 , 1.03  , 1.03  , 0.59 , 0.59 , 0.59 ,0, 0.59 ,0,0,0, 0.59 , 0.59 , 0.59 , 0.46  , 1.33 , 1.51  , 0.98 , 1.03  , 0.74 , 1.36 
2, 1970 , 0.59 , 0.59 ,0,0, 0.59 ,0, 0.59 , 1.00  , 0.59 , 0.59 , 0.59 , 0.59 ,0, 0.59 , 0.59 , 1.00  , 1.00  , 0.59 , 0.59 , 0.59 ,0, 0.59 ,0,0,0, 0.59 , 0.59 , 0.59 , 0.62  , 1.03 , 1.39  , 1.01 , 1.00  , 0.71 , 1.17 
3, 1980 , 0.65 , 0.65 ,0,0, 0.65 ,0, 0.65 , 0.99  , 0.65 , 0.65 , 0.65 , 0.65 ,0, 0.65 , 0.65 , 0.99  , 0.99  , 0.65 , 0.65 , 0.65 ,0, 0.65 ,0,0,0, 0.65 , 0.65 , 0.65 , 0.60  , 1.08 , 1.14  , 1.09 , 0.99  , 0.79 , 1.10 
4, 1990 , 0.90 , 0.90 ,0,0, 0.90 ,0, 0.90 , 1.20  , 0.90 , 0.90 , 0.90 , 0.90 ,0, 0.90 , 0.90 , 1.20  , 1.20  , 0.90 , 0.90 , 0.90 ,0, 0.90 ,0,0,0, 0.90 , 0.90 , 0.90 , 0.81  , 1.11 , 1.02  , 1.04 , 1.20  , 0.96 , 0.99 
5, 2000 , 1.00 , 1.00 ,0,0, 1.00 ,0, 1.00 , 1.00  , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 , 1.00 , 1.00  , 1.00  , 1.00 , 1.00 , 1.00 ,0, 1.00 ,0,0,0, 1.00 , 1.00 , 1.00 , 1.00  , 1.00 , 1.00  , 1.00 , 1.00  , 1.00 , 1.00 
6, 2010 , 1.09 , 1.09 ,0,0, 1.09 ,0, 1.09 , 0.99  , 1.09 , 1.09 , 1.09 , 1.09 ,0, 1.09 , 1.09 , 0.99  , 0.99  , 1.09 , 1.09 , 1.09 ,0, 1.09 ,0,0,0, 1.09 , 1.09 , 1.09 , 1.16  , 1.02 , 1.06  , 1.05 , 0.99  , 1.08 , 1.07 
7, 2020 , 1.19 , 1.19 ,0,0, 1.19 ,0, 1.19 , 1.15  , 1.19 , 1.19 , 1.19 , 1.19 ,0, 1.19 , 1.19 , 1.15  , 1.15  , 1.19 , 1.19 , 1.19 ,0, 1.19 ,0,0,0, 1.19 , 1.19 , 1.19 , 1.31  , 1.16 , 1.20  , 1.19 , 1.15  , 1.20 , 1.21 
8, 2030 , 1.33 , 1.33 ,0,0, 1.33 ,0, 1.33 , 1.49  , 1.33 , 1.33 , 1.33 , 1.33 ,0, 1.33 , 1.33 , 1.49  , 1.49  , 1.33 , 1.33 , 1.33 ,0, 1.33 ,0,0,0, 1.33 , 1.33 , 1.33 , 1.60  , 1.42 , 1.46  , 1.45 , 1.49  , 1.35 , 1.48 
9, 2040 , 1.45 , 1.45 ,0,0, 1.45 ,0, 1.45 , 1.80  , 1.45 , 1.45 , 1.45 , 1.45 ,0, 1.45 , 1.45 , 1.80  , 1.80  , 1.45 , 1.45 , 1.45 ,0, 1.45 ,0,0,0, 1.45 , 1.45 , 1.45 , 1.87  , 1.66 , 1.71  , 1.69 , 1.80  , 1.47 , 1.72 
