,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175 
1, 1960 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175 
2, 1970 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175 
3, 1980 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175 
4, 1990 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175 
5, 2000 , 6   , 6   ,0,0, 6   ,0, 6   , 100  , 6   , 6   , 6   , 6   ,0, 6   , 6   , 100  , 100  , 6   , 6   , 6   ,0, 6   ,0,0,0, 6   , 6   , 6   , 92  , 152 , 51  , 355 , 100  , 8   , 245 
6, 2010 , 13  , 13  ,0,0, 13  ,0, 13  , 200  , 13  , 13  , 13  , 13  ,0, 13  , 13  , 200  , 200  , 13  , 13  , 13  ,0, 13  ,0,0,0, 13  , 13  , 13  , 165 , 124 , 41  , 284 , 200  , 13  , 315 
7, 2020 , 8   , 8   ,0,0, 8   ,0, 8   , 30   , 8   , 8   , 8   , 8   ,0, 8   , 8   , 30   , 30   , 8   , 8   , 8   ,0, 8   ,0,0,0, 8   , 8   , 8   , 25  , 19  , 6   , 180 , 30   , 8   , 200 
8, 2030 , 5   , 5   ,0,0, 5   ,0, 5   , 10   , 5   , 5   , 5   , 5   ,0, 5   , 5   , 10   , 10   , 5   , 5   , 5   ,0, 5   ,0,0,0, 5   , 5   , 5   , 60  , 45  , 15  , 144 , 10   , 5   , 160 
9, 2040 , 0   , 0   ,0,0, 0   ,0, 0   , -60  , 0   , 0   , 0   , 0   ,0, 0   , 0   , -60  , -60  , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 85  , 64  , 21  , 131 , -60  , 0   , 145 
10, 2050 , -3  , -3  ,0,0, -3  ,0, -3  , -130 , -3  , -3  , -3  , -3  ,0, -3  , -3  , -130 , -130 , -3  , -3  , -3  ,0, -3  ,0,0,0, -3  , -3  , -3  , 125 , 94  , 31  , 117 , -130 , -3  , 130 
11, 2060 , 3   , 3   ,0,0, 3   ,0, 3   , -110 , 3   , 3   , 3   , 3   ,0, 3   , 3   , -110 , -110 , 3   , 3   , 3   ,0, 3   ,0,0,0, 3   , 3   , 3   , 80  , 60  , 20  , 113 , -110 , 3   , 125 
12, 2070 , 15  , 15  ,0,0, 15  ,0, 15  , -90  , 15  , 15  , 15  , 15  ,0, 15  , 15  , -90  , -90  , 15  , 15  , 15  ,0, 15  ,0,0,0, 15  , 15  , 15  , 55  , 41  , 14  , 104 , -90  , 15  , 115 
13, 2080 , 28  , 28  ,0,0, 28  ,0, 28  , -70  , 28  , 28  , 28  , 28  ,0, 28  , 28  , -70  , -70  , 28  , 28  , 28  ,0, 28  ,0,0,0, 28  , 28  , 28  , 50  , 38  , 13  , 95  , -70  , 28  , 105 
14, 2090 , 23  , 23  ,0,0, 23  ,0, 23  , -50  , 23  , 23  , 23  , 23  ,0, 23  , 23  , -50  , -50  , 23  , 23  , 23  ,0, 23  ,0,0,0, 23  , 23  , 23  , 70  , 53  , 18  , 86  , -50  , 23  , 95  
15, 2100 , 18  , 18  ,0,0, 18  ,0, 18  , -30  , 18  , 18  , 18  , 18  ,0, 18  , 18  , -30  , -30  , 18  , 18  , 18  ,0, 18  ,0,0,0, 18  , 18  , 18  , 95  , 71  , 24  , 72  , -30  , 18  , 80  
16, 2110 , 16  , 16  ,0,0, 16  ,0, 16  , -27  , 16  , 16  , 16  , 16  ,0, 16  , 16  , -27  , -27  , 16  , 16  , 16  ,0, 16  ,0,0,0, 16  , 16  , 16  , 86  , 64  , 21  , 65  , -27  , 16  , 72  
17, 2120 , 14  , 14  ,0,0, 14  ,0, 14  , -24  , 14  , 14  , 14  , 14  ,0, 14  , 14  , -24  , -24  , 14  , 14  , 14  ,0, 14  ,0,0,0, 14  , 14  , 14  , 76  , 57  , 19  , 58  , -24  , 14  , 64  
18, 2130 , 12  , 12  ,0,0, 12  ,0, 12  , -21  , 12  , 12  , 12  , 12  ,0, 12  , 12  , -21  , -21  , 12  , 12  , 12  ,0, 12  ,0,0,0, 12  , 12  , 12  , 67  , 50  , 17  , 50  , -21  , 12  , 56  
19, 2140 , 11  , 11  ,0,0, 11  ,0, 11  , -18  , 11  , 11  , 11  , 11  ,0, 11  , 11  , -18  , -18  , 11  , 11  , 11  ,0, 11  ,0,0,0, 11  , 11  , 11  , 57  , 43  , 14  , 43  , -18  , 11  , 48  
20, 2150 , 9   , 9   ,0,0, 9   ,0, 9   , -15  , 9   , 9   , 9   , 9   ,0, 9   , 9   , -15  , -15  , 9   , 9   , 9   ,0, 9   ,0,0,0, 9   , 9   , 9   , 48  , 36  , 12  , 36  , -15  , 9   , 40  
21, 2160 , 7   , 7   ,0,0, 7   ,0, 7   , -12  , 7   , 7   , 7   , 7   ,0, 7   , 7   , -12  , -12  , 7   , 7   , 7   ,0, 7   ,0,0,0, 7   , 7   , 7   , 38  , 29  , 10  , 29  , -12  , 7   , 32  
22, 2170 , 5   , 5   ,0,0, 5   ,0, 5   , -9   , 5   , 5   , 5   , 5   ,0, 5   , 5   , -9   , -9   , 5   , 5   , 5   ,0, 5   ,0,0,0, 5   , 5   , 5   , 29  , 21  , 7   , 22  , -9   , 5   , 24  
23, 2180 , 4   , 4   ,0,0, 4   ,0, 4   , -6   , 4   , 4   , 4   , 4   ,0, 4   , 4   , -6   , -6   , 4   , 4   , 4   ,0, 4   ,0,0,0, 4   , 4   , 4   , 19  , 14  , 5   , 14  , -6   , 4   , 16  
24, 2190 , 2   , 2   ,0,0, 2   ,0, 2   , -3   , 2   , 2   , 2   , 2   ,0, 2   , 2   , -3   , -3   , 2   , 2   , 2   ,0, 2   ,0,0,0, 2   , 2   , 2   , 10  , 7   , 2   , 7   , -3   , 2   , 8   
25, 2200 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   
26, 2210 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   
27, 2220 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   
28, 2230 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   
29, 2240 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   
