,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
1, 1960 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
2, 1970 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
3, 1980 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
4, 1990 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
5, 2000 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 94  , 154 , 51  , 386 , 0   , 2   , 280 
6, 2010 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 170 , 128 , 43  , 347 , 0   , 0   , 385 
7, 2020 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 195 , 146 , 49  , 383 , 0   , 0   , 425 
8, 2030 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 175 , 131 , 44  , 378 , 0   , 0   , 420 
9, 2040 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 140 , 105 , 35  , 351 , 0   , 0   , 390 
10, 2050 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 110 , 83  , 28  , 320 , 0   , 0   , 355 
11, 2060 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 75  , 56  , 19  , 234 , 0   , 0   , 260 
12, 2070 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 40  , 30  , 10  , 144 , 0   , 0   , 160 
13, 2080 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 20  , 15  , 5   , 95  , 0   , 0   , 105 
14, 2090 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 15  , 11  , 4   , 81  , 0   , 0   , 90  
15, 2100 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 10  , 8   , 3   , 72  , 0   , 0   , 80  
16, 2110 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 9   , 7   , 2   , 65  , 0   , 0   , 72  
17, 2120 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 8   , 6   , 2   , 58  , 0   , 0   , 64  
18, 2130 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 7   , 5   , 2   , 50  , 0   , 0   , 56  
19, 2140 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 6   , 5   , 2   , 43  , 0   , 0   , 48  
20, 2150 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 5   , 4   , 1   , 36  , 0   , 0   , 40  
21, 2160 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 4   , 3   , 1   , 29  , 0   , 0   , 32  
22, 2170 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 3   , 2   , 1   , 22  , 0   , 0   , 24  
23, 2180 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 2   , 2   , 1   , 14  , 0   , 0   , 16  
24, 2190 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 1   , 1   , 0   , 7   , 0   , 0   , 8   
25, 2200 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
26, 2210 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
27, 2220 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
28, 2230 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
29, 2240 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
