,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175  
1, 1960 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175  
2, 1970 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175  
3, 1980 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175  
4, 1990 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0    , 3   , 175  
5, 2000 , -3  , -3  ,0,0, -3  ,0, -3  , -5   , -3  , -3  , -3  , -3  ,0, -3  , -3  , -5   , -5   , -3  , -3  , -3  ,0, -3  ,0,0,0, -3  , -3  , -3  , 59  , 127 , 42  , 355 , -5   , -1  , 245  
6, 2010 , -5  , -5  ,0,0, -5  ,0, -5  , -10  , -5  , -5  , -5  , -5  ,0, -5  , -5  , -10  , -10  , -5  , -5  , -5  ,0, -5  ,0,0,0, -5  , -5  , -5  , 100 , 75  , 25  , 284 , -10  , -5  , 315  
7, 2020 , -15 , -15 ,0,0, -15 ,0, -15 , -180 , -15 , -15 , -15 , -15 ,0, -15 , -15 , -180 , -180 , -15 , -15 , -15 ,0, -15 ,0,0,0, -15 , -15 , -15 , -75 , -56 , -19 , 189 , -180 , -15 , 210  
8, 2030 , -20 , -20 ,0,0, -20 ,0, -20 , -140 , -20 , -20 , -20 , -20 ,0, -20 , -20 , -140 , -140 , -20 , -20 , -20 ,0, -20 ,0,0,0, -20 , -20 , -20 , -80 , -60 , -20 , 54  , -140 , -20 , 60   
9, 2040 , -15 , -15 ,0,0, -15 ,0, -15 , -90  , -15 , -15 , -15 , -15 ,0, -15 , -15 , -90  , -90  , -15 , -15 , -15 ,0, -15 ,0,0,0, -15 , -15 , -15 , -45 , -34 , -11 , 5   , -90  , -15 , 5    
10, 2050 , -13 , -13 ,0,0, -13 ,0, -13 , -40  , -13 , -13 , -13 , -13 ,0, -13 , -13 , -40  , -40  , -13 , -13 , -13 ,0, -13 ,0,0,0, -13 , -13 , -13 , -15 , -11 , -4  , -50 , -40  , -13 , -55  
11, 2060 , -15 , -15 ,0,0, -15 ,0, -15 , -40  , -15 , -15 , -15 , -15 ,0, -15 , -15 , -40  , -40  , -15 , -15 , -15 ,0, -15 ,0,0,0, -15 , -15 , -15 , -15 , -11 , -4  , -50 , -40  , -15 , -55  
12, 2070 , -20 , -20 ,0,0, -20 ,0, -20 , -30  , -20 , -20 , -20 , -20 ,0, -20 , -20 , -30  , -30  , -20 , -20 , -20 ,0, -20 ,0,0,0, -20 , -20 , -20 , -20 , -15 , -5  , -45 , -30  , -20 , -50  
13, 2080 , -28 , -28 ,0,0, -28 ,0, -28 , -30  , -28 , -28 , -28 , -28 ,0, -28 , -28 , -30  , -30  , -28 , -28 , -28 ,0, -28 ,0,0,0, -28 , -28 , -28 , -25 , -19 , -6  , -54 , -30  , -28 , -60  
14, 2090 , -38 , -38 ,0,0, -38 ,0, -38 , -40  , -38 , -38 , -38 , -38 ,0, -38 , -38 , -40  , -40  , -38 , -38 , -38 ,0, -38 ,0,0,0, -38 , -38 , -38 , -25 , -19 , -6  , -72 , -40  , -38 , -80  
15, 2100 , -48 , -48 ,0,0, -48 ,0, -48 , -40  , -48 , -48 , -48 , -48 ,0, -48 , -48 , -40  , -40  , -48 , -48 , -48 ,0, -48 ,0,0,0, -48 , -48 , -48 , -30 , -23 , -8  , -90 , -40  , -48 , -100 
16, 2110 , -43 , -43 ,0,0, -43 ,0, -43 , -36  , -43 , -43 , -43 , -43 ,0, -43 , -43 , -36  , -36  , -43 , -43 , -43 ,0, -43 ,0,0,0, -43 , -43 , -43 , -27 , -20 , -7  , -81 , -36  , -43 , -90  
17, 2120 , -38 , -38 ,0,0, -38 ,0, -38 , -32  , -38 , -38 , -38 , -38 ,0, -38 , -38 , -32  , -32  , -38 , -38 , -38 ,0, -38 ,0,0,0, -38 , -38 , -38 , -24 , -18 , -6  , -72 , -32  , -38 , -80  
18, 2130 , -33 , -33 ,0,0, -33 ,0, -33 , -28  , -33 , -33 , -33 , -33 ,0, -33 , -33 , -28  , -28  , -33 , -33 , -33 ,0, -33 ,0,0,0, -33 , -33 , -33 , -21 , -16 , -5  , -63 , -28  , -33 , -70  
19, 2140 , -29 , -29 ,0,0, -29 ,0, -29 , -24  , -29 , -29 , -29 , -29 ,0, -29 , -29 , -24  , -24  , -29 , -29 , -29 ,0, -29 ,0,0,0, -29 , -29 , -29 , -18 , -14 , -5  , -54 , -24  , -29 , -60  
20, 2150 , -24 , -24 ,0,0, -24 ,0, -24 , -20  , -24 , -24 , -24 , -24 ,0, -24 , -24 , -20  , -20  , -24 , -24 , -24 ,0, -24 ,0,0,0, -24 , -24 , -24 , -15 , -11 , -4  , -45 , -20  , -24 , -50  
21, 2160 , -19 , -19 ,0,0, -19 ,0, -19 , -16  , -19 , -19 , -19 , -19 ,0, -19 , -19 , -16  , -16  , -19 , -19 , -19 ,0, -19 ,0,0,0, -19 , -19 , -19 , -12 , -9  , -3  , -36 , -16  , -19 , -40  
22, 2170 , -14 , -14 ,0,0, -14 ,0, -14 , -12  , -14 , -14 , -14 , -14 ,0, -14 , -14 , -12  , -12  , -14 , -14 , -14 ,0, -14 ,0,0,0, -14 , -14 , -14 , -9  , -7  , -2  , -27 , -12  , -14 , -30  
23, 2180 , -10 , -10 ,0,0, -10 ,0, -10 , -8   , -10 , -10 , -10 , -10 ,0, -10 , -10 , -8   , -8   , -10 , -10 , -10 ,0, -10 ,0,0,0, -10 , -10 , -10 , -6  , -5  , -2  , -18 , -8   , -10 , -20  
24, 2190 , -5  , -5  ,0,0, -5  ,0, -5  , -4   , -5  , -5  , -5  , -5  ,0, -5  , -5  , -4   , -4   , -5  , -5  , -5  ,0, -5  ,0,0,0, -5  , -5  , -5  , -3  , -2  , -1  , -9  , -4   , -5  , -10  
25, 2200 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0    
26, 2210 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0    
27, 2220 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0    
28, 2230 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0    
29, 2240 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0    
