,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
1, 1960 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
2, 1970 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
3, 1980 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
4, 1990 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
5, 2000 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19  , 180 , 60  , 426 , 0   , 3   , 175 
6, 2010 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 18  , 169 , 56  , 400 , 0   , 3   , 164 
7, 2020 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 17  , 158 , 53  , 373 , 0   , 3   , 153 
8, 2030 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 15  , 144 , 48  , 341 , 0   , 2   , 140 
9, 2040 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 13  , 127 , 42  , 301 , 0   , 2   , 124 
10, 2050 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 12  , 111 , 37  , 262 , 0   , 2   , 108 
11, 2060 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 9   , 86  , 29  , 203 , 0   , 1   , 83  
12, 2070 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 6   , 61  , 20  , 144 , 0   , 1   , 59  
13, 2080 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 4   , 36  , 12  , 85  , 0   , 1   , 35  
14, 2090 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 1   , 11  , 4   , 26  , 0   , 0   , 11  
15, 2100 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , -1  , -14 , -5  , -33 , 0   , 0   , -13 
16, 2110 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
17, 2120 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
18, 2130 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
19, 2140 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
20, 2150 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
21, 2160 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
22, 2170 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
23, 2180 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
24, 2190 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
25, 2200 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
26, 2210 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
27, 2220 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
28, 2230 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
29, 2240 , 0   , 0   ,0,0, 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0   
