,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.17 , 0.17 ,0,0, 0.17 ,0, 0.17 , 0.18 , 0.17 , 0.17 , 0.17 , 0.17 ,0, 0.17 , 0.17 , 0.18 , 0.18 , 0.17 , 0.17 , 0.17 ,0, 0.17 ,0,0,0, 0.17 , 0.17 , 0.17 , 0.17 , 0.16 , 0.16 , 0.17 , 0.18 , 0.16 , 0.16 
1, 1960 , 0.29 , 0.29 ,0,0, 0.29 ,0, 0.29 , 0.27 , 0.29 , 0.29 , 0.29 , 0.29 ,0, 0.29 , 0.29 , 0.27 , 0.27 , 0.29 , 0.29 , 0.29 ,0, 0.29 ,0,0,0, 0.29 , 0.29 , 0.29 , 0.29 , 0.28 , 0.29 , 0.29 , 0.27 , 0.29 , 0.28 
2, 1970 , 0.43 , 0.43 ,0,0, 0.43 ,0, 0.43 , 0.45 , 0.43 , 0.43 , 0.43 , 0.43 ,0, 0.43 , 0.43 , 0.45 , 0.45 , 0.43 , 0.43 , 0.43 ,0, 0.43 ,0,0,0, 0.43 , 0.43 , 0.43 , 0.43 , 0.44 , 0.44 , 0.44 , 0.45 , 0.44 , 0.44 
3, 1980 , 0.74 , 0.74 ,0,0, 0.74 ,0, 0.74 , 0.73 , 0.74 , 0.74 , 0.74 , 0.74 ,0, 0.74 , 0.74 , 0.73 , 0.73 , 0.74 , 0.74 , 0.74 ,0, 0.74 ,0,0,0, 0.74 , 0.74 , 0.74 , 0.74 , 0.75 , 0.73 , 0.74 , 0.73 , 0.74 , 0.74 
4, 1990 , 0.78 , 0.78 ,0,0, 0.78 ,0, 0.78 , 0.82 , 0.78 , 0.78 , 0.78 , 0.78 ,0, 0.78 , 0.78 , 0.82 , 0.82 , 0.78 , 0.78 , 0.78 ,0, 0.78 ,0,0,0, 0.78 , 0.78 , 0.78 , 0.80 , 0.78 , 0.79 , 0.78 , 0.82 , 0.78 , 0.79 
5, 2000 , 1.00 , 1.00 ,0,0, 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 ,0,0,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
6, 2010 , 1.00 , 1.00 ,0,0, 1.00 ,0, 1.00 , 1.18 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 , 1.00 , 1.18 , 1.18 , 1.00 , 1.00 , 1.00 ,0, 1.00 ,0,0,0, 1.00 , 1.00 , 1.00 , 1.03 , 1.16 , 1.11 , 1.06 , 1.18 , 1.06 , 1.21 
7, 2020 , 0.97 , 0.97 ,0,0, 0.97 ,0, 0.97 , 1.36 , 0.97 , 0.97 , 0.97 , 0.97 ,0, 0.97 , 0.97 , 1.36 , 1.36 , 0.97 , 0.97 , 0.97 ,0, 0.97 ,0,0,0, 0.97 , 0.97 , 0.97 , 1.03 , 1.25 , 1.21 , 1.16 , 1.36 , 1.09 , 1.42 
8, 2030 , 0.93 , 0.93 ,0,0, 0.93 ,0, 0.93 , 1.55 , 0.93 , 0.93 , 0.93 , 0.93 ,0, 0.93 , 0.93 , 1.55 , 1.55 , 0.93 , 0.93 , 0.93 ,0, 0.93 ,0,0,0, 0.93 , 0.93 , 0.93 , 1.03 , 1.34 , 1.30 , 1.26 , 1.55 , 1.09 , 1.58 
9, 2040 , 0.90 , 0.90 ,0,0, 0.90 ,0, 0.90 , 1.73 , 0.90 , 0.90 , 0.90 , 0.90 ,0, 0.90 , 0.90 , 1.73 , 1.73 , 0.90 , 0.90 , 0.90 ,0, 0.90 ,0,0,0, 0.90 , 0.90 , 0.90 , 1.03 , 1.44 , 1.38 , 1.32 , 1.73 , 1.08 , 1.79 
