,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0,1950 , 0.24  , 0.24  ,0,0, 0.24  ,0, 0.24  , 0.53  , 0.24  , 0.24  , 0.24  , 0.24  ,0, 0.24  , 0.24  , 0.53  , 0.53  , 0.24  , 0.24  , 0.24  ,0, 0.24  ,0,0,0, 0.24  , 0.24  , 0.24  , 0.04  , 0.09  , 0.29  , 0.39  , 0.53  , 0.33  , 1.03  
1,1960 , 0.32  , 0.32  ,0,0, 0.32  ,0, 0.32  , 0.69  , 0.32  , 0.32  , 0.32  , 0.32  ,0, 0.32  , 0.32  , 0.69  , 0.69  , 0.32  , 0.32  , 0.32  ,0, 0.32  ,0,0,0, 0.32  , 0.32  , 0.32  , 0.05  , 0.15  , 0.31  , 0.54  , 0.69  , 0.39  , 1.12  
2,1970 , 0.41  , 0.41  ,0,0, 0.41  ,0, 0.41  , 0.91  , 0.41  , 0.41  , 0.41  , 0.41  ,0, 0.41  , 0.41  , 0.91  , 0.91  , 0.41  , 0.41  , 0.41  ,0, 0.41  ,0,0,0, 0.41  , 0.41  , 0.41  , 0.08  , 0.23  , 0.34  , 0.75  , 0.91  , 0.47  , 1.21  
3,1980 , 0.54  , 0.54  ,0,0, 0.54  ,0, 0.54  , 1.20  , 0.54  , 0.54  , 0.54  , 0.54  ,0, 0.54  , 0.54  , 1.20  , 1.20  , 0.54  , 0.54  , 0.54  ,0, 0.54  ,0,0,0, 0.54  , 0.54  , 0.54  , 0.12  , 0.35  , 0.36  , 1.04  , 1.20  , 0.57  , 1.30  
4,1990 , 0.85  , 0.85  ,0,0, 0.85  ,0, 0.85  , 1.79  , 0.85  , 0.85  , 0.85  , 0.85  ,0, 0.85  , 0.85  , 1.79  , 1.79  , 0.85  , 0.85  , 0.85  ,0, 0.85  ,0,0,0, 0.85  , 0.85  , 0.85  , 0.46  , 0.69  , 0.72  , 0.84  , 1.79  , 0.78  , 1.07  
5,2000 , 1.00  , 1.00  ,0,0, 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  ,0,0,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  
6,2010 , 1.15  , 1.15  ,0,0, 1.15  ,0, 1.15  , 0.96  , 1.15  , 1.15  , 1.15  , 1.15  ,0, 1.15  , 1.15  , 0.96  , 0.96  , 1.15  , 1.15  , 1.15  ,0, 1.15  ,0,0,0, 1.15  , 1.15  , 1.15  , 1.46  , 1.42  , 1.37  , 1.16  , 0.96  , 1.15  , 1.15  
7,2020 , 1.27  , 1.27  ,0,0, 1.27  ,0, 1.27  , 1.27  , 1.27  , 1.27  , 1.27  , 1.27  ,0, 1.27  , 1.27  , 1.27  , 1.27  , 1.27  , 1.27  , 1.27  ,0, 1.27  ,0,0,0, 1.27  , 1.27  , 1.27  , 1.91  , 1.86  , 1.80  , 1.46  , 1.27  , 1.27  , 1.45  
8,2030 , 1.44  , 1.44  ,0,0, 1.44  ,0, 1.44  , 1.80  , 1.44  , 1.44  , 1.44  , 1.44  ,0, 1.44  , 1.44  , 1.80  , 1.80  , 1.44  , 1.44  , 1.44  ,0, 1.44  ,0,0,0, 1.44  , 1.44  , 1.44  , 2.59  , 2.52  , 2.44  , 1.88  , 1.80  , 1.45  , 1.86  
9,2040 , 1.62  , 1.62  ,0,0, 1.62  ,0, 1.62  , 2.33  , 1.62  , 1.62  , 1.62  , 1.62  ,0, 1.62  , 1.62  , 2.33  , 2.33  , 1.62  , 1.62  , 1.62  ,0, 1.62  ,0,0,0, 1.62  , 1.62  , 1.62  , 3.35  , 3.26  , 3.15  , 2.31  , 2.33  , 1.62  , 2.29  
10,2050 , 1.75  , 1.75  ,0,0, 1.75  ,0, 1.75  , 2.76  , 1.75  , 1.75  , 1.75  , 1.75  ,0, 1.75  , 1.75  , 2.76  , 2.76  , 1.75  , 1.75  , 1.75  ,0, 1.75  ,0,0,0, 1.75  , 1.75  , 1.75  , 3.97  , 3.86  , 3.73  , 2.66  , 2.76  , 1.75  , 2.63  
11,2060 , 1.90  , 1.90  ,0,0, 1.90  ,0, 1.90  , 3.27  , 1.90  , 1.90  , 1.90  , 1.90  ,0, 1.90  , 1.90  , 3.27  , 3.27  , 1.90  , 1.90  , 1.90  ,0, 1.90  ,0,0,0, 1.90  , 1.90  , 1.90  , 4.73  , 4.60  , 4.45  , 3.08  , 3.27  , 1.90  , 3.05  
12,2070 , 2.10  , 2.10  ,0,0, 2.10  ,0, 2.10  , 4.02  , 2.10  , 2.10  , 2.10  , 2.10  ,0, 2.10  , 2.10  , 4.02  , 4.02  , 2.10  , 2.10  , 2.10  ,0, 2.10  ,0,0,0, 2.10  , 2.10  , 2.10  , 5.85  , 5.69  , 5.51  , 3.69  , 4.02  , 2.10  , 3.65  
13,2080 , 2.45  , 2.45  ,0,0, 2.45  ,0, 2.45  , 5.45  , 2.45  , 2.45  , 2.45  , 2.45  ,0, 2.45  , 2.45  , 5.45  , 5.45  , 2.45  , 2.45  , 2.45  ,0, 2.45  ,0,0,0, 2.45  , 2.45  , 2.45  , 8.12  , 7.89  , 7.64  , 4.92  , 5.45  , 2.46  , 4.87  
14,2090 , 2.73  , 2.73  ,0,0, 2.73  ,0, 2.73  , 6.68  , 2.73  , 2.73  , 2.73  , 2.73  ,0, 2.73  , 2.73  , 6.68  , 6.68  , 2.73  , 2.73  , 2.73  ,0, 2.73  ,0,0,0, 2.73  , 2.73  , 2.73  , 10.15 , 9.87  , 9.56  , 6.02  , 6.68  , 2.74  , 5.96  
15,2100 , 2.94  , 2.94  ,0,0, 2.94  ,0, 2.94  , 7.38  , 2.94  , 2.94  , 2.94  , 2.94  ,0, 2.94  , 2.94  , 7.38  , 7.38  , 2.94  , 2.94  , 2.94  ,0, 2.94  ,0,0,0, 2.94  , 2.94  , 2.94  , 11.26 , 10.95 , 10.60 , 6.62  , 7.38  , 2.95  , 6.56  
16,2110 , 3.25  , 3.25  ,0,0, 3.25  ,0, 3.25  , 8.15  , 3.25  , 3.25  , 3.25  , 3.25  ,0, 3.25  , 3.25  , 8.15  , 8.15  , 3.25  , 3.25  , 3.25  ,0, 3.25  ,0,0,0, 3.25  , 3.25  , 3.25  , 12.44 , 12.09 , 11.70 , 7.32  , 8.15  , 3.26  , 7.24  
17,2120 , 3.59  , 3.59  ,0,0, 3.59  ,0, 3.59  , 9.00  , 3.59  , 3.59  , 3.59  , 3.59  ,0, 3.59  , 3.59  , 9.00  , 9.00  , 3.59  , 3.59  , 3.59  ,0, 3.59  ,0,0,0, 3.59  , 3.59  , 3.59  , 13.74 , 13.36 , 12.93 , 8.08  , 9.00  , 3.60  , 8.00  
18,2130 , 3.96  , 3.96  ,0,0, 3.96  ,0, 3.96  , 9.94  , 3.96  , 3.96  , 3.96  , 3.96  ,0, 3.96  , 3.96  , 9.94  , 9.94  , 3.96  , 3.96  , 3.96  ,0, 3.96  ,0,0,0, 3.96  , 3.96  , 3.96  , 15.18 , 14.75 , 14.28 , 8.93  , 9.94  , 3.97  , 8.84  
19,2140 , 4.38  , 4.38  ,0,0, 4.38  ,0, 4.38  , 10.98 , 4.38  , 4.38  , 4.38  , 4.38  ,0, 4.38  , 4.38  , 10.98 , 10.98 , 4.38  , 4.38  , 4.38  ,0, 4.38  ,0,0,0, 4.38  , 4.38  , 4.38  , 16.76 , 16.30 , 15.78 , 9.86  , 10.98 , 4.39  , 9.76  
20,2150 , 4.83  , 4.83  ,0,0, 4.83  ,0, 4.83  , 12.13 , 4.83  , 4.83  , 4.83  , 4.83  ,0, 4.83  , 4.83  , 12.13 , 12.13 , 4.83  , 4.83  , 4.83  ,0, 4.83  ,0,0,0, 4.83  , 4.83  , 4.83  , 18.52 , 18.00 , 17.43 , 10.89 , 12.13 , 4.85  , 10.78 
21,2160 , 5.34  , 5.34  ,0,0, 5.34  ,0, 5.34  , 13.40 , 5.34  , 5.34  , 5.34  , 5.34  ,0, 5.34  , 5.34  , 13.40 , 13.40 , 5.34  , 5.34  , 5.34  ,0, 5.34  ,0,0,0, 5.34  , 5.34  , 5.34  , 20.46 , 19.89 , 19.25 , 12.03 , 13.40 , 5.35  , 11.91 
22,2170 , 5.90  , 5.90  ,0,0, 5.90  ,0, 5.90  , 14.80 , 5.90  , 5.90  , 5.90  , 5.90  ,0, 5.90  , 5.90  , 14.80 , 14.80 , 5.90  , 5.90  , 5.90  ,0, 5.90  ,0,0,0, 5.90  , 5.90  , 5.90  , 22.60 , 21.97 , 21.26 , 13.29 , 14.80 , 5.92  , 13.16 
23,2180 , 6.52  , 6.52  ,0,0, 6.52  ,0, 6.52  , 16.35 , 6.52  , 6.52  , 6.52  , 6.52  ,0, 6.52  , 6.52  , 16.35 , 16.35 , 6.52  , 6.52  , 6.52  ,0, 6.52  ,0,0,0, 6.52  , 6.52  , 6.52  , 24.96 , 24.27 , 23.49 , 14.68 , 16.35 , 6.53  , 14.53 
24,2190 , 7.20  , 7.20  ,0,0, 7.20  ,0, 7.20  , 18.06 , 7.20  , 7.20  , 7.20  , 7.20  ,0, 7.20  , 7.20  , 18.06 , 18.06 , 7.20  , 7.20  , 7.20  ,0, 7.20  ,0,0,0, 7.20  , 7.20  , 7.20  , 27.57 , 26.80 , 25.95 , 16.22 , 18.06 , 7.22  , 16.05 
25,2200 , 7.95  , 7.95  ,0,0, 7.95  ,0, 7.95  , 19.95 , 7.95  , 7.95  , 7.95  , 7.95  ,0, 7.95  , 7.95  , 19.95 , 19.95 , 7.95  , 7.95  , 7.95  ,0, 7.95  ,0,0,0, 7.95  , 7.95  , 7.95  , 30.46 , 29.61 , 28.66 , 17.92 , 19.95 , 7.97  , 17.73 
26,2210 , 8.77  , 8.77  ,0,0, 8.77  ,0, 8.77  , 22.00 , 8.77  , 8.77  , 8.77  , 8.77  ,0, 8.77  , 8.77  , 22.00 , 22.00 , 8.77  , 8.77  , 8.77  ,0, 8.77  ,0,0,0, 8.77  , 8.77  , 8.77  , 33.58 , 32.65 , 31.60 , 19.76 , 22.00 , 8.79  , 19.55 
27,2220 , 9.63  , 9.63  ,0,0, 9.63  ,0, 9.63  , 24.16 , 9.63  , 9.63  , 9.63  , 9.63  ,0, 9.63  , 9.63  , 24.16 , 24.16 , 9.63  , 9.63  , 9.63  ,0, 9.63  ,0,0,0, 9.63  , 9.63  , 9.63  , 36.88 , 35.86 , 34.71 , 21.70 , 24.16 , 9.66  , 21.48 
28,2230 , 10.53 , 10.53 ,0,0, 10.53 ,0, 10.53 , 26.43 , 10.53 , 10.53 , 10.53 , 10.53 ,0, 10.53 , 10.53 , 26.43 , 26.43 , 10.53 , 10.53 , 10.53 ,0, 10.53 ,0,0,0, 10.53 , 10.53 , 10.53 , 40.35 , 39.23 , 37.97 , 23.74 , 26.43 , 10.56 , 23.49 
29,2240 , 11.48 , 11.48 ,0,0, 11.48 ,0, 11.48 , 28.80 , 11.48 , 11.48 , 11.48 , 11.48 ,0, 11.48 , 11.48 , 28.80 , 28.80 , 11.48 , 11.48 , 11.48 ,0, 11.48 ,0,0,0, 11.48 , 11.48 , 11.48 , 43.97 , 42.74 , 41.37 , 25.86 , 28.80 , 11.51 , 25.60 
30,2250 , 12.46 , 12.46 ,0,0, 12.46 ,0, 12.46 , 31.26 , 12.46 , 12.46 , 12.46 , 12.46 ,0, 12.46 , 12.46 , 31.26 , 31.26 , 12.46 , 12.46 , 12.46 ,0, 12.46 ,0,0,0, 12.46 , 12.46 , 12.46 , 47.72 , 46.39 , 44.90 , 28.07 , 31.26 , 12.49 , 27.78 
31,2260 , 13.47 , 13.47 ,0,0, 13.47 ,0, 13.47 , 33.79 , 13.47 , 13.47 , 13.47 , 13.47 ,0, 13.47 , 13.47 , 33.79 , 33.79 , 13.47 , 13.47 , 13.47 ,0, 13.47 ,0,0,0, 13.47 , 13.47 , 13.47 , 51.58 , 50.15 , 48.54 , 30.34 , 33.79 , 13.50 , 30.03 
32,2270 , 14.50 , 14.50 ,0,0, 14.50 ,0, 14.50 , 36.38 , 14.50 , 14.50 , 14.50 , 14.50 ,0, 14.50 , 14.50 , 36.38 , 36.38 , 14.50 , 14.50 , 14.50 ,0, 14.50 ,0,0,0, 14.50 , 14.50 , 14.50 , 55.54 , 53.99 , 52.26 , 32.67 , 36.38 , 14.54 , 32.34 
33,2280 , 15.55 , 15.55 ,0,0, 15.55 ,0, 15.55 , 39.02 , 15.55 , 15.55 , 15.55 , 15.55 ,0, 15.55 , 15.55 , 39.02 , 39.02 , 15.55 , 15.55 , 15.55 ,0, 15.55 ,0,0,0, 15.55 , 15.55 , 15.55 , 59.56 , 57.91 , 56.05 , 35.04 , 39.02 , 15.59 , 34.68 
34,2290 , 16.61 , 16.61 ,0,0, 16.61 ,0, 16.61 , 41.68 , 16.61 , 16.61 , 16.61 , 16.61 ,0, 16.61 , 16.61 , 41.68 , 41.68 , 16.61 , 16.61 , 16.61 ,0, 16.61 ,0,0,0, 16.61 , 16.61 , 16.61 , 63.63 , 61.86 , 59.87 , 37.43 , 41.68 , 16.66 , 37.05 
35,2300 , 17.67 , 17.67 ,0,0, 17.67 ,0, 17.67 , 44.35 , 17.67 , 17.67 , 17.67 , 17.67 ,0, 17.67 , 17.67 , 44.35 , 44.35 , 17.67 , 17.67 , 17.67 ,0, 17.67 ,0,0,0, 17.67 , 17.67 , 17.67 , 67.70 , 65.81 , 63.70 , 39.82 , 44.35 , 17.72 , 39.42 
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
