,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.24  , 0.24  ,0,0, 0.24  ,0, 0.24  , 0.53  , 0.24  , 0.24  , 0.24  , 0.24  ,0, 0.24  , 0.24  , 0.53  , 0.53  , 0.24  , 0.24  , 0.24  ,0, 0.24  ,0,0,0, 0.24  , 0.24  , 0.24  , 0.04  , 0.09  , 0.29  , 0.39  , 0.53  , 0.33  , 1.03  
1, 1960 , 0.32  , 0.32  ,0,0, 0.32  ,0, 0.32  , 0.69  , 0.32  , 0.32  , 0.32  , 0.32  ,0, 0.32  , 0.32  , 0.69  , 0.69  , 0.32  , 0.32  , 0.32  ,0, 0.32  ,0,0,0, 0.32  , 0.32  , 0.32  , 0.05  , 0.15  , 0.31  , 0.54  , 0.69  , 0.39  , 1.12  
2, 1970 , 0.41  , 0.41  ,0,0, 0.41  ,0, 0.41  , 0.91  , 0.41  , 0.41  , 0.41  , 0.41  ,0, 0.41  , 0.41  , 0.91  , 0.91  , 0.41  , 0.41  , 0.41  ,0, 0.41  ,0,0,0, 0.41  , 0.41  , 0.41  , 0.08  , 0.23  , 0.34  , 0.75  , 0.91  , 0.47  , 1.21  
3, 1980 , 0.54  , 0.54  ,0,0, 0.54  ,0, 0.54  , 1.20  , 0.54  , 0.54  , 0.54  , 0.54  ,0, 0.54  , 0.54  , 1.20  , 1.20  , 0.54  , 0.54  , 0.54  ,0, 0.54  ,0,0,0, 0.54  , 0.54  , 0.54  , 0.12  , 0.35  , 0.36  , 1.04  , 1.20  , 0.57  , 1.30  
4, 1990 , 0.85  , 0.85  ,0,0, 0.85  ,0, 0.85  , 1.79  , 0.85  , 0.85  , 0.85  , 0.85  ,0, 0.85  , 0.85  , 1.79  , 1.79  , 0.85  , 0.85  , 0.85  ,0, 0.85  ,0,0,0, 0.85  , 0.85  , 0.85  , 0.46  , 0.69  , 0.72  , 0.84  , 1.79  , 0.78  , 1.07  
5, 2000 , 1.00  , 1.00  ,0,0, 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  ,0,0,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  
6, 2010 , 1.15  , 1.15  ,0,0, 1.15  ,0, 1.15  , 1.03  , 1.15  , 1.15  , 1.15  , 1.15  ,0, 1.15  , 1.15  , 1.03  , 1.03  , 1.15  , 1.15  , 1.15  ,0, 1.15  ,0,0,0, 1.15  , 1.15  , 1.15  , 1.70  , 1.65  , 1.60  , 1.14  , 1.03  , 1.16  , 1.13  
7, 2020 , 1.26  , 1.26  ,0,0, 1.26  ,0, 1.26  , 1.57  , 1.26  , 1.26  , 1.26  , 1.26  ,0, 1.26  , 1.26  , 1.57  , 1.57  , 1.26  , 1.26  , 1.26  ,0, 1.26  ,0,0,0, 1.26  , 1.26  , 1.26  , 2.70  , 2.63  , 2.55  , 1.48  , 1.57  , 1.27  , 1.46  
8, 2030 , 1.37  , 1.37  ,0,0, 1.37  ,0, 1.37  , 2.50  , 1.37  , 1.37  , 1.37  , 1.37  ,0, 1.37  , 1.37  , 2.50  , 2.50  , 1.37  , 1.37  , 1.37  ,0, 1.37  ,0,0,0, 1.37  , 1.37  , 1.37  , 3.89  , 3.78  , 3.67  , 2.08  , 2.50  , 1.37  , 2.06  
9, 2040 , 1.49  , 1.49  ,0,0, 1.49  ,0, 1.49  , 3.91  , 1.49  , 1.49  , 1.49  , 1.49  ,0, 1.49  , 1.49  , 3.91  , 3.91  , 1.49  , 1.49  , 1.49  ,0, 1.49  ,0,0,0, 1.49  , 1.49  , 1.49  , 5.24  , 5.09  , 4.93  , 3.02  , 3.91  , 1.49  , 2.98  
10, 2050 , 1.61  , 1.61  ,0,0, 1.61  ,0, 1.61  , 5.54  , 1.61  , 1.61  , 1.61  , 1.61  ,0, 1.61  , 1.61  , 5.54  , 5.54  , 1.61  , 1.61  , 1.61  ,0, 1.61  ,0,0,0, 1.61  , 1.61  , 1.61  , 6.70  , 6.51  , 6.30  , 4.15  , 5.54  , 1.61  , 4.11  
11, 2060 , 1.75  , 1.75  ,0,0, 1.75  ,0, 1.75  , 7.16  , 1.75  , 1.75  , 1.75  , 1.75  ,0, 1.75  , 1.75  , 7.16  , 7.16  , 1.75  , 1.75  , 1.75  ,0, 1.75  ,0,0,0, 1.75  , 1.75  , 1.75  , 8.17  , 7.94  , 7.69  , 5.32  , 7.16  , 1.76  , 5.26  
12, 2070 , 1.92  , 1.92  ,0,0, 1.92  ,0, 1.92  , 8.59  , 1.92  , 1.92  , 1.92  , 1.92  ,0, 1.92  , 1.92  , 8.59  , 8.59  , 1.92  , 1.92  , 1.92  ,0, 1.92  ,0,0,0, 1.92  , 1.92  , 1.92  , 9.65  , 9.38  , 9.08  , 6.37  , 8.59  , 1.93  , 6.30  
13, 2080 , 2.10  , 2.10  ,0,0, 2.10  ,0, 2.10  , 9.75  , 2.10  , 2.10  , 2.10  , 2.10  ,0, 2.10  , 2.10  , 9.75  , 9.75  , 2.10  , 2.10  , 2.10  ,0, 2.10  ,0,0,0, 2.10  , 2.10  , 2.10  , 11.08 , 10.77 , 10.43 , 7.25  , 9.75  , 2.10  , 7.18  
14, 2090 , 2.30  , 2.30  ,0,0, 2.30  ,0, 2.30  , 10.84 , 2.30  , 2.30  , 2.30  , 2.30  ,0, 2.30  , 2.30  , 10.84 , 10.84 , 2.30  , 2.30  , 2.30  ,0, 2.30  ,0,0,0, 2.30  , 2.30  , 2.30  , 12.53 , 12.18 , 11.80 , 8.06  , 10.84 , 2.30  , 7.98  
15, 2100 , 2.53  , 2.53  ,0,0, 2.53  ,0, 2.53  , 11.97 , 2.53  , 2.53  , 2.53  , 2.53  ,0, 2.53  , 2.53  , 11.97 , 11.97 , 2.53  , 2.53  , 2.53  ,0, 2.53  ,0,0,0, 2.53  , 2.53  , 2.53  , 13.98 , 13.59 , 13.16 , 8.90  , 11.97 , 2.53  , 8.81  
16, 2110 , 2.79  , 2.79  ,0,0, 2.79  ,0, 2.79  , 13.22 , 2.79  , 2.79  , 2.79  , 2.79  ,0, 2.79  , 2.79  , 13.22 , 13.22 , 2.79  , 2.79  , 2.79  ,0, 2.79  ,0,0,0, 2.79  , 2.79  , 2.79  , 15.44 , 15.01 , 14.54 , 9.83  , 13.22 , 2.80  , 9.73  
17, 2120 , 3.08  , 3.08  ,0,0, 3.08  ,0, 3.08  , 14.61 , 3.08  , 3.08  , 3.08  , 3.08  ,0, 3.08  , 3.08  , 14.61 , 14.61 , 3.08  , 3.08  , 3.08  ,0, 3.08  ,0,0,0, 3.08  , 3.08  , 3.08  , 17.06 , 16.58 , 16.06 , 10.86 , 14.61 , 3.09  , 10.75 
18, 2130 , 3.40  , 3.40  ,0,0, 3.40  ,0, 3.40  , 16.13 , 3.40  , 3.40  , 3.40  , 3.40  ,0, 3.40  , 3.40  , 16.13 , 16.13 , 3.40  , 3.40  , 3.40  ,0, 3.40  ,0,0,0, 3.40  , 3.40  , 3.40  , 18.84 , 18.32 , 17.74 , 12.00 , 16.13 , 3.41  , 11.87 
19, 2140 , 3.76  , 3.76  ,0,0, 3.76  ,0, 3.76  , 17.82 , 3.76  , 3.76  , 3.76  , 3.76  ,0, 3.76  , 3.76  , 17.82 , 17.82 , 3.76  , 3.76  , 3.76  ,0, 3.76  ,0,0,0, 3.76  , 3.76  , 3.76  , 20.81 , 20.23 , 19.59 , 13.25 , 17.82 , 3.77  , 13.12 
20, 2150 , 4.15  , 4.15  ,0,0, 4.15  ,0, 4.15  , 19.69 , 4.15  , 4.15  , 4.15  , 4.15  ,0, 4.15  , 4.15  , 19.69 , 19.69 , 4.15  , 4.15  , 4.15  ,0, 4.15  ,0,0,0, 4.15  , 4.15  , 4.15  , 22.99 , 22.35 , 21.64 , 14.64 , 19.69 , 4.16  , 14.49 
21, 2160 , 4.59  , 4.59  ,0,0, 4.59  ,0, 4.59  , 21.75 , 4.59  , 4.59  , 4.59  , 4.59  ,0, 4.59  , 4.59  , 21.75 , 21.75 , 4.59  , 4.59  , 4.59  ,0, 4.59  ,0,0,0, 4.59  , 4.59  , 4.59  , 25.39 , 24.69 , 23.91 , 16.17 , 21.75 , 4.60  , 16.00 
22, 2170 , 5.07  , 5.07  ,0,0, 5.07  ,0, 5.07  , 24.02 , 5.07  , 5.07  , 5.07  , 5.07  ,0, 5.07  , 5.07  , 24.02 , 24.02 , 5.07  , 5.07  , 5.07  ,0, 5.07  ,0,0,0, 5.07  , 5.07  , 5.07  , 28.05 , 27.27 , 26.41 , 17.86 , 24.02 , 5.08  , 17.68 
23, 2180 , 5.60  , 5.60  ,0,0, 5.60  ,0, 5.60  , 26.53 , 5.60  , 5.60  , 5.60  , 5.60  ,0, 5.60  , 5.60  , 26.53 , 26.53 , 5.60  , 5.60  , 5.60  ,0, 5.60  ,0,0,0, 5.60  , 5.60  , 5.60  , 30.99 , 30.12 , 29.17 , 19.73 , 26.53 , 5.61  , 19.53 
24, 2190 , 6.18  , 6.18  ,0,0, 6.18  ,0, 6.18  , 29.31 , 6.18  , 6.18  , 6.18  , 6.18  ,0, 6.18  , 6.18  , 29.31 , 29.31 , 6.18  , 6.18  , 6.18  ,0, 6.18  ,0,0,0, 6.18  , 6.18  , 6.18  , 34.23 , 33.27 , 32.22 , 21.79 , 29.31 , 6.20  , 21.57 
25, 2200 , 6.83  , 6.83  ,0,0, 6.83  ,0, 6.83  , 32.38 , 6.83  , 6.83  , 6.83  , 6.83  ,0, 6.83  , 6.83  , 32.38 , 32.38 , 6.83  , 6.83  , 6.83  ,0, 6.83  ,0,0,0, 6.83  , 6.83  , 6.83  , 37.81 , 36.76 , 35.59 , 24.07 , 32.38 , 6.85  , 23.83 
26, 2210 , 7.53  , 7.53  ,0,0, 7.53  ,0, 7.53  , 35.70 , 7.53  , 7.53  , 7.53  , 7.53  ,0, 7.53  , 7.53  , 35.70 , 35.70 , 7.53  , 7.53  , 7.53  ,0, 7.53  ,0,0,0, 7.53  , 7.53  , 7.53  , 41.69 , 40.53 , 39.25 , 26.55 , 35.70 , 7.55  , 26.27 
27, 2220 , 8.27  , 8.27  ,0,0, 8.27  ,0, 8.27  , 39.21 , 8.27  , 8.27  , 8.27  , 8.27  ,0, 8.27  , 8.27  , 39.21 , 39.21 , 8.27  , 8.27  , 8.27  ,0, 8.27  ,0,0,0, 8.27  , 8.27  , 8.27  , 45.79 , 44.51 , 43.11 , 29.16 , 39.21 , 8.29  , 28.86 
28, 2230 , 9.05  , 9.05  ,0,0, 9.05  ,0, 9.05  , 42.89 , 9.05  , 9.05  , 9.05  , 9.05  ,0, 9.05  , 9.05  , 42.89 , 42.89 , 9.05  , 9.05  , 9.05  ,0, 9.05  ,0,0,0, 9.05  , 9.05  , 9.05  , 50.09 , 48.69 , 47.16 , 31.89 , 42.89 , 9.07  , 31.57 
29, 2240 , 9.86  , 9.86  ,0,0, 9.86  ,0, 9.86  , 46.74 , 9.86  , 9.86  , 9.86  , 9.86  ,0, 9.86  , 9.86  , 46.74 , 46.74 , 9.86  , 9.86  , 9.86  ,0, 9.86  ,0,0,0, 9.86  , 9.86  , 9.86  , 54.58 , 53.06 , 51.38 , 34.75 , 46.74 , 9.89  , 34.40 
30, 2250 , 10.70 , 10.70 ,0,0, 10.70 ,0, 10.70 , 50.72 , 10.70 , 10.70 , 10.70 , 10.70 ,0, 10.70 , 10.70 , 50.72 , 50.72 , 10.70 , 10.70 , 10.70 ,0, 10.70 ,0,0,0, 10.70 , 10.70 , 10.70 , 59.23 , 57.59 , 55.77 , 37.72 , 50.72 , 10.73 , 37.33 
31, 2260 , 11.57 , 11.57 ,0,0, 11.57 ,0, 11.57 , 54.83 , 11.57 , 11.57 , 11.57 , 11.57 ,0, 11.57 , 11.57 , 54.83 , 54.83 , 11.57 , 11.57 , 11.57 ,0, 11.57 ,0,0,0, 11.57 , 11.57 , 11.57 , 64.03 , 62.25 , 60.28 , 40.77 , 54.83 , 11.60 , 40.36 
32, 2270 , 12.45 , 12.45 ,0,0, 12.45 ,0, 12.45 , 59.04 , 12.45 , 12.45 , 12.45 , 12.45 ,0, 12.45 , 12.45 , 59.04 , 59.04 , 12.45 , 12.45 , 12.45 ,0, 12.45 ,0,0,0, 12.45 , 12.45 , 12.45 , 68.95 , 67.03 , 64.91 , 43.90 , 59.04 , 12.49 , 43.45 
33, 2280 , 13.36 , 13.36 ,0,0, 13.36 ,0, 13.36 , 63.32 , 13.36 , 13.36 , 13.36 , 13.36 ,0, 13.36 , 13.36 , 63.32 , 63.32 , 13.36 , 13.36 , 13.36 ,0, 13.36 ,0,0,0, 13.36 , 13.36 , 13.36 , 73.94 , 71.88 , 69.61 , 47.08 , 63.32 , 13.39 , 46.60 
34, 2290 , 14.27 , 14.27 ,0,0, 14.27 ,0, 14.27 , 67.64 , 14.27 , 14.27 , 14.27 , 14.27 ,0, 14.27 , 14.27 , 67.64 , 67.64 , 14.27 , 14.27 , 14.27 ,0, 14.27 ,0,0,0, 14.27 , 14.27 , 14.27 , 78.98 , 76.79 , 74.36 , 50.29 , 67.64 , 14.31 , 49.78 
35, 2300 , 15.18 , 15.18 ,0,0, 15.18 ,0, 15.18 , 71.96 , 15.18 , 15.18 , 15.18 , 15.18 ,0, 15.18 , 15.18 , 71.96 , 71.96 , 15.18 , 15.18 , 15.18 ,0, 15.18 ,0,0,0, 15.18 , 15.18 , 15.18 , 84.04 , 81.70 , 79.12 , 53.51 , 71.96 , 15.22 , 52.96 
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
