WILIAM region,WILIAM code,FUND code,FUND region,Country,ISO
"United States, Mexico and Canada",USMCA,USA,USA,United States of America,USA
"United States, Mexico and Canada",USMCA,CAN,Canada,Canada,CAN
Rest of the world,LROW,WEU,Western Europe,Andorra,AND
European Union,EU27,WEU,Western Europe, Austria,AUT
European Union,EU27,WEU,Western Europe, Belgium,BEL
European Union,EU27,WEU,Western Europe, Cyprus,CYP
European Union,EU27,WEU,Western Europe, Denmark,DNK
European Union,EU27,WEU,Western Europe, Finland,FIN
European Union,EU27,WEU,Western Europe, France,FRA
European Union,EU27,WEU,Western Europe, Germany,DEU
European Union,EU27,WEU,Western Europe, Greece,GRC
Rest of the world,LROW,WEU,Western Europe, Iceland,ISL
European Union,EU27,WEU,Western Europe, Ireland,IRL
European Union,EU27,WEU,Western Europe, Italy,ITA
Rest of the world,LROW,WEU,Western Europe, Liechtenstein,LIE
European Union,EU27,WEU,Western Europe, Luxembourg,LUX
European Union,EU27,WEU,Western Europe, Malta,MLT
Rest of the world,LROW,WEU,Western Europe, Monaco,MCO
European Union,EU27,WEU,Western Europe, Netherlands,NLD
Rest of the world,LROW,WEU,Western Europe, Norway,NOR
European Union,EU27,WEU,Western Europe, Portugal,PRT
Rest of the world,LROW,WEU,Western Europe, San Marino,SMR
European Union,EU27,WEU,Western Europe, Spain,ESP
European Union,EU27,WEU,Western Europe, Sweden,SWE
Rest of the world,LROW,WEU,Western Europe, Switzerland,CHE
United Kingdom,UK,WEU,Western Europe, United Kingdom,GBR
East Asia and Oceania,EASOC,JPK,Japan and South Korea,Japan,JPN
East Asia and Oceania,EASOC,JPK,Japan and South Korea, South Korea,KOR
East Asia and Oceania,EASOC,ANZ,Australia and New Zealand,Australia,AUS
East Asia and Oceania,EASOC,ANZ,Australia and New Zealand, New Zealand,NZL
Rest of the world,LROW,CEE,Central and Eastern Europe,Albania,ALB
Rest of the world,LROW,CEE,Central and Eastern Europe, Bosnia and Herzegovina,BIH
European Union,EU27,CEE,Central and Eastern Europe, Bulgaria,BGR
European Union,EU27,CEE,Central and Eastern Europe, Croatia,HRV
Rest of the world,LROW,CEE,Central and Eastern Europe, Czech Republic,CAF
European Union,EU27,CEE,Central and Eastern Europe, Hungary,HUN
Rest of the world,LROW,CEE,Central and Eastern Europe, FYR Macedonia,
European Union,EU27,CEE,Central and Eastern Europe, Poland,POL
European Union,EU27,CEE,Central and Eastern Europe, Romania,ROU
European Union,EU27,CEE,Central and Eastern Europe, Slovakia,SVK
European Union,EU27,CEE,Central and Eastern Europe, Slovenia,SVN
European Union,EU27,CEE,Central and Eastern Europe, Yugoslavia,LVA
Rest of the world,LROW,FSU,Former Soviet Union,Armenia,ARM
Rest of the world,LROW,FSU,Former Soviet Union, Azerbaijan,AZE
Rest of the world,LROW,FSU,Former Soviet Union, Belarus,BLR
European Union,EU27,FSU,Former Soviet Union, Estonia,EST
Rest of the world,LROW,FSU,Former Soviet Union, Georgia,GEO
Rest of the world,LROW,FSU,Former Soviet Union, Kazakhstan,KAZ
Rest of the world,LROW,FSU,Former Soviet Union, Kyrgyzstan,KGZ
European Union,EU27,FSU,Former Soviet Union, Latvia,LVA
European Union,EU27,FSU,Former Soviet Union, Lithuania,LTU
Rest of the world,LROW,FSU,Former Soviet Union, Moldova,MDA
Russia,Russia,FSU,Former Soviet Union, Russia,RUS
Rest of the world,LROW,FSU,Former Soviet Union, Tajikistan,TJK
Rest of the world,LROW,FSU,Former Soviet Union, Turkmenistan,TKM
Rest of the world,LROW,FSU,Former Soviet Union, Ukraine,UKR
Rest of the world,LROW,FSU,Former Soviet Union, Uzbekistan,UZB
Rest of the world,LROW,MDE,Middle East,Bahrain,BHR
Rest of the world,LROW,MDE,Middle East, Iran,IRN
Rest of the world,LROW,MDE,Middle East, Iraq,IRQ
Rest of the world,LROW,MDE,Middle East, Israel,ISR
Rest of the world,LROW,MDE,Middle East, Jordan,JOR
Rest of the world,LROW,MDE,Middle East, Kuwait,KWT
Rest of the world,LROW,MDE,Middle East, Lebanon,LBN
Rest of the world,LROW,MDE,Middle East, Oman,OMN
Rest of the world,LROW,MDE,Middle East, Qatar,QAT
Rest of the world,LROW,MDE,Middle East, Saudi Arabia,SAU
Rest of the world,LROW,MDE,Middle East, Syria,SYR
Rest of the world,LROW,MDE,Middle East, Turkey,
Rest of the world,LROW,MDE,Middle East, United Arab Emirates,ARE
Rest of the world,LROW,MDE,Middle East, West Bank and Gaza,BES
Rest of the world,LROW,MDE,Middle East, Yemen,YEM
Rest of the world,LROW,CAM,Central America,Belize,BLZ
Latin America,LATAM,CAM,Central America, Costa Rica,CRI
Rest of the world,LROW,CAM,Central America, El Salvador,SLV
Rest of the world,LROW,CAM,Central America, Guatemala,GTM
Rest of the world,LROW,CAM,Central America, Honduras,HND
"United States, Mexico and Canada",USMCA,CAM,Central America, Mexico,MEX
Rest of the world,LROW,CAM,Central America, Nicaragua,NIC
Rest of the world,LROW,CAM,Central America, Panama,PAN
Latin America,LATAM,SAM,South America,Argentina,ARG
Rest of the world,LROW,SAM,South America, Bolivia,BOL
Latin America,LATAM,SAM,South America, Brazil,BRA
Latin America,LATAM,SAM,South America, Chile,CHL
Latin America,LATAM,SAM,South America, Colombia,COL
Rest of the world,LROW,SAM,South America, Ecuador,ECU
Rest of the world,LROW,SAM,South America, French Guiana,GUF
Rest of the world,LROW,SAM,South America, Guyana,GUY
Rest of the world,LROW,SAM,South America, Paraguay,PRY
Latin America,LATAM,SAM,South America, Peru,PER
Rest of the world,LROW,SAM,South America, Suriname,SUR
Rest of the world,LROW,SAM,South America, Uruguay,URY
Rest of the world,LROW,SAM,South America, Venezuela,VEN
Rest of the world,LROW,SAS,South Asia,Afghanistan,AFG
Rest of the world,LROW,SAS,South Asia, Bangladesh,BGD
Rest of the world,LROW,SAS,South Asia, Bhutan,BTN
India,India,SAS,South Asia, India,IND
Rest of the world,LROW,SAS,South Asia, Nepal,NPL
Rest of the world,LROW,SAS,South Asia, Pakistan,PAK
Rest of the world,LROW,SAS,South Asia, Sri Lanka,LKA
East Asia and Oceania,EASOC,SEA,Southeast Asia,Brunei,BRN
East Asia and Oceania,EASOC,SEA,Southeast Asia, Cambodia,KHM
Rest of the world,LROW,SEA,Southeast Asia, East Timor,TLS
East Asia and Oceania,EASOC,SEA,Southeast Asia, Indonesia,IDN
Rest of the world,LROW,SEA,Southeast Asia, Laos,
East Asia and Oceania,EASOC,SEA,Southeast Asia, Malaysia,MYS
Rest of the world,LROW,SEA,Southeast Asia, Myanmar,MMR
