 Year , USA   , CAN   , WEU   , JPK   , ANZ   , EEU   , FSU   , MDE   , CAM  , SAM  , SAS   , SEA   , CHI   , NAF  , SSA  , SIS  
 1950 , 0.67  , 0.60  , 0.60  , 1.43  , 1.05  , 0.80  , 1.21  , 2.72  , 1.14 , 0.98 , 1.77  , 1.66  , 1.24  , 1.24 , 1.55 , 1.25 
 1960 , 0.74  , 0.70  , 0.60  , 1.17  , 1.07  , 0.70  , 1.03  , 1.90  , 1.09 , 0.99 , 1.52  , 1.34  , 0.46  , 1.33 , 1.37 , 1.02 
 1970 , 0.72  , 0.68  , 0.59  , 0.80  , 1.11  , 0.65  , 1.00  , 1.40  , 1.16 , 1.02 , 1.40  , 1.04  , 0.62  , 1.07 , 1.18 , 0.87 
 1980 , 0.79  , 0.73  , 0.66  , 0.87  , 1.11  , 0.66  , 0.99  , 1.33  , 1.05 , 1.10 , 1.15  , 1.09  , 0.60  , 1.01 , 1.11 , 0.84 
 1990 , 0.96  , 0.98  , 0.90  , 1.04  , 0.98  , 0.86  , 1.20  , 1.08  , 1.02 , 1.06 , 1.03  , 1.12  , 0.81  , 1.06 , 1.00 , 1.06 
 2000 , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00 , 1.00 , 1.00  , 1.00  , 1.00  , 1.00 , 1.00 , 1.00 
 2010 , 1.07  , 1.07  , 1.07  , 1.01  , 1.04  , 1.09  , 0.99  , 1.07  , 0.97 , 0.96 , 1.00  , 0.97  , 1.12  , 0.96 , 0.98 , 1.04 
 2020 , 1.16  , 1.17  , 1.13  , 1.07  , 1.10  , 1.18  , 1.11  , 1.22  , 0.99 , 0.98 , 1.05  , 1.02  , 1.20  , 0.98 , 1.00 , 1.15 
 2030 , 1.24  , 1.26  , 1.21  , 1.15  , 1.17  , 1.33  , 1.26  , 1.38  , 1.12 , 1.10 , 1.18  , 1.14  , 1.34  , 1.10 , 1.13 , 1.32 
 2040 , 1.33  , 1.35  , 1.30  , 1.23  , 1.26  , 1.56  , 1.47  , 1.63  , 1.28 , 1.27 , 1.39  , 1.35  , 1.58  , 1.27 , 1.29 , 1.51 
 2050 , 1.51  , 1.53  , 1.47  , 1.39  , 1.42  , 1.83  , 1.73  , 1.93  , 1.49 , 1.47 , 1.64  , 1.59  , 1.87  , 1.47 , 1.50 , 1.75 
 2060 , 1.81  , 1.84  , 1.77  , 1.67  , 1.71  , 2.18  , 2.06  , 2.28  , 1.76 , 1.74 , 1.94  , 1.88  , 2.21  , 1.74 , 1.78 , 2.08 
 2070 , 2.15  , 2.18  , 2.10  , 1.98  , 2.03  , 2.55  , 2.41  , 2.67  , 2.05 , 2.02 , 2.27  , 2.20  , 2.59  , 2.02 , 2.06 , 2.41 
 2080 , 2.49  , 2.52  , 2.43  , 2.29  , 2.35  , 2.90  , 2.74  , 3.05  , 2.28 , 2.25 , 2.59  , 2.52  , 2.95  , 2.25 , 2.29 , 2.68 
 2090 , 2.84  , 2.88  , 2.77  , 2.62  , 2.67  , 3.24  , 3.06  , 3.44  , 2.47 , 2.44 , 2.93  , 2.84  , 3.33  , 2.44 , 2.49 , 2.91 
 2100 , 3.19  , 3.24  , 3.11  , 2.94  , 3.01  , 3.56  , 3.37  , 3.84  , 2.64 , 2.61 , 3.27  , 3.17  , 3.72  , 2.61 , 2.66 , 3.11 
 2110 , 3.52  , 3.57  , 3.43  , 3.24  , 3.32  , 3.83  , 3.62  , 4.23  , 2.78 , 2.74 , 3.60  , 3.50  , 4.10  , 2.74 , 2.80 , 3.27 
 2120 , 3.86  , 3.91  , 3.76  , 3.56  , 3.64  , 4.11  , 3.89  , 4.64  , 2.92 , 2.88 , 3.95  , 3.83  , 4.50  , 2.88 , 2.94 , 3.44 
 2130 , 4.21  , 4.27  , 4.11  , 3.88  , 3.97  , 4.40  , 4.17  , 5.06  , 3.07 , 3.03 , 4.31  , 4.18  , 4.91  , 3.03 , 3.09 , 3.61 
 2140 , 4.58  , 4.64  , 4.46  , 4.22  , 4.31  , 4.70  , 4.45  , 5.50  , 3.22 , 3.19 , 4.68  , 4.54  , 5.33  , 3.19 , 3.25 , 3.80 
 2150 , 4.94  , 5.01  , 4.82  , 4.56  , 4.66  , 5.01  , 4.74  , 5.94  , 3.39 , 3.35 , 5.06  , 4.91  , 5.76  , 3.35 , 3.42 , 3.99 
 2160 , 5.32  , 5.39  , 5.18  , 4.90  , 5.01  , 5.33  , 5.04  , 6.39  , 3.56 , 3.52 , 5.44  , 5.28  , 6.19  , 3.52 , 3.59 , 4.20 
 2170 , 5.69  , 5.77  , 5.54  , 5.24  , 5.36  , 5.65  , 5.35  , 6.84  , 3.74 , 3.70 , 5.82  , 5.65  , 6.63  , 3.70 , 3.77 , 4.41 
 2180 , 6.05  , 6.14  , 5.90  , 5.58  , 5.70  , 5.98  , 5.66  , 7.28  , 3.94 , 3.89 , 6.20  , 6.01  , 7.06  , 3.89 , 3.97 , 4.64 
 2190 , 6.41  , 6.50  , 6.25  , 5.91  , 6.04  , 6.31  , 5.97  , 7.71  , 4.14 , 4.09 , 6.56  , 6.37  , 7.47  , 4.09 , 4.17 , 4.87 
 2200 , 6.76  , 6.85  , 6.59  , 6.23  , 6.37  , 6.64  , 6.28  , 8.12  , 4.35 , 4.30 , 6.92  , 6.71  , 7.88  , 4.30 , 4.38 , 5.12 
 2210 , 7.10  , 7.20  , 6.93  , 6.55  , 6.69  , 6.98  , 6.61  , 8.54  , 4.57 , 4.52 , 7.27  , 7.05  , 8.28  , 4.52 , 4.61 , 5.38 
 2220 , 7.47  , 7.57  , 7.28  , 6.88  , 7.03  , 7.33  , 6.94  , 8.98  , 4.80 , 4.75 , 7.64  , 7.42  , 8.70  , 4.75 , 4.84 , 5.66 
 2230 , 7.85  , 7.96  , 7.65  , 7.23  , 7.39  , 7.71  , 7.30  , 9.44  , 5.05 , 4.99 , 8.03  , 7.79  , 9.15  , 4.99 , 5.09 , 5.95 
 2240 , 8.25  , 8.37  , 8.04  , 7.60  , 7.77  , 8.10  , 7.67  , 9.92  , 5.31 , 5.25 , 8.45  , 8.19  , 9.62  , 5.25 , 5.35 , 6.25 
 2250 , 8.67  , 8.79  , 8.46  , 7.99  , 8.17  , 8.52  , 8.06  , 10.43 , 5.58 , 5.52 , 8.88  , 8.61  , 10.11 , 5.52 , 5.62 , 6.57 
 2260 , 9.12  , 9.24  , 8.89  , 8.40  , 8.59  , 8.95  , 8.48  , 10.96 , 5.87 , 5.80 , 9.33  , 9.05  , 10.62 , 5.80 , 5.91 , 6.91 
 2270 , 9.58  , 9.72  , 9.34  , 8.83  , 9.03  , 9.41  , 8.91  , 11.52 , 6.17 , 6.10 , 9.81  , 9.52  , 11.17 , 6.10 , 6.22 , 7.26 
 2280 , 10.07 , 10.21 , 9.82  , 9.28  , 9.49  , 9.89  , 9.37  , 12.11 , 6.48 , 6.41 , 10.31 , 10.00 , 11.74 , 6.41 , 6.53 , 7.63 
 2290 , 10.59 , 10.74 , 10.32 , 9.76  , 9.97  , 10.40 , 9.84  , 12.73 , 6.81 , 6.74 , 10.84 , 10.51 , 12.34 , 6.74 , 6.87 , 8.02 
 2300 , 11.13 , 11.29 , 10.85 , 10.26 , 10.48 , 10.93 , 10.35 , 13.38 , 7.16 , 7.08 , 11.39 , 11.05 , 12.97 , 7.08 , 7.22 , 8.43 
