 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.67 , 0.60 , 0.60 , 1.43 , 1.05 , 0.80 , 1.21 , 2.72 , 1.13 , 0.97 , 1.77 , 1.66 , 1.24 , 1.23 , 1.54 , 1.25 
 1960 , 0.74 , 0.70 , 0.60 , 1.17 , 1.07 , 0.70 , 1.03 , 1.90 , 1.08 , 0.98 , 1.52 , 1.33 , 0.46 , 1.32 , 1.36 , 1.02 
 1970 , 0.72 , 0.68 , 0.59 , 0.80 , 1.11 , 0.65 , 1.00 , 1.40 , 1.15 , 1.02 , 1.39 , 1.03 , 0.62 , 1.06 , 1.17 , 0.87 
 1980 , 0.79 , 0.73 , 0.66 , 0.87 , 1.11 , 0.66 , 0.99 , 1.33 , 1.04 , 1.09 , 1.15 , 1.09 , 0.60 , 1.00 , 1.10 , 0.84 
 1990 , 0.96 , 0.98 , 0.90 , 1.04 , 0.99 , 0.86 , 1.20 , 1.08 , 1.02 , 1.05 , 1.03 , 1.11 , 0.81 , 1.05 , 1.00 , 1.06 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.07 , 1.07 , 1.07 , 1.01 , 1.03 , 1.09 , 0.99 , 1.07 , 1.02 , 1.01 , 1.02 , 0.99 , 1.12 , 1.01 , 1.03 , 1.04 
 2020 , 1.16 , 1.17 , 1.13 , 1.05 , 1.07 , 1.13 , 1.07 , 1.20 , 1.08 , 1.07 , 1.08 , 1.05 , 1.18 , 1.07 , 1.09 , 1.12 
 2030 , 1.23 , 1.25 , 1.20 , 1.12 , 1.14 , 1.15 , 1.09 , 1.29 , 1.15 , 1.14 , 1.15 , 1.11 , 1.25 , 1.14 , 1.16 , 1.21 
 2040 , 1.33 , 1.35 , 1.30 , 1.20 , 1.23 , 1.16 , 1.10 , 1.41 , 1.27 , 1.25 , 1.25 , 1.21 , 1.37 , 1.25 , 1.28 , 1.32 
 2050 , 1.42 , 1.44 , 1.39 , 1.29 , 1.32 , 1.21 , 1.15 , 1.56 , 1.36 , 1.34 , 1.38 , 1.34 , 1.51 , 1.34 , 1.37 , 1.42 
 2060 , 1.51 , 1.53 , 1.48 , 1.37 , 1.40 , 1.31 , 1.24 , 1.70 , 1.45 , 1.44 , 1.51 , 1.47 , 1.65 , 1.44 , 1.46 , 1.52 
 2070 , 1.60 , 1.63 , 1.56 , 1.45 , 1.48 , 1.38 , 1.30 , 1.82 , 1.57 , 1.55 , 1.59 , 1.54 , 1.74 , 1.55 , 1.58 , 1.64 
 2080 , 1.65 , 1.68 , 1.61 , 1.49 , 1.53 , 1.43 , 1.35 , 1.86 , 1.67 , 1.65 , 1.59 , 1.54 , 1.74 , 1.65 , 1.68 , 1.74 
 2090 , 1.68 , 1.70 , 1.64 , 1.52 , 1.55 , 1.51 , 1.43 , 1.81 , 1.76 , 1.74 , 1.55 , 1.51 , 1.70 , 1.74 , 1.77 , 1.84 
 2100 , 1.73 , 1.76 , 1.69 , 1.57 , 1.60 , 1.60 , 1.51 , 1.82 , 1.85 , 1.83 , 1.55 , 1.51 , 1.70 , 1.83 , 1.86 , 1.93 
 2110 , 1.82 , 1.85 , 1.78 , 1.65 , 1.68 , 1.68 , 1.59 , 1.91 , 1.94 , 1.92 , 1.63 , 1.58 , 1.79 , 1.92 , 1.96 , 2.03 
 2120 , 1.91 , 1.94 , 1.87 , 1.73 , 1.77 , 1.77 , 1.67 , 2.01 , 2.04 , 2.02 , 1.72 , 1.67 , 1.88 , 2.02 , 2.06 , 2.13 
 2130 , 2.01 , 2.04 , 1.96 , 1.82 , 1.86 , 1.86 , 1.76 , 2.11 , 2.15 , 2.12 , 1.80 , 1.75 , 1.97 , 2.12 , 2.16 , 2.24 
 2140 , 2.12 , 2.15 , 2.06 , 1.91 , 1.96 , 1.95 , 1.85 , 2.22 , 2.26 , 2.23 , 1.90 , 1.84 , 2.07 , 2.23 , 2.28 , 2.36 
 2150 , 2.22 , 2.25 , 2.17 , 2.01 , 2.06 , 2.05 , 1.94 , 2.33 , 2.37 , 2.35 , 1.99 , 1.93 , 2.18 , 2.35 , 2.39 , 2.48 
 2160 , 2.34 , 2.37 , 2.28 , 2.11 , 2.16 , 2.16 , 2.04 , 2.45 , 2.49 , 2.47 , 2.10 , 2.03 , 2.29 , 2.47 , 2.51 , 2.60 
