 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.16 , 0.17 , 0.17 , 0.11 , 0.13 , 0.16 , 0.18 , 0.15 , 0.14 , 0.17 , 0.16 , 0.16 , 0.17 , 0.17 , 0.16 , 0.00 
 1960 , 0.29 , 0.25 , 0.29 , 0.33 , 0.25 , 0.26 , 0.27 , 0.31 , 0.29 , 0.29 , 0.29 , 0.28 , 0.29 , 0.30 , 0.28 , 0.00 
 1970 , 0.44 , 0.42 , 0.43 , 0.44 , 0.38 , 0.42 , 0.45 , 0.46 , 0.43 , 0.44 , 0.44 , 0.44 , 0.43 , 0.43 , 0.44 , 0.00 
 1980 , 0.74 , 0.75 , 0.74 , 0.78 , 0.75 , 0.74 , 0.73 , 0.77 , 0.71 , 0.74 , 0.73 , 0.75 , 0.74 , 0.73 , 0.74 , 1.00 
 1990 , 0.78 , 0.75 , 0.78 , 0.78 , 0.75 , 0.79 , 0.82 , 0.85 , 0.79 , 0.78 , 0.79 , 0.78 , 0.80 , 0.77 , 0.79 , 1.00 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.06 , 1.08 , 1.00 , 1.11 , 1.00 , 1.11 , 1.18 , 1.38 , 1.14 , 1.06 , 1.11 , 1.16 , 1.03 , 1.33 , 1.21 , 1.00 
 2020 , 1.09 , 1.08 , 0.97 , 1.11 , 1.13 , 1.16 , 1.36 , 1.62 , 1.36 , 1.16 , 1.21 , 1.25 , 1.03 , 1.57 , 1.42 , 1.00 
 2030 , 1.09 , 1.08 , 0.93 , 1.22 , 1.25 , 1.16 , 1.55 , 2.00 , 1.50 , 1.26 , 1.30 , 1.34 , 1.03 , 1.73 , 1.58 , 1.00 
 2040 , 1.08 , 1.17 , 0.90 , 1.22 , 1.38 , 1.11 , 1.73 , 2.15 , 1.57 , 1.32 , 1.38 , 1.44 , 1.03 , 1.83 , 1.79 , 1.00 
 2050 , 1.15 , 1.25 , 0.92 , 1.33 , 1.38 , 1.05 , 1.91 , 2.31 , 1.57 , 1.40 , 1.46 , 1.50 , 1.06 , 1.97 , 1.95 , 1.00 
 2060 , 1.21 , 1.33 , 0.94 , 1.33 , 1.50 , 1.05 , 2.09 , 2.38 , 1.64 , 1.52 , 1.53 , 1.56 , 1.11 , 2.10 , 2.12 , 1.00 
 2070 , 1.30 , 1.42 , 0.99 , 1.33 , 1.50 , 1.05 , 2.27 , 2.46 , 1.71 , 1.61 , 1.55 , 1.72 , 1.09 , 2.20 , 2.23 , 1.00 
