 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.57 , 0.44 , 0.79 , 0.60 , 0.49 , 0.70 , 0.62 , 0.25 , 0.27 , 0.33 , 0.34 , 0.35 , 0.43 , 0.31 , 0.28 , 0.43 
 1960 , 0.67 , 0.57 , 0.84 , 0.69 , 0.61 , 0.79 , 0.74 , 0.32 , 0.36 , 0.43 , 0.42 , 0.43 , 0.51 , 0.39 , 0.34 , 0.52 
 1970 , 0.75 , 0.68 , 0.91 , 0.79 , 0.73 , 0.86 , 0.83 , 0.43 , 0.50 , 0.56 , 0.53 , 0.55 , 0.65 , 0.50 , 0.44 , 0.64 
 1980 , 0.83 , 0.79 , 0.94 , 0.89 , 0.81 , 0.94 , 0.91 , 0.58 , 0.66 , 0.70 , 0.67 , 0.69 , 0.78 , 0.64 , 0.58 , 0.75 
 1990 , 0.91 , 0.89 , 0.97 , 0.96 , 0.87 , 0.99 , 0.99 , 0.80 , 0.82 , 0.85 , 0.83 , 0.85 , 0.90 , 0.82 , 0.77 , 0.87 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.07 , 1.08 , 1.04 , 1.05 , 1.08 , 1.02 , 1.02 , 1.19 , 1.21 , 1.19 , 1.16 , 1.15 , 1.12 , 1.22 , 1.25 , 1.19 
 2020 , 1.12 , 1.13 , 1.09 , 1.10 , 1.13 , 1.06 , 1.06 , 1.34 , 1.46 , 1.44 , 1.31 , 1.29 , 1.25 , 1.47 , 1.51 , 1.43 
 2030 , 1.18 , 1.19 , 1.14 , 1.15 , 1.19 , 1.12 , 1.12 , 1.51 , 1.77 , 1.74 , 1.47 , 1.45 , 1.41 , 1.78 , 1.83 , 1.73 
 2040 , 1.22 , 1.23 , 1.18 , 1.19 , 1.23 , 1.17 , 1.17 , 1.66 , 2.08 , 2.05 , 1.63 , 1.60 , 1.56 , 2.09 , 2.15 , 2.03 
 2050 , 1.26 , 1.27 , 1.22 , 1.23 , 1.27 , 1.22 , 1.22 , 1.75 , 2.26 , 2.23 , 1.72 , 1.69 , 1.64 , 2.28 , 2.34 , 2.21 
 2060 , 1.30 , 1.31 , 1.26 , 1.27 , 1.31 , 1.28 , 1.28 , 1.84 , 2.44 , 2.40 , 1.80 , 1.78 , 1.73 , 2.45 , 2.52 , 2.38 
 2070 , 1.36 , 1.37 , 1.32 , 1.33 , 1.37 , 1.36 , 1.35 , 1.94 , 2.64 , 2.60 , 1.90 , 1.88 , 1.82 , 2.65 , 2.73 , 2.58 
 2080 , 1.48 , 1.49 , 1.43 , 1.45 , 1.49 , 1.49 , 1.49 , 2.08 , 2.91 , 2.87 , 2.03 , 2.01 , 1.95 , 2.93 , 3.01 , 2.84 
 2090 , 1.58 , 1.59 , 1.53 , 1.54 , 1.59 , 1.59 , 1.59 , 2.15 , 3.06 , 3.01 , 2.11 , 2.08 , 2.02 , 3.08 , 3.16 , 2.99 
 2100 , 1.63 , 1.64 , 1.58 , 1.59 , 1.64 , 1.64 , 1.64 , 2.19 , 3.13 , 3.09 , 2.14 , 2.11 , 2.05 , 3.15 , 3.24 , 3.06 
 2110 , 1.68 , 1.69 , 1.63 , 1.64 , 1.69 , 1.69 , 1.69 , 2.22 , 3.21 , 3.16 , 2.18 , 2.15 , 2.09 , 3.22 , 3.31 , 3.13 
 2120 , 1.72 , 1.74 , 1.67 , 1.68 , 1.74 , 1.74 , 1.74 , 2.26 , 3.27 , 3.22 , 2.21 , 2.18 , 2.12 , 3.29 , 3.38 , 3.20 
