 Region  , Î´                    , Î³                         , Î¶       , ``\omega^{S}``      , ``\omega^{M}``     , ``W^M`` , ``W_{1990}`` , Ï€                   
 USA     ," 20000 (10000,>0)     "," 0.583 (0.031,>0,<1)       ", 1373498 ," 11400 (5700,>0)     "," 789 (8344,>0)      ", 31049   , 42828.8      ," 95.3 (95.3,>0)      "
 CAN     ," 970 (970,>0)         "," 0.261 (0.014,>0,<1)       ", 1170585 , 0                   , 0                  , 0       , 130509.75    ," 13 (13,>0)          "
 WEU     ," 4212 (1273,>0)       "," 0.273 (0.015,>0,<1)       ", 1004586 ," 3210 (1335,>0)      "," 903 (2188,>0)      ", 37202   , 95000.79     ," 153.9 (52.6,>0)     "
 JPK     ," 2687 (1213,>0)       "," 0.412 (0.027,>0,<1)       ", 171553  ," 573 (573,>0)        "," 7 (815,>0)         ", 3763    , 4609.85      ," 75.5 (54.7,>0)      "
 ANZ     ," 3135 (2920,>0)       "," 0.548 (0.035,>0,<1)       ", 1514759 ," 256 (256,>0)        "," 183 (508,>0)       ", 2511    , 55385.64     ," 36.6 (26.8,>0)      "
 EEU     ," 1889 (860,>0)        "," 0.193 (0.012,>0,<1)       ", 220274  ," 38 (18,>0)          "," 0 (26,>0)          ", 5       , 11297.61     ," 3.1 (1.7,>0)        "
 FSU     ," 15138 (15138,>0)     "," 0.555 (0.034,>0,<1)       ", 5527204 , 0                   , 0                  , 0       , 118955.64    ," 54 (54,>0)          "
 MDE     ," 1621 (1025,>0)       "," 0.628 (0.009,>0,<1)       ", 601498  , 0                   , 0                  , 140     , 16247.05     ," 18.9 (9.6,>0)       "
 CAM     ," 12004 (8033,>0)      "," 0.678 (0.026,>0,<1)       ", 509083  ," 14775 (11171,>0)    "," 238 (15832,>0)     ", 54279   , 76001.27     ," 42.3 (33.8,>0)      "
 LAM     ," 29407 (11847,>0)     "," 0.756 (0.020,>0,<1)       ", 3131627 ," 27234 (19016,>0)    "," 4748 (28997,>0)    ", 278791  , 394296.21    ," 117.6 (79,>0)       "
 SAS     ," 81275 (49361,>0)     "," 0.930 (0.024,>0,<1)       ", 1241785 ," 14303 (6005,>0)     "," 0 (8492,>0)        ", 65483   , 74226.89     ," 172 (153.6,>0)      "
 SEA     ," 157286 (90170,>0)    "," 0.812 (0.043,>0,<1)       ", 1908853 ," 50885 (29599,>0)    "," 4 (41860,>0)       ", 289431  , 299546.88    ," 169.7 (84.4,>0)     "
 CHI     ," 35000 (17500,>0)     "," 0.708 (0.024,>0,<1)       ", 973897  ," 5879 (5879,>0)      "," 1779 (9654,>0)     ", 19132   , 31321.6      ," 118.4 (118.4,>0)    "
 MAF     ," 8354 (3478,>0)       "," 0.337 (0.020,>0,<1)       ", 445413  ," 2649 (1989,>0)      "," 0 (2814,>0)        ", 7928    , 9304.2       ," 19 (10.2,>0)        "
 SSA     ," 126602 (63820,>0)    "," 0.799 (0.044,>0,<1)       ", 1395419 ," 27847 (9024,>0)     "," 345 (12768,>0)     ", 92617   , 236097.24    ," 84.3 (38.3,>0)      "
 SIS     ," 1505 (628,>0)        "," 0.667 (0.041,>0,<1)       ", 206778  ," 1528 (1067,>0)      "," 169 (1516,>0)      ", 5606    , 6271.74      ," 16 (5.7,>0)         "
,,,,,,,,
,,,,,,,,
