Year , USA   , CAN   , WEU   , JPK   , ANZ   , EEU   , FSU   , MDE   , CAM   , SAM   , SAS   , SEA   , CHI   , NAF   , SSA   , SIS   
1950 , 0.33  , 0.28  , 0.24  , 0.17  , 0.48  , 0.33  , 0.53  , 0.48  , 0.35  , 0.39  , 0.29  , 0.09  , 0.04  , 0.23  , 1.03  , 0.30  
1960 , 0.39  , 0.37  , 0.32  , 0.23  , 0.54  , 0.44  , 0.69  , 0.60  , 0.50  , 0.54  , 0.31  , 0.15  , 0.05  , 0.33  , 1.12  , 0.40  
1970 , 0.47  , 0.48  , 0.41  , 0.32  , 0.61  , 0.59  , 0.91  , 0.76  , 0.71  , 0.75  , 0.34  , 0.23  , 0.08  , 0.47  , 1.21  , 0.53  
1980 , 0.57  , 0.63  , 0.54  , 0.44  , 0.68  , 0.78  , 1.20  , 0.96  , 1.01  , 1.04  , 0.36  , 0.35  , 0.12  , 0.67  , 1.30  , 0.71  
1990 , 0.78  , 0.86  , 0.85  , 0.88  , 0.83  , 0.90  , 1.79  , 0.87  , 0.85  , 0.84  , 0.72  , 0.69  , 0.46  , 0.88  , 1.07  , 0.81  
2000 , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  
2010 , 1.15  , 1.15  , 1.15  , 1.16  , 1.16  , 0.92  , 0.96  , 1.17  , 1.15  , 1.16  , 1.37  , 1.42  , 1.46  , 1.17  , 1.15  , 1.21  
2020 , 1.27  , 1.28  , 1.27  , 1.28  , 1.28  , 1.23  , 1.27  , 1.54  , 1.45  , 1.46  , 1.80  , 1.86  , 1.91  , 1.47  , 1.45  , 1.52  
2030 , 1.45  , 1.45  , 1.44  , 1.45  , 1.45  , 1.73  , 1.80  , 2.09  , 1.87  , 1.88  , 2.44  , 2.52  , 2.59  , 1.89  , 1.86  , 1.96  
2040 , 1.62  , 1.62  , 1.62  , 1.62  , 1.63  , 2.25  , 2.33  , 2.70  , 2.29  , 2.31  , 3.15  , 3.26  , 3.35  , 2.32  , 2.29  , 2.40  
2050 , 1.75  , 1.75  , 1.75  , 1.76  , 1.76  , 2.66  , 2.76  , 3.19  , 2.64  , 2.66  , 3.73  , 3.86  , 3.97  , 2.67  , 2.63  , 2.76  
2060 , 1.90  , 1.91  , 1.90  , 1.91  , 1.91  , 3.16  , 3.27  , 3.80  , 3.06  , 3.08  , 4.45  , 4.60  , 4.73  , 3.10  , 3.05  , 3.21  
2070 , 2.10  , 2.11  , 2.10  , 2.11  , 2.11  , 3.87  , 4.02  , 4.71  , 3.66  , 3.69  , 5.51  , 5.69  , 5.85  , 3.71  , 3.65  , 3.84  
2080 , 2.46  , 2.47  , 2.45  , 2.47  , 2.47  , 5.25  , 5.45  , 6.53  , 4.88  , 4.92  , 7.64  , 7.89  , 8.12  , 4.94  , 4.87  , 5.11  
2090 , 2.74  , 2.75  , 2.73  , 2.75  , 2.75  , 6.44  , 6.68  , 8.17  , 5.97  , 6.02  , 9.56  , 9.87  , 10.15 , 6.05  , 5.96  , 6.26  
2100 , 2.95  , 2.95  , 2.94  , 2.96  , 2.96  , 7.11  , 7.38  , 9.06  , 6.57  , 6.62  , 10.60 , 10.95 , 11.26 , 6.65  , 6.56  , 6.88  
2110 , 3.26  , 3.26  , 3.25  , 3.27  , 3.27  , 7.85  , 8.15  , 10.01 , 7.26  , 7.32  , 11.70 , 12.09 , 12.44 , 7.35  , 7.24  , 7.60  
2120 , 3.60  , 3.60  , 3.59  , 3.61  , 3.61  , 8.67  , 9.00  , 11.05 , 8.02  , 8.08  , 12.93 , 13.36 , 13.74 , 8.12  , 8.00  , 8.40  
2130 , 3.97  , 3.98  , 3.96  , 3.99  , 3.99  , 9.58  , 9.94  , 12.21 , 8.86  , 8.93  , 14.28 , 14.75 , 15.18 , 8.97  , 8.84  , 9.28  
2140 , 4.39  , 4.40  , 4.38  , 4.40  , 4.40  , 10.58 , 10.98 , 13.49 , 9.78  , 9.86  , 15.78 , 16.30 , 16.76 , 9.91  , 9.76  , 10.25 
2150 , 4.85  , 4.86  , 4.83  , 4.86  , 4.86  , 11.69 , 12.13 , 14.90 , 10.81 , 10.89 , 17.43 , 18.00 , 18.52 , 10.94 , 10.78 , 11.32 
2160 , 5.35  , 5.37  , 5.34  , 5.37  , 5.37  , 12.92 , 13.40 , 16.46 , 11.94 , 12.03 , 19.25 , 19.89 , 20.46 , 12.09 , 11.91 , 12.51 
2170 , 5.92  , 5.93  , 5.90  , 5.93  , 5.94  , 14.27 , 14.80 , 18.18 , 13.18 , 13.29 , 21.26 , 21.97 , 22.60 , 13.35 , 13.16 , 13.82 
2180 , 6.53  , 6.55  , 6.52  , 6.55  , 6.56  , 15.76 , 16.35 , 20.08 , 14.56 , 14.68 , 23.49 , 24.27 , 24.96 , 14.75 , 14.53 , 15.26 
2190 , 7.22  , 7.23  , 7.20  , 7.24  , 7.24  , 17.41 , 18.06 , 22.18 , 16.09 , 16.22 , 25.95 , 26.80 , 27.57 , 16.29 , 16.05 , 16.86 
2200 , 7.97  , 7.99  , 7.95  , 8.00  , 8.00  , 19.23 , 19.95 , 24.50 , 17.77 , 17.92 , 28.66 , 29.61 , 30.46 , 18.00 , 17.73 , 18.62 
2210 , 8.79  , 8.81  , 8.77  , 8.82  , 8.82  , 21.20 , 22.00 , 27.02 , 19.60 , 19.76 , 31.60 , 32.65 , 33.58 , 19.85 , 19.55 , 20.53 
2220 , 9.66  , 9.67  , 9.63  , 9.69  , 9.69  , 23.29 , 24.16 , 29.68 , 21.52 , 21.70 , 34.71 , 35.86 , 36.88 , 21.80 , 21.48 , 22.55 
2230 , 10.56 , 10.58 , 10.53 , 10.60 , 10.60 , 25.48 , 26.43 , 32.46 , 23.54 , 23.74 , 37.97 , 39.23 , 40.35 , 23.84 , 23.49 , 24.67 
2240 , 11.51 , 11.53 , 11.48 , 11.55 , 11.55 , 27.76 , 28.80 , 35.37 , 25.65 , 25.86 , 41.37 , 42.74 , 43.97 , 25.98 , 25.60 , 26.88 
2250 , 12.49 , 12.52 , 12.46 , 12.53 , 12.53 , 30.13 , 31.26 , 38.39 , 27.84 , 28.07 , 44.90 , 46.39 , 47.72 , 28.20 , 27.78 , 29.17 
2260 , 13.50 , 13.53 , 13.47 , 13.55 , 13.55 , 32.57 , 33.79 , 41.50 , 30.10 , 30.34 , 48.54 , 50.15 , 51.58 , 30.48 , 30.03 , 31.54 
2270 , 14.54 , 14.57 , 14.50 , 14.59 , 14.59 , 35.07 , 36.38 , 44.69 , 32.41 , 32.67 , 52.26 , 53.99 , 55.54 , 32.82 , 32.34 , 33.96 
2280 , 15.59 , 15.62 , 15.55 , 15.64 , 15.65 , 37.61 , 39.02 , 47.92 , 34.75 , 35.04 , 56.05 , 57.91 , 59.56 , 35.20 , 34.68 , 36.42 
2290 , 16.66 , 16.69 , 16.61 , 16.71 , 16.71 , 40.17 , 41.68 , 51.19 , 37.12 , 37.43 , 59.87 , 61.86 , 63.63 , 37.60 , 37.05 , 38.90 
