 Year  , USA   , CAN   , WEU   , JPK   , ANZ   , EEU    , FSU    , MDE    , CAM    , SAM    , SAS    , SEA    , CHI    , NAF    , SSA    , SIS    
 1950  , 0.33  , 0.28  , 0.24  , 0.17  , 0.48  , 0.33   , 0.53   , 0.48   , 0.35   , 0.39   , 0.29   , 0.09   , 0.04   , 0.23   , 1.03   , 0.30   
 1960  , 0.39  , 0.37  , 0.32  , 0.23  , 0.54  , 0.44   , 0.69   , 0.60   , 0.50   , 0.54   , 0.31   , 0.15   , 0.05   , 0.33   , 1.12   , 0.40   
 1970  , 0.47  , 0.48  , 0.41  , 0.32  , 0.61  , 0.59   , 0.91   , 0.76   , 0.71   , 0.75   , 0.34   , 0.23   , 0.08   , 0.47   , 1.21   , 0.53   
 1980  , 0.57  , 0.63  , 0.54  , 0.44  , 0.68  , 0.78   , 1.20   , 0.96   , 1.01   , 1.04   , 0.36   , 0.35   , 0.12   , 0.67   , 1.30   , 0.71   
 1990  , 0.78  , 0.86  , 0.85  , 0.88  , 0.83  , 0.90   , 1.79   , 0.87   , 0.85   , 0.84   , 0.72   , 0.69   , 0.46   , 0.88   , 1.07   , 0.81   
 2000  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   
 2010  , 1.21  , 1.21  , 1.21  , 1.21  , 1.22  , 1.04   , 1.08   , 1.36   , 1.31   , 1.31   , 1.59   , 1.64   , 1.69   , 1.31   , 1.29   , 1.36   
 2020  , 1.42  , 1.42  , 1.41  , 1.41  , 1.42  , 1.71   , 1.78   , 2.25   , 1.96   , 1.96   , 2.63   , 2.71   , 2.79   , 1.97   , 1.94   , 2.04   
 2030  , 1.60  , 1.61  , 1.60  , 1.60  , 1.61  , 2.72   , 2.82   , 3.68   , 2.95   , 2.95   , 4.29   , 4.43   , 4.56   , 2.96   , 2.92   , 3.06   
 2040  , 1.80  , 1.80  , 1.79  , 1.79  , 1.80  , 4.12   , 4.27   , 5.79   , 4.31   , 4.31   , 6.75   , 6.97   , 7.17   , 4.33   , 4.27   , 4.48   
 2050  , 2.00  , 2.01  , 2.00  , 2.00  , 2.01  , 5.86   , 6.08   , 8.49   , 5.93   , 5.93   , 9.91   , 10.24  , 10.53  , 5.95   , 5.87   , 6.16   
 2060  , 2.19  , 2.19  , 2.18  , 2.18  , 2.20  , 7.85   , 8.15   , 11.62  , 7.71   , 7.71   , 13.56  , 14.01  , 14.41  , 7.74   , 7.63   , 8.01   
 2070  , 2.38  , 2.38  , 2.37  , 2.37  , 2.38  , 10.26  , 10.65  , 15.35  , 9.84   , 9.84   , 17.91  , 18.50  , 19.03  , 9.88   , 9.74   , 10.22  
 2080  , 2.61  , 2.62  , 2.61  , 2.60  , 2.62  , 13.16  , 13.65  , 19.92  , 12.38  , 12.38  , 23.24  , 24.00  , 24.69  , 12.43  , 12.25  , 12.86  
 2090  , 2.89  , 2.90  , 2.89  , 2.88  , 2.90  , 16.50  , 17.12  , 25.46  , 15.34  , 15.34  , 29.71  , 30.68  , 31.56  , 15.41  , 15.18  , 15.94  
 2100  , 3.21  , 3.21  , 3.20  , 3.20  , 3.22  , 20.31  , 21.07  , 31.74  , 18.85  , 18.84  , 37.05  , 38.26  , 39.35  , 18.92  , 18.64  , 19.58  
 2110  , 3.54  , 3.55  , 3.53  , 3.53  , 3.56  , 24.65  , 25.57  , 38.53  , 22.87  , 22.86  , 44.96  , 46.43  , 47.76  , 22.96  , 22.63  , 23.76  
 2120  , 3.91  , 3.92  , 3.90  , 3.90  , 3.93  , 29.62  , 30.73  , 46.30  , 27.49  , 27.47  , 54.03  , 55.80  , 57.39  , 27.60  , 27.19  , 28.55  
 2130  , 4.32  , 4.33  , 4.31  , 4.31  , 4.34  , 35.25  , 36.57  , 55.10  , 32.71  , 32.69  , 64.30  , 66.40  , 68.30  , 32.84  , 32.36  , 33.98  
 2140  , 4.78  , 4.78  , 4.76  , 4.76  , 4.79  , 41.54  , 43.10  , 64.93  , 38.55  , 38.52  , 75.77  , 78.24  , 80.48  , 38.70  , 38.13  , 40.04  
 2150  , 5.28  , 5.29  , 5.26  , 5.26  , 5.29  , 48.47  , 50.29  , 75.76  , 44.98  , 44.95  , 88.41  , 91.30  , 93.91  , 45.16  , 44.49  , 46.72  
 2160  , 5.83  , 5.84  , 5.81  , 5.81  , 5.85  , 56.00  , 58.10  , 87.53  , 51.97  , 51.94  , 102.15 , 105.49 , 108.51 , 52.18  , 51.41  , 53.98  
 2170  , 6.44  , 6.45  , 6.42  , 6.41  , 6.46  , 64.07  , 66.47  , 100.14 , 59.45  , 59.42  , 116.87 , 120.68 , 124.14 , 59.69  , 58.81  , 61.76  
 2180  , 7.11  , 7.12  , 7.09  , 7.09  , 7.13  , 72.58  , 75.30  , 113.44 , 67.35  , 67.31  , 132.39 , 136.71 , 140.63 , 67.62  , 66.62  , 69.96  
 2190  , 7.85  , 7.87  , 7.83  , 7.83  , 7.88  , 81.41  , 84.47  , 127.25 , 75.55  , 75.50  , 148.50 , 153.35 , 157.74 , 75.85  , 74.73  , 78.48  
 2200  , 8.68  , 8.69  , 8.65  , 8.65  , 8.71  , 90.42  , 93.81  , 141.33 , 83.90  , 83.86  , 164.93 , 170.32 , 175.19 , 84.24  , 83.00  , 87.16  
 2210  , 9.57  , 9.59  , 9.54  , 9.53  , 9.60  , 99.70  , 103.44 , 155.84 , 92.52  , 92.47  , 181.86 , 187.80 , 193.18 , 92.89  , 91.52  , 96.11  
 2220  , 10.51 , 10.53 , 10.48 , 10.47 , 10.54 , 109.50 , 113.61 , 171.16 , 101.61 , 101.56 , 199.74 , 206.26 , 212.17 , 102.02 , 100.52 , 105.55 
 2230  , 11.49 , 11.52 , 11.46 , 11.45 , 11.53 , 119.79 , 124.29 , 187.24 , 111.16 , 111.10 , 218.50 , 225.64 , 232.10 , 111.61 , 109.96 , 115.47 
 2240  , 12.52 , 12.55 , 12.49 , 12.48 , 12.57 , 130.53 , 135.42 , 204.02 , 121.12 , 121.05 , 238.09 , 245.86 , 252.90 , 121.61 , 119.82 , 125.82 
 2250  , 13.59 , 13.62 , 13.55 , 13.54 , 13.64 , 141.66 , 146.98 , 221.42 , 131.45 , 131.38 , 258.40 , 266.84 , 274.48 , 131.98 , 130.04 , 136.55 
 2260  , 14.69 , 14.72 , 14.65 , 14.64 , 14.74 , 153.14 , 158.88 , 239.36 , 142.10 , 142.02 , 279.33 , 288.45 , 296.71 , 142.68 , 140.57 , 147.62 
 2270  , 15.82 , 15.85 , 15.78 , 15.76 , 15.87 , 164.89 , 171.07 , 257.73 , 153.01 , 152.92 , 300.76 , 310.59 , 319.48 , 153.62 , 151.36 , 158.94 
 2280  , 16.97 , 17.00 , 16.92 , 16.91 , 17.02 , 176.84 , 183.47 , 276.40 , 164.09 , 164.00 , 322.56 , 333.09 , 342.63 , 164.76 , 162.32 , 170.46 
