 Year , USA   , CAN   , WEU   , JPK   , ANZ   , EEU   , FSU   , MDE   , CAM   , SAM   , SAS   , SEA   , CHI    , NAF   , SSA   , SIS   
 1950 , 0.33  , 0.28  , 0.24  , 0.17  , 0.48  , 0.33  , 0.53  , 0.48  , 0.35  , 0.39  , 0.29  , 0.09  , 0.04   , 0.23  , 1.03  , 0.30  
 1960 , 0.39  , 0.37  , 0.32  , 0.23  , 0.54  , 0.44  , 0.69  , 0.60  , 0.50  , 0.54  , 0.31  , 0.15  , 0.05   , 0.33  , 1.12  , 0.40  
 1970 , 0.47  , 0.48  , 0.41  , 0.32  , 0.61  , 0.59  , 0.91  , 0.76  , 0.71  , 0.75  , 0.34  , 0.23  , 0.08   , 0.47  , 1.21  , 0.53  
 1980 , 0.57  , 0.63  , 0.54  , 0.44  , 0.68  , 0.78  , 1.20  , 0.96  , 1.01  , 1.04  , 0.36  , 0.35  , 0.12   , 0.67  , 1.30  , 0.71  
 1990 , 0.78  , 0.86  , 0.85  , 0.88  , 0.83  , 0.90  , 1.79  , 0.87  , 0.85  , 0.84  , 0.72  , 0.69  , 0.46   , 0.88  , 1.07  , 0.81  
 2000 , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00   , 1.00  , 1.00  , 1.00  
 2010 , 1.22  , 1.22  , 1.22  , 1.22  , 1.23  , 1.33  , 1.38  , 1.14  , 1.17  , 1.18  , 1.34  , 1.41  , 1.45   , 1.18  , 1.16  , 1.22  
 2020 , 1.45  , 1.46  , 1.46  , 1.46  , 1.47  , 1.88  , 1.96  , 1.46  , 1.49  , 1.50  , 1.71  , 1.80  , 1.91   , 1.51  , 1.49  , 1.56  
 2030 , 1.70  , 1.71  , 1.71  , 1.71  , 1.72  , 2.61  , 2.71  , 1.85  , 1.89  , 1.91  , 2.17  , 2.28  , 2.54   , 1.92  , 1.89  , 1.98  
 2040 , 1.96  , 1.98  , 1.97  , 1.96  , 1.98  , 3.43  , 3.56  , 2.35  , 2.40  , 2.42  , 2.75  , 2.89  , 3.39   , 2.43  , 2.40  , 2.52  
 2050 , 2.22  , 2.24  , 2.23  , 2.22  , 2.24  , 4.27  , 4.43  , 2.98  , 3.04  , 3.07  , 3.48  , 3.66  , 4.51   , 3.08  , 3.03  , 3.19  
 2060 , 2.49  , 2.51  , 2.50  , 2.48  , 2.50  , 5.15  , 5.35  , 3.78  , 3.87  , 3.89  , 4.43  , 4.65  , 6.00   , 3.91  , 3.85  , 4.05  
 2070 , 2.79  , 2.80  , 2.79  , 2.78  , 2.80  , 6.23  , 6.46  , 4.84  , 4.95  , 4.99  , 5.67  , 5.96  , 7.95   , 5.01  , 4.94  , 5.18  
 2080 , 3.11  , 3.13  , 3.11  , 3.11  , 3.13  , 7.51  , 7.79  , 6.24  , 6.38  , 6.42  , 7.30  , 7.68  , 10.50  , 6.45  , 6.36  , 6.68  
 2090 , 3.43  , 3.46  , 3.44  , 3.43  , 3.46  , 8.78  , 9.11  , 7.89  , 8.06  , 8.12  , 9.23  , 9.71  , 13.48  , 8.16  , 8.04  , 8.44  
 2100 , 3.75  , 3.77  , 3.75  , 3.75  , 3.78  , 9.90  , 10.27 , 9.74  , 9.96  , 10.03 , 11.40 , 11.99 , 16.73  , 10.07 , 9.93  , 10.42 
 2110 , 4.05  , 4.07  , 4.05  , 4.05  , 4.08  , 10.92 , 11.33 , 11.77 , 12.03 , 12.12 , 13.77 , 14.48 , 20.22  , 12.17 , 11.99 , 12.59 
 2120 , 4.36  , 4.39  , 4.36  , 4.36  , 4.39  , 11.99 , 12.44 , 13.94 , 14.25 , 14.36 , 16.32 , 17.16 , 23.95  , 14.42 , 14.21 , 14.92 
 2130 , 4.68  , 4.70  , 4.68  , 4.68  , 4.71  , 13.12 , 13.61 , 16.20 , 16.56 , 16.68 , 18.95 , 19.93 , 27.83  , 16.75 , 16.51 , 17.33 
 2140 , 4.99  , 5.03  , 5.00  , 4.99  , 5.03  , 14.29 , 14.83 , 18.45 , 18.86 , 19.00 , 21.59 , 22.70 , 31.70  , 19.08 , 18.80 , 19.74 
 2150 , 5.31  , 5.35  , 5.31  , 5.31  , 5.36  , 15.51 , 16.09 , 20.60 , 21.06 , 21.21 , 24.11 , 25.35 , 35.40  , 21.31 , 21.00 , 22.05 
 2160 , 5.64  , 5.68  , 5.64  , 5.64  , 5.69  , 16.80 , 17.43 , 22.76 , 23.26 , 23.43 , 26.63 , 28.00 , 39.10  , 23.54 , 23.19 , 24.35 
 2170 , 5.99  , 6.03  , 5.99  , 5.99  , 6.04  , 18.19 , 18.87 , 25.14 , 25.69 , 25.88 , 29.42 , 30.93 , 43.19  , 26.00 , 25.62 , 26.90 
 2180 , 6.36  , 6.40  , 6.36  , 6.36  , 6.41  , 19.70 , 20.44 , 27.77 , 28.38 , 28.59 , 32.49 , 34.17 , 47.71  , 28.72 , 28.30 , 29.72 
 2190 , 6.75  , 6.79  , 6.75  , 6.75  , 6.80  , 21.34 , 22.14 , 30.68 , 31.35 , 31.58 , 35.89 , 37.74 , 52.70  , 31.73 , 31.26 , 32.83 
 2200 , 7.17  , 7.21  , 7.17  , 7.17  , 7.22  , 23.10 , 23.97 , 33.89 , 34.63 , 34.89 , 39.65 , 41.69 , 58.21  , 35.05 , 34.53 , 36.26 
 2210 , 7.61  , 7.66  , 7.61  , 7.61  , 7.67  , 24.98 , 25.91 , 37.36 , 38.19 , 38.47 , 43.72 , 45.97 , 64.19  , 38.65 , 38.07 , 39.98 
 2220 , 8.08  , 8.13  , 8.08  , 8.08  , 8.14  , 26.89 , 27.90 , 41.04 , 41.94 , 42.25 , 48.02 , 50.49 , 70.50  , 42.44 , 41.82 , 43.91 
 2230 , 8.58  , 8.63  , 8.58  , 8.57  , 8.64  , 28.84 , 29.92 , 44.89 , 45.88 , 46.22 , 52.53 , 55.24 , 77.12  , 46.43 , 45.75 , 48.04 
 2240 , 9.10  , 9.16  , 9.11  , 9.10  , 9.18  , 30.81 , 31.96 , 48.92 , 49.99 , 50.36 , 57.23 , 60.19 , 84.03  , 50.59 , 49.85 , 52.34 
 2250 , 9.67  , 9.73  , 9.67  , 9.66  , 9.74  , 32.78 , 34.01 , 53.09 , 54.26 , 54.66 , 62.12 , 65.32 , 91.20  , 54.91 , 54.10 , 56.81 
 2260 , 10.26 , 10.33 , 10.26 , 10.26 , 10.34 , 34.80 , 36.11 , 57.39 , 58.65 , 59.09 , 67.15 , 70.61 , 98.59  , 59.36 , 58.48 , 61.41 
 2270 , 10.89 , 10.96 , 10.89 , 10.89 , 10.98 , 36.95 , 38.33 , 61.79 , 63.15 , 63.62 , 72.30 , 76.03 , 106.15 , 63.91 , 62.97 , 66.12 
 2280 , 11.57 , 11.64 , 11.57 , 11.56 , 11.66 , 39.22 , 40.69 , 66.27 , 67.73 , 68.23 , 77.54 , 81.54 , 113.85 , 68.54 , 67.53 , 70.91 
