,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.59 , 0.59 ,0,0, 0.59 ,0, 0.59 , 0.59 , 0.59 , 0.59 , 0.59 , 0.59 ,0, 0.59 , 0.59 , 0.59 , 0.59 , 0.59 , 0.59 , 0.59 ,0, 0.59 ,0,0,0, 0.59 , 0.59 , 0.59 , 0.60 , 0.60 , 0.60 , 0.59 , 0.59 , 0.59 , 0.60 
1, 1960 , 0.76 , 0.76 ,0,0, 0.76 ,0, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,0, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,0, 0.76 ,0,0,0, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 
2, 1970 , 0.91 , 0.91 ,0,0, 0.91 ,0, 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 ,0, 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 ,0, 0.91 ,0,0,0, 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 , 0.91 
3, 1980 , 1.07 , 1.07 ,0,0, 1.07 ,0, 1.07 , 1.07 , 1.07 , 1.07 , 1.07 , 1.07 ,0, 1.07 , 1.07 , 1.07 , 1.07 , 1.07 , 1.07 , 1.07 ,0, 1.07 ,0,0,0, 1.07 , 1.07 , 1.07 , 1.07 , 1.06 , 1.06 , 1.06 , 1.07 , 1.06 , 1.07 
4, 1990 , 1.21 , 1.21 ,0,0, 1.21 ,0, 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 ,0, 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 ,0, 1.21 ,0,0,0, 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.21 , 1.22 , 1.22 
5, 2000 , 1.00 , 1.00 ,0,0, 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,0, 1.00 ,0,0,0, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
6, 2010 , 1.08 , 1.08 ,0,0, 1.08 ,0, 1.08 , 1.17 , 1.08 , 1.08 , 1.08 , 1.08 ,0, 1.08 , 1.08 , 1.17 , 1.17 , 1.08 , 1.08 , 1.08 ,0, 1.08 ,0,0,0, 1.08 , 1.08 , 1.08 , 1.14 , 1.33 , 1.19 , 1.18 , 1.17 , 1.08 , 1.43 
7, 2020 , 1.09 , 1.09 ,0,0, 1.09 ,0, 1.09 , 1.47 , 1.09 , 1.09 , 1.09 , 1.09 ,0, 1.09 , 1.09 , 1.47 , 1.47 , 1.09 , 1.09 , 1.09 ,0, 1.09 ,0,0,0, 1.09 , 1.09 , 1.09 , 1.27 , 1.64 , 1.36 , 1.46 , 1.47 , 1.14 , 1.75 
8, 2030 , 1.09 , 1.09 ,0,0, 1.09 ,0, 1.09 , 1.65 , 1.09 , 1.09 , 1.09 , 1.09 ,0, 1.09 , 1.09 , 1.65 , 1.65 , 1.09 , 1.09 , 1.09 ,0, 1.09 ,0,0,0, 1.09 , 1.09 , 1.09 , 1.49 , 1.85 , 1.57 , 1.79 , 1.65 , 1.27 , 1.90 
9, 2040 , 1.08 , 1.08 ,0,0, 1.08 ,0, 1.08 , 1.69 , 1.08 , 1.08 , 1.08 , 1.08 ,0, 1.08 , 1.08 , 1.69 , 1.69 , 1.08 , 1.08 , 1.08 ,0, 1.08 ,0,0,0, 1.08 , 1.08 , 1.08 , 1.77 , 2.01 , 1.77 , 1.96 , 1.69 , 1.34 , 2.34 
