,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19   , 180  ,  60  , 426 , 0    , 3   , 175  
1, 1960 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19   , 180  ,  60  , 426 , 0    , 3   , 175  
2, 1970 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19   , 180  ,  60  , 426 , 0    , 3   , 175  
3, 1980 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19   , 180  ,  60  , 426 , 0    , 3   , 175  
4, 1990 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 19   , 180  ,  60  , 426 , 0    , 3   , 175  
5, 2000 , 13  , 13  ,0,0, 13  ,0, 13  , -5   , 13  , 13  , 13  , 13  ,0, 13  , 13  , -5   , -5   , 13  , 13  , 13  ,0, 13  ,0,0,0, 13  , 13  , 13  , 69   , 135  ,  45  , 314 , -5   , 14  , 200  
6, 2010 , 25  , 25  ,0,0, 25  ,0, 25  , -10  , 25  , 25  , 25  , 25  ,0, 25  , 25  , -10  , -10  , 25  , 25  , 25  ,0, 25  ,0,0,0, 25  , 25  , 25  , 120  , 90   ,  30  , 203 , -10  , 25  , 225  
7, 2020 , 15  , 15  ,0,0, 15  ,0, 15  , -100 , 15  , 15  , 15  , 15  ,0, 15  , 15  , -100 , -100 , 15  , 15  , 15  ,0, 15  ,0,0,0, 15  , 15  , 15  , 110  , 83   ,  28  , 203 , -100 , 15  , 225  
8, 2030 , -5  , -5  ,0,0, -5  ,0, -5  , -310 , -5  , -5  , -5  , -5  ,0, -5  , -5  , -310 , -310 , -5  , -5  , -5  ,0, -5  ,0,0,0, -5  , -5  , -5  , 105  , 79   ,  26  , 18  , -310 , -5  , 20   
9, 2040 , -18 , -18 ,0,0, -18 ,0, -18 , -350 , -18 , -18 , -18 , -18 ,0, -18 , -18 , -350 , -350 , -18 , -18 , -18 ,0, -18 ,0,0,0, -18 , -18 , -18 , 95   , 71   ,  24  , -113, -350 , -18 , -125 
10, 2050 , -23 , -23 ,0,0, -23 ,0, -23 , -360 , -23 , -23 , -23 , -23 ,0, -23 , -23 , -360 , -360 , -23 , -23 , -23 ,0, -23 ,0,0,0, -23 , -23 , -23 , 90   , 68   ,  23  , -59 , -360 , -23 , -65  
11, 2060 , -20 , -20 ,0,0, -20 ,0, -20 , -380 , -20 , -20 , -20 , -20 ,0, -20 , -20 , -380 , -380 , -20 , -20 , -20 ,0, -20 ,0,0,0, -20 , -20 , -20 , 80   , 60   ,  20  , -68 , -380 , -20 , -75  
12, 2070 , -15 , -15 ,0,0, -15 ,0, -15 , -410 , -15 , -15 , -15 , -15 ,0, -15 , -15 , -410 , -410 , -15 , -15 , -15 ,0, -15 ,0,0,0, -15 , -15 , -15 , 75   , 56   ,  19  , -45 , -410 , -15 , -50  
13, 2080 , -35 , -35 ,0,0, -35 ,0, -35 , -360 , -35 , -35 , -35 , -35 ,0, -35 , -35 , -360 , -360 , -35 , -35 , -35 ,0, -35 ,0,0,0, -35 , -35 , -35 , 55   , 41   ,  14  , -95 , -360 , -35 , -105 
14, 2090 , -30 , -30 ,0,0, -30 ,0, -30 , -340 , -30 , -30 , -30 , -30 ,0, -30 , -30 , -340 , -340 , -30 , -30 , -30 ,0, -30 ,0,0,0, -30 , -30 , -30 , -45  , -34  ,  -11 , -99 , -340 , -30 , -110 
15, 2100 , -28 , -28 ,0,0, -28 ,0, -28 , -290 , -28 , -28 , -28 , -28 ,0, -28 , -28 , -290 , -290 , -28 , -28 , -28 ,0, -28 ,0,0,0, -28 , -28 , -28 , -175 , -131 ,  -44 , -99 , -290 , -28 , -110 
16, 2110 , -25 , -25 ,0,0, -25 ,0, -25 , -261 , -25 , -25 , -25 , -25 ,0, -25 , -25 , -261 , -261 , -25 , -25 , -25 ,0, -25 ,0,0,0, -25 , -25 , -25 , -158 , -118 ,  -39 , -89 , -261 , -25 , -99  
17, 2120 , -22 , -22 ,0,0, -22 ,0, -22 , -232 , -22 , -22 , -22 , -22 ,0, -22 , -22 , -232 , -232 , -22 , -22 , -22 ,0, -22 ,0,0,0, -22 , -22 , -22 , -140 , -105 ,  -35 , -79 , -232 , -22 , -88  
18, 2130 , -19 , -19 ,0,0, -19 ,0, -19 , -203 , -19 , -19 , -19 , -19 ,0, -19 , -19 , -203 , -203 , -19 , -19 , -19 ,0, -19 ,0,0,0, -19 , -19 , -19 , -123 , -92  ,  -31 , -69 , -203 , -19 , -77  
19, 2140 , -17 , -17 ,0,0, -17 ,0, -17 , -174 , -17 , -17 , -17 , -17 ,0, -17 , -17 , -174 , -174 , -17 , -17 , -17 ,0, -17 ,0,0,0, -17 , -17 , -17 , -105 , -79  ,  -26 , -59 , -174 , -17 , -66  
20, 2150 , -14 , -14 ,0,0, -14 ,0, -14 , -145 , -14 , -14 , -14 , -14 ,0, -14 , -14 , -145 , -145 , -14 , -14 , -14 ,0, -14 ,0,0,0, -14 , -14 , -14 , -88  , -66  ,  -22 , -50 , -145 , -14 , -55  
21, 2160 , -11 , -11 ,0,0, -11 ,0, -11 , -116 , -11 , -11 , -11 , -11 ,0, -11 , -11 , -116 , -116 , -11 , -11 , -11 ,0, -11 ,0,0,0, -11 , -11 , -11 , -70  , -53  ,  -18 , -40 , -116 , -11 , -44  
22, 2170 , -8  , -8  ,0,0, -8  ,0, -8  , -87  , -8  , -8  , -8  , -8  ,0, -8  , -8  , -87  , -87  , -8  , -8  , -8  ,0, -8  ,0,0,0, -8  , -8  , -8  , -53  , -39  ,  -13 , -30 , -87  , -8  , -33  
23, 2180 , -6  , -6  ,0,0, -6  ,0, -6  , -58  , -6  , -6  , -6  , -6  ,0, -6  , -6  , -58  , -58  , -6  , -6  , -6  ,0, -6  ,0,0,0, -6  , -6  , -6  , -35  , -26  ,  -9  , -20 , -58  , -6  , -22  
24, 2190 , -3  , -3  ,0,0, -3  ,0, -3  , -29  , -3  , -3  , -3  , -3  ,0, -3  , -3  , -29  , -29  , -3  , -3  , -3  ,0, -3  ,0,0,0, -3  , -3  , -3  , -18  , -13  ,  -4  , -10 , -29  , -3  , -11  
25, 2200 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0    , 0    ,  0   , 0   , 0    , 0   , 0    
26, 2210 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0    , 0    ,  0   , 0   , 0    , 0   , 0    
27, 2220 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0    , 0    ,  0   , 0   , 0    , 0   , 0    
28, 2230 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0    , 0    ,  0   , 0   , 0    , 0   , 0    
29, 2240 , 0   , 0   ,0,0, 0   ,0, 0   , 0    , 0   , 0   , 0   , 0   ,0, 0   , 0   , 0    , 0    , 0   , 0   , 0   ,0, 0   ,0,0,0, 0   , 0   , 0   , 0    , 0    ,  0   , 0   , 0    , 0   , 0    
