,-,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, USA  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.040   , 0.040   , 0.040   , 0.100   , 0.000    , 1.000    , 0.030   
1,      , (0.050)  , (0.050)  ,0,0, (0.050)  ,0, (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  ,0, (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  , (0.050)  ,0, (0.050)  ,0,0,0, (0.050)  , (0.050)  , (0.050)  , (0.040) , (0.040) , (0.040) , (0.100) , (0.050)  , (0.100)  , (0.030) 
2, CAN  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.010   , 0.010   , 0.010   , 0.000   , 0.000    , 0.000    , 0.005   
3,      , (0.020)  , (0.020)  ,0,0, (0.020)  ,0, (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  ,0, (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  ,0, (0.020)  ,0,0,0, (0.020)  , (0.020)  , (0.020)  , (0.010) , (0.010) , (0.010) , (0.050) , (0.020)  , (0.050)  , (0.005) 
4, WEU  , 1.000    , 1.000    ,0,0, 1.000    ,0, 1.000    , 0.000    , 1.000    , 1.000    , 1.000    , 1.000    ,0, 1.000    , 1.000    , 0.000    , 0.000    , 1.000    , 1.000    , 1.000    ,0, 1.000    ,0,0,0, 1.000    , 1.000    , 1.000    , 0.020   , 0.020   , 0.040   , 0.000   , 0.000    , 0.000    , 0.060   
5,      , (0.100)  , (0.100)  ,0,0, (0.100)  ,0, (0.100)  , (0.020)  , (0.100)  , (0.100)  , (0.100)  , (0.100)  ,0, (0.100)  , (0.100)  , (0.020)  , (0.020)  , (0.100)  , (0.100)  , (0.100)  ,0, (0.100)  ,0,0,0, (0.100)  , (0.100)  , (0.100)  , (0.020) , (0.020) , (0.040) , (0.050) , (0.020)  , (0.020)  , (0.060) 
6, JPK  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.010   , 0.010   , 0.005   , 0.000   , 0.000    , 0.000    , 0.000   
7,      , (0.010)  , (0.010)  ,0,0, (0.010)  ,0, (0.010)  , (0.001)  , (0.010)  , (0.010)  , (0.010)  , (0.010)  ,0, (0.010)  , (0.010)  , (0.001)  , (0.001)  , (0.010)  , (0.010)  , (0.010)  ,0, (0.010)  ,0,0,0, (0.010)  , (0.010)  , (0.010)  , (0.010) , (0.010) , (0.005) , (0.010) , (0.001)  , (0.010)  , (0.001) 
8, ANZ  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.020   , 0.020   , 0.005   , 0.000   , 0.000    , 0.000    , 0.005   
9,      , (0.020)  , (0.020)  ,0,0, (0.020)  ,0, (0.020)  , (0.010)  , (0.020)  , (0.020)  , (0.020)  , (0.020)  ,0, (0.020)  , (0.020)  , (0.010)  , (0.010)  , (0.020)  , (0.020)  , (0.020)  ,0, (0.020)  ,0,0,0, (0.020)  , (0.020)  , (0.020)  , (0.020) , (0.020) , (0.005) , (0.010) , (0.010)  , (0.020)  , (0.005) 
10, EEU  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
11,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.050)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.050)  , (0.050)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.050)  , (0.001)  , (0.001) 
12, FSU  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 1.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 1.000    , 1.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 1.000    , 0.000    , 0.000   
13,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.100)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.100)  , (0.100)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.100)  , (0.001)  , (0.001) 
14, MDE  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
15,      , (0.001)  , (0.001)  ,0,0, (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  , (0.001)  ,0, (0.001)  ,0,0,0, (0.001)  , (0.001)  , (0.001)  , (0.001) , (0.001) , (0.001) , (0.001) , (0.001)  , (0.001)  , (0.001) 
16, CAM  , 0.000    , 0.000    ,0,0, 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    , 0.000    ,0, 0.000    ,0,0,0, 0.000    , 0.000    , 0.000    , 0.000   , 0.000   , 0.000   , 0.000   , 0.000    , 0.000    , 0.000   
