,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.24  , 0.24  ,0,0, 0.24  ,0, 0.24  , 0.53   , 0.24  , 0.24  , 0.24  , 0.24  ,0, 0.24  , 0.24  , 0.53   , 0.53   , 0.24  , 0.24  , 0.24  ,0, 0.24  ,0,0,0, 0.24  , 0.24  , 0.24  , 0.04   , 0.09   , 0.29   , 0.39   , 0.53   , 0.33  , 1.03   
1, 1960 , 0.32  , 0.32  ,0,0, 0.32  ,0, 0.32  , 0.69   , 0.32  , 0.32  , 0.32  , 0.32  ,0, 0.32  , 0.32  , 0.69   , 0.69   , 0.32  , 0.32  , 0.32  ,0, 0.32  ,0,0,0, 0.32  , 0.32  , 0.32  , 0.05   , 0.15   , 0.31   , 0.54   , 0.69   , 0.39  , 1.12   
2, 1970 , 0.41  , 0.41  ,0,0, 0.41  ,0, 0.41  , 0.91   , 0.41  , 0.41  , 0.41  , 0.41  ,0, 0.41  , 0.41  , 0.91   , 0.91   , 0.41  , 0.41  , 0.41  ,0, 0.41  ,0,0,0, 0.41  , 0.41  , 0.41  , 0.08   , 0.23   , 0.34   , 0.75   , 0.91   , 0.47  , 1.21   
3, 1980 , 0.54  , 0.54  ,0,0, 0.54  ,0, 0.54  , 1.20   , 0.54  , 0.54  , 0.54  , 0.54  ,0, 0.54  , 0.54  , 1.20   , 1.20   , 0.54  , 0.54  , 0.54  ,0, 0.54  ,0,0,0, 0.54  , 0.54  , 0.54  , 0.12   , 0.35   , 0.36   , 1.04   , 1.20   , 0.57  , 1.30   
4, 1990 , 0.85  , 0.85  ,0,0, 0.85  ,0, 0.85  , 1.79   , 0.85  , 0.85  , 0.85  , 0.85  ,0, 0.85  , 0.85  , 1.79   , 1.79   , 0.85  , 0.85  , 0.85  ,0, 0.85  ,0,0,0, 0.85  , 0.85  , 0.85  , 0.46   , 0.69   , 0.72   , 0.84   , 1.79   , 0.78  , 1.07   
5, 2000 , 1.00  , 1.00  ,0,0, 1.00  ,0, 1.00  , 1.00   , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  , 1.00  , 1.00   , 1.00   , 1.00  , 1.00  , 1.00  ,0, 1.00  ,0,0,0, 1.00  , 1.00  , 1.00  , 1.00   , 1.00   , 1.00   , 1.00   , 1.00   , 1.00  , 1.00   
6, 2010 , 1.20  , 1.20  ,0,0, 1.20  ,0, 1.20  , 1.13   , 1.20  , 1.20  , 1.20  , 1.20  ,0, 1.20  , 1.20  , 1.13   , 1.13   , 1.20  , 1.20  , 1.20  ,0, 1.20  ,0,0,0, 1.20  , 1.20  , 1.20  , 1.90   , 1.84   , 1.79   , 1.39   , 1.13   , 1.20  , 1.38   
7, 2020 , 1.41  , 1.41  ,0,0, 1.41  ,0, 1.41  , 2.07   , 1.41  , 1.41  , 1.41  , 1.41  ,0, 1.41  , 1.41  , 2.07   , 2.07   , 1.41  , 1.41  , 1.41  ,0, 1.41  ,0,0,0, 1.41  , 1.41  , 1.41  , 3.73   , 3.63   , 3.52   , 2.28   , 2.07   , 1.42  , 2.25   
8, 2030 , 1.66  , 1.66  ,0,0, 1.66  ,0, 1.66  , 3.52   , 1.66  , 1.66  , 1.66  , 1.66  ,0, 1.66  , 1.66  , 3.52   , 3.52   , 1.66  , 1.66  , 1.66  ,0, 1.66  ,0,0,0, 1.66  , 1.66  , 1.66  , 6.59   , 6.40   , 6.20   , 3.60   , 3.52   , 1.66  , 3.57   
9, 2040 , 1.94  , 1.94  ,0,0, 1.94  ,0, 1.94  , 5.47   , 1.94  , 1.94  , 1.94  , 1.94  ,0, 1.94  , 1.94  , 5.47   , 5.47   , 1.94  , 1.94  , 1.94  ,0, 1.94  ,0,0,0, 1.94  , 1.94  , 1.94  , 10.10  , 9.82   , 9.52   , 5.45   , 5.47   , 1.95  , 5.39   
10, 2050 , 2.28  , 2.28  ,0,0, 2.28  ,0, 2.28  , 7.85   , 2.28  , 2.28  , 2.28  , 2.28  ,0, 2.28  , 2.28  , 7.85   , 7.85   , 2.28  , 2.28  , 2.28  ,0, 2.28  ,0,0,0, 2.28  , 2.28  , 2.28  , 15.02  , 14.60  , 14.14  , 7.74   , 7.85   , 2.29  , 7.66   
11, 2060 , 2.69  , 2.69  ,0,0, 2.69  ,0, 2.69  , 10.27  , 2.69  , 2.69  , 2.69  , 2.69  ,0, 2.69  , 2.69  , 10.27  , 10.27  , 2.69  , 2.69  , 2.69  ,0, 2.69  ,0,0,0, 2.69  , 2.69  , 2.69  , 21.47  , 20.87  , 20.22  , 10.17  , 10.27  , 2.70  , 10.06  
12, 2070 , 3.16  , 3.16  ,0,0, 3.16  ,0, 3.16  , 13.31  , 3.16  , 3.16  , 3.16  , 3.16  ,0, 3.16  , 3.16  , 13.31  , 13.31  , 3.16  , 3.16  , 3.16  ,0, 3.16  ,0,0,0, 3.16  , 3.16  , 3.16  , 30.11  , 29.28  , 28.36  , 13.22  , 13.31  , 3.17  , 13.09  
13, 2080 , 3.68  , 3.68  ,0,0, 3.68  ,0, 3.68  , 16.88  , 3.68  , 3.68  , 3.68  , 3.68  ,0, 3.68  , 3.68  , 16.88  , 16.88  , 3.68  , 3.68  , 3.68  ,0, 3.68  ,0,0,0, 3.68  , 3.68  , 3.68  , 40.48  , 39.35  , 38.12  , 16.80  , 16.88  , 3.69  , 16.63  
14, 2090 , 4.26  , 4.26  ,0,0, 4.26  ,0, 4.26  , 21.16  , 4.26  , 4.26  , 4.26  , 4.26  ,0, 4.26  , 4.26  , 21.16  , 21.16  , 4.26  , 4.26  , 4.26  ,0, 4.26  ,0,0,0, 4.26  , 4.26  , 4.26  , 53.15  , 51.67  , 50.05  , 21.07  , 21.16  , 4.28  , 20.85  
15, 2100 , 4.94  , 4.94  ,0,0, 4.94  ,0, 4.94  , 26.21  , 4.94  , 4.94  , 4.94  , 4.94  ,0, 4.94  , 4.94  , 26.21  , 26.21  , 4.94  , 4.94  , 4.94  ,0, 4.94  ,0,0,0, 4.94  , 4.94  , 4.94  , 68.99  , 67.07  , 64.97  , 26.08  , 26.21  , 4.96  , 25.82  
16, 2110 , 5.72  , 5.72  ,0,0, 5.72  ,0, 5.72  , 31.80  , 5.72  , 5.72  , 5.72  , 5.72  ,0, 5.72  , 5.72  , 31.80  , 31.80  , 5.72  , 5.72  , 5.72  ,0, 5.72  ,0,0,0, 5.72  , 5.72  , 5.72  , 87.73  , 85.29  , 82.62  , 31.66  , 31.80  , 5.74  , 31.33  
17, 2120 , 6.60  , 6.60  ,0,0, 6.60  ,0, 6.60  , 38.22  , 6.60  , 6.60  , 6.60  , 6.60  ,0, 6.60  , 6.60  , 38.22  , 38.22  , 6.60  , 6.60  , 6.60  ,0, 6.60  ,0,0,0, 6.60  , 6.60  , 6.60  , 109.94 , 106.88 , 103.53 , 38.04  , 38.22  , 6.61  , 37.65  
18, 2130 , 7.56  , 7.56  ,0,0, 7.56  ,0, 7.56  , 45.48  , 7.56  , 7.56  , 7.56  , 7.56  ,0, 7.56  , 7.56  , 45.48  , 45.48  , 7.56  , 7.56  , 7.56  ,0, 7.56  ,0,0,0, 7.56  , 7.56  , 7.56  , 135.77 , 131.99 , 127.86 , 45.27  , 45.48  , 7.58  , 44.81  
19, 2140 , 8.63  , 8.63  ,0,0, 8.63  ,0, 8.63  , 53.60  , 8.63  , 8.63  , 8.63  , 8.63  ,0, 8.63  , 8.63  , 53.60  , 53.60  , 8.63  , 8.63  , 8.63  ,0, 8.63  ,0,0,0, 8.63  , 8.63  , 8.63  , 165.22 , 160.62 , 155.59 , 53.35  , 53.60  , 8.65  , 52.80  
20, 2150 , 9.80  , 9.80  ,0,0, 9.80  ,0, 9.80  , 62.54  , 9.80  , 9.80  , 9.80  , 9.80  ,0, 9.80  , 9.80  , 62.54  , 62.54  , 9.80  , 9.80  , 9.80  ,0, 9.80  ,0,0,0, 9.80  , 9.80  , 9.80  , 198.11 , 192.60 , 186.57 , 62.25  , 62.54  , 9.82  , 61.61  
21, 2160 , 11.07 , 11.07 ,0,0, 11.07 ,0, 11.07 , 72.26  , 11.07 , 11.07 , 11.07 , 11.07 ,0, 11.07 , 11.07 , 72.26  , 72.26  , 11.07 , 11.07 , 11.07 ,0, 11.07 ,0,0,0, 11.07 , 11.07 , 11.07 , 234.09 , 227.57 , 220.45 , 71.93  , 72.26  , 11.10 , 71.19  
22, 2170 , 12.44 , 12.44 ,0,0, 12.44 ,0, 12.44 , 82.67  , 12.44 , 12.44 , 12.44 , 12.44 ,0, 12.44 , 12.44 , 82.67  , 82.67  , 12.44 , 12.44 , 12.44 ,0, 12.44 ,0,0,0, 12.44 , 12.44 , 12.44 , 272.54 , 264.95 , 256.66 , 82.29  , 82.67  , 12.48 , 81.44  
23, 2180 , 13.92 , 13.92 ,0,0, 13.92 ,0, 13.92 , 93.65  , 13.92 , 13.92 , 13.92 , 13.92 ,0, 13.92 , 13.92 , 93.65  , 93.65  , 13.92 , 13.92 , 13.92 ,0, 13.92 ,0,0,0, 13.92 , 13.92 , 13.92 , 312.65 , 303.95 , 294.43 , 93.22  , 93.65  , 13.96 , 92.26  
24, 2190 , 15.49 , 15.49 ,0,0, 15.49 ,0, 15.49 , 105.05 , 15.49 , 15.49 , 15.49 , 15.49 ,0, 15.49 , 15.49 , 105.05 , 105.05 , 15.49 , 15.49 , 15.49 ,0, 15.49 ,0,0,0, 15.49 , 15.49 , 15.49 , 353.39 , 343.56 , 332.80 , 104.56 , 105.05 , 15.54 , 103.49 
25, 2200 , 17.16 , 17.16 ,0,0, 17.16 ,0, 17.16 , 116.67 , 17.16 , 17.16 , 17.16 , 17.16 ,0, 17.16 , 17.16 , 116.67 , 116.67 , 17.16 , 17.16 , 17.16 ,0, 17.16 ,0,0,0, 17.16 , 17.16 , 17.16 , 393.57 , 382.61 , 370.63 , 116.13 , 116.67 , 17.21 , 114.94 
26, 2210 , 18.92 , 18.92 ,0,0, 18.92 ,0, 18.92 , 128.65 , 18.92 , 18.92 , 18.92 , 18.92 ,0, 18.92 , 18.92 , 128.65 , 128.65 , 18.92 , 18.92 , 18.92 ,0, 18.92 ,0,0,0, 18.92 , 18.92 , 18.92 , 433.97 , 421.89 , 408.68 , 128.05 , 128.65 , 18.97 , 126.74 
27, 2220 , 20.78 , 20.78 ,0,0, 20.78 ,0, 20.78 , 141.29 , 20.78 , 20.78 , 20.78 , 20.78 ,0, 20.78 , 20.78 , 141.29 , 141.29 , 20.78 , 20.78 , 20.78 ,0, 20.78 ,0,0,0, 20.78 , 20.78 , 20.78 , 476.62 , 463.36 , 448.85 , 140.64 , 141.29 , 20.84 , 139.20 
28, 2230 , 22.73 , 22.73 ,0,0, 22.73 ,0, 22.73 , 154.57 , 22.73 , 22.73 , 22.73 , 22.73 ,0, 22.73 , 22.73 , 154.57 , 154.57 , 22.73 , 22.73 , 22.73 ,0, 22.73 ,0,0,0, 22.73 , 22.73 , 22.73 , 521.40 , 506.89 , 491.02 , 153.85 , 154.57 , 22.80 , 152.28 
29, 2240 , 24.77 , 24.77 ,0,0, 24.77 ,0, 24.77 , 168.42 , 24.77 , 24.77 , 24.77 , 24.77 ,0, 24.77 , 24.77 , 168.42 , 168.42 , 24.77 , 24.77 , 24.77 ,0, 24.77 ,0,0,0, 24.77 , 24.77 , 24.77 , 568.13 , 552.32 , 535.03 , 167.64 , 168.42 , 24.84 , 165.93 
30, 2250 , 26.88 , 26.88 ,0,0, 26.88 ,0, 26.88 , 182.79 , 26.88 , 26.88 , 26.88 , 26.88 ,0, 26.88 , 26.88 , 182.79 , 182.79 , 26.88 , 26.88 , 26.88 ,0, 26.88 ,0,0,0, 26.88 , 26.88 , 26.88 , 616.60 , 599.44 , 580.67 , 181.94 , 182.79 , 26.96 , 180.08 
31, 2260 , 29.06 , 29.06 ,0,0, 29.06 ,0, 29.06 , 197.59 , 29.06 , 29.06 , 29.06 , 29.06 ,0, 29.06 , 29.06 , 197.59 , 197.59 , 29.06 , 29.06 , 29.06 ,0, 29.06 ,0,0,0, 29.06 , 29.06 , 29.06 , 666.55 , 648.00 , 627.71 , 196.68 , 197.59 , 29.14 , 194.67 
32, 2270 , 31.29 , 31.29 ,0,0, 31.29 ,0, 31.29 , 212.75 , 31.29 , 31.29 , 31.29 , 31.29 ,0, 31.29 , 31.29 , 212.75 , 212.75 , 31.29 , 31.29 , 31.29 ,0, 31.29 ,0,0,0, 31.29 , 31.29 , 31.29 , 717.69 , 697.71 , 675.87 , 211.77 , 212.75 , 31.38 , 209.60 
33, 2280 , 33.56 , 33.56 ,0,0, 33.56 ,0, 33.56 , 228.17 , 33.56 , 33.56 , 33.56 , 33.56 ,0, 33.56 , 33.56 , 228.17 , 228.17 , 33.56 , 33.56 , 33.56 ,0, 33.56 ,0,0,0, 33.56 , 33.56 , 33.56 , 769.69 , 748.27 , 724.84 , 227.12 , 228.17 , 33.65 , 224.79 
34, 2290 , 35.85 , 35.85 ,0,0, 35.85 ,0, 35.85 , 243.73 , 35.85 , 35.85 , 35.85 , 35.85 ,0, 35.85 , 35.85 , 243.73 , 243.73 , 35.85 , 35.85 , 35.85 ,0, 35.85 ,0,0,0, 35.85 , 35.85 , 35.85 , 822.19 , 799.31 , 774.28 , 242.61 , 243.73 , 35.95 , 240.12 
35, 2300 , 38.14 , 38.14 ,0,0, 38.14 ,0, 38.14 , 259.32 , 38.14 , 38.14 , 38.14 , 38.14 ,0, 38.14 , 38.14 , 259.32 , 259.32 , 38.14 , 38.14 , 38.14 ,0, 38.14 ,0,0,0, 38.14 , 38.14 , 38.14 , 874.79 , 850.44 , 823.81 , 258.13 , 259.32 , 38.25 , 255.49 
