,Year,AUSTRIA,BELGIUM,BULGARIA,CROATIA,CYPRUS,CZECHIA,DENMARK,ESTONIA,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,LATVIA,LITHUANIA,LUXEMBOURG,MALTA,NETHERLANDS,POLAND,PORTUGAL,ROMANIA,SLOVAKIA,SLOVENIA,SPAIN,SWEDEN,UK,CHINA,EASOC,INDIA,LATAM,RUSSIA,USMCA,LROW
0, 1950 , 0.24  , 0.24  ,0,0, 0.24  ,0, 0.24  , 0.53  , 0.24  , 0.24  , 0.24  , 0.24  ,0, 0.24  , 0.24  , 0.53  , 0.53  , 0.24  , 0.24  , 0.24  ,0, 0.24  ,0,0,0, 0.24  , 0.24  , 0.24  , 0.04   , 0.09  , 0.29  , 0.39  , 0.53  , 0.33  , 1.03  
1, 1960 , 0.32  , 0.32  ,0,0, 0.32  ,0, 0.32  , 0.69  , 0.32  , 0.32  , 0.32  , 0.32  ,0, 0.32  , 0.32  , 0.69  , 0.69  , 0.32  , 0.32  , 0.32  ,0, 0.32  ,0,0,0, 0.32  , 0.32  , 0.32  , 0.05   , 0.15  , 0.31  , 0.54  , 0.69  , 0.39  , 1.12  
2, 1970 , 0.41  , 0.41  ,0,0, 0.41  ,0, 0.41  , 0.91  , 0.41  , 0.41  , 0.41  , 0.41  ,0, 0.41  , 0.41  , 0.91  , 0.91  , 0.41  , 0.41  , 0.41  ,0, 0.41  ,0,0,0, 0.41  , 0.41  , 0.41  , 0.08   , 0.23  , 0.34  , 0.75  , 0.91  , 0.47  , 1.21  
3, 1980 , 0.54  , 0.54  ,0,0, 0.54  ,0, 0.54  , 1.20  , 0.54  , 0.54  , 0.54  , 0.54  ,0, 0.54  , 0.54  , 1.20  , 1.20  , 0.54  , 0.54  , 0.54  ,0, 0.54  ,0,0,0, 0.54  , 0.54  , 0.54  , 0.12   , 0.35  , 0.36  , 1.04  , 1.20  , 0.57  , 1.30  
4, 1990 , 0.85  , 0.85  ,0,0, 0.85  ,0, 0.85  , 1.79  , 0.85  , 0.85  , 0.85  , 0.85  ,0, 0.85  , 0.85  , 1.79  , 1.79  , 0.85  , 0.85  , 0.85  ,0, 0.85  ,0,0,0, 0.85  , 0.85  , 0.85  , 0.46   , 0.69  , 0.72  , 0.84  , 1.79  , 0.78  , 1.07  
5, 2000 , 1.00  , 1.00  ,0,0, 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  ,0, 1.00  ,0,0,0, 1.00  , 1.00  , 1.00  , 1.00   , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  , 1.00  
6, 2010 , 1.22  , 1.22  ,0,0, 1.22  ,0, 1.22  , 1.38  , 1.22  , 1.22  , 1.22  , 1.22  ,0, 1.22  , 1.22  , 1.38  , 1.38  , 1.22  , 1.22  , 1.22  ,0, 1.22  ,0,0,0, 1.22  , 1.22  , 1.22  , 1.45   , 1.41  , 1.34  , 1.18  , 1.38  , 1.22  , 1.16  
7, 2020 , 1.46  , 1.46  ,0,0, 1.46  ,0, 1.46  , 1.96  , 1.46  , 1.46  , 1.46  , 1.46  ,0, 1.46  , 1.46  , 1.96  , 1.96  , 1.46  , 1.46  , 1.46  ,0, 1.46  ,0,0,0, 1.46  , 1.46  , 1.46  , 1.91   , 1.80  , 1.71  , 1.50  , 1.96  , 1.45  , 1.49  
8, 2030 , 1.71  , 1.71  ,0,0, 1.71  ,0, 1.71  , 2.71  , 1.71  , 1.71  , 1.71  , 1.71  ,0, 1.71  , 1.71  , 2.71  , 2.71  , 1.71  , 1.71  , 1.71  ,0, 1.71  ,0,0,0, 1.71  , 1.71  , 1.71  , 2.54   , 2.28  , 2.17  , 1.91  , 2.71  , 1.70  , 1.89  
9, 2040 , 1.97  , 1.97  ,0,0, 1.97  ,0, 1.97  , 3.56  , 1.97  , 1.97  , 1.97  , 1.97  ,0, 1.97  , 1.97  , 3.56  , 3.56  , 1.97  , 1.97  , 1.97  ,0, 1.97  ,0,0,0, 1.97  , 1.97  , 1.97  , 3.39   , 2.89  , 2.75  , 2.42  , 3.56  , 1.96  , 2.40  
10, 2050 , 2.23  , 2.23  ,0,0, 2.23  ,0, 2.23  , 4.43  , 2.23  , 2.23  , 2.23  , 2.23  ,0, 2.23  , 2.23  , 4.43  , 4.43  , 2.23  , 2.23  , 2.23  ,0, 2.23  ,0,0,0, 2.23  , 2.23  , 2.23  , 4.51   , 3.66  , 3.48  , 3.07  , 4.43  , 2.22  , 3.03  
11, 2060 , 2.50  , 2.50  ,0,0, 2.50  ,0, 2.50  , 5.35  , 2.50  , 2.50  , 2.50  , 2.50  ,0, 2.50  , 2.50  , 5.35  , 5.35  , 2.50  , 2.50  , 2.50  ,0, 2.50  ,0,0,0, 2.50  , 2.50  , 2.50  , 6.00   , 4.65  , 4.43  , 3.89  , 5.35  , 2.49  , 3.85  
12, 2070 , 2.79  , 2.79  ,0,0, 2.79  ,0, 2.79  , 6.46  , 2.79  , 2.79  , 2.79  , 2.79  ,0, 2.79  , 2.79  , 6.46  , 6.46  , 2.79  , 2.79  , 2.79  ,0, 2.79  ,0,0,0, 2.79  , 2.79  , 2.79  , 7.95   , 5.96  , 5.67  , 4.99  , 6.46  , 2.79  , 4.94  
13, 2080 , 3.11  , 3.11  ,0,0, 3.11  ,0, 3.11  , 7.79  , 3.11  , 3.11  , 3.11  , 3.11  ,0, 3.11  , 3.11  , 7.79  , 7.79  , 3.11  , 3.11  , 3.11  ,0, 3.11  ,0,0,0, 3.11  , 3.11  , 3.11  , 10.50  , 7.68  , 7.30  , 6.42  , 7.79  , 3.11  , 6.36  
14, 2090 , 3.44  , 3.44  ,0,0, 3.44  ,0, 3.44  , 9.11  , 3.44  , 3.44  , 3.44  , 3.44  ,0, 3.44  , 3.44  , 9.11  , 9.11  , 3.44  , 3.44  , 3.44  ,0, 3.44  ,0,0,0, 3.44  , 3.44  , 3.44  , 13.48  , 9.71  , 9.23  , 8.12  , 9.11  , 3.43  , 8.04  
15, 2100 , 3.75  , 3.75  ,0,0, 3.75  ,0, 3.75  , 10.27 , 3.75  , 3.75  , 3.75  , 3.75  ,0, 3.75  , 3.75  , 10.27 , 10.27 , 3.75  , 3.75  , 3.75  ,0, 3.75  ,0,0,0, 3.75  , 3.75  , 3.75  , 16.73  , 11.99 , 11.40 , 10.03 , 10.27 , 3.75  , 9.93  
16, 2110 , 4.05  , 4.05  ,0,0, 4.05  ,0, 4.05  , 11.33 , 4.05  , 4.05  , 4.05  , 4.05  ,0, 4.05  , 4.05  , 11.33 , 11.33 , 4.05  , 4.05  , 4.05  ,0, 4.05  ,0,0,0, 4.05  , 4.05  , 4.05  , 20.22  , 14.48 , 13.77 , 12.12 , 11.33 , 4.05  , 11.99 
17, 2120 , 4.36  , 4.36  ,0,0, 4.36  ,0, 4.36  , 12.44 , 4.36  , 4.36  , 4.36  , 4.36  ,0, 4.36  , 4.36  , 12.44 , 12.44 , 4.36  , 4.36  , 4.36  ,0, 4.36  ,0,0,0, 4.36  , 4.36  , 4.36  , 23.95  , 17.16 , 16.32 , 14.36 , 12.44 , 4.36  , 14.21 
18, 2130 , 4.68  , 4.68  ,0,0, 4.68  ,0, 4.68  , 13.61 , 4.68  , 4.68  , 4.68  , 4.68  ,0, 4.68  , 4.68  , 13.61 , 13.61 , 4.68  , 4.68  , 4.68  ,0, 4.68  ,0,0,0, 4.68  , 4.68  , 4.68  , 27.83  , 19.93 , 18.95 , 16.68 , 13.61 , 4.68  , 16.51 
19, 2140 , 5.00  , 5.00  ,0,0, 5.00  ,0, 5.00  , 14.83 , 5.00  , 5.00  , 5.00  , 5.00  ,0, 5.00  , 5.00  , 14.83 , 14.83 , 5.00  , 5.00  , 5.00  ,0, 5.00  ,0,0,0, 5.00  , 5.00  , 5.00  , 31.70  , 22.70 , 21.59 , 19.00 , 14.83 , 4.99  , 18.80 
20, 2150 , 5.31  , 5.31  ,0,0, 5.31  ,0, 5.31  , 16.09 , 5.31  , 5.31  , 5.31  , 5.31  ,0, 5.31  , 5.31  , 16.09 , 16.09 , 5.31  , 5.31  , 5.31  ,0, 5.31  ,0,0,0, 5.31  , 5.31  , 5.31  , 35.40  , 25.35 , 24.11 , 21.21 , 16.09 , 5.31  , 21.00 
21, 2160 , 5.64  , 5.64  ,0,0, 5.64  ,0, 5.64  , 17.43 , 5.64  , 5.64  , 5.64  , 5.64  ,0, 5.64  , 5.64  , 17.43 , 17.43 , 5.64  , 5.64  , 5.64  ,0, 5.64  ,0,0,0, 5.64  , 5.64  , 5.64  , 39.10  , 28.00 , 26.63 , 23.43 , 17.43 , 5.64  , 23.19 
22, 2170 , 5.99  , 5.99  ,0,0, 5.99  ,0, 5.99  , 18.87 , 5.99  , 5.99  , 5.99  , 5.99  ,0, 5.99  , 5.99  , 18.87 , 18.87 , 5.99  , 5.99  , 5.99  ,0, 5.99  ,0,0,0, 5.99  , 5.99  , 5.99  , 43.19  , 30.93 , 29.42 , 25.88 , 18.87 , 5.99  , 25.62 
23, 2180 , 6.36  , 6.36  ,0,0, 6.36  ,0, 6.36  , 20.44 , 6.36  , 6.36  , 6.36  , 6.36  ,0, 6.36  , 6.36  , 20.44 , 20.44 , 6.36  , 6.36  , 6.36  ,0, 6.36  ,0,0,0, 6.36  , 6.36  , 6.36  , 47.71  , 34.17 , 32.49 , 28.59 , 20.44 , 6.36  , 28.30 
24, 2190 , 6.75  , 6.75  ,0,0, 6.75  ,0, 6.75  , 22.14 , 6.75  , 6.75  , 6.75  , 6.75  ,0, 6.75  , 6.75  , 22.14 , 22.14 , 6.75  , 6.75  , 6.75  ,0, 6.75  ,0,0,0, 6.75  , 6.75  , 6.75  , 52.70  , 37.74 , 35.89 , 31.58 , 22.14 , 6.75  , 31.26 
25, 2200 , 7.17  , 7.17  ,0,0, 7.17  ,0, 7.17  , 23.97 , 7.17  , 7.17  , 7.17  , 7.17  ,0, 7.17  , 7.17  , 23.97 , 23.97 , 7.17  , 7.17  , 7.17  ,0, 7.17  ,0,0,0, 7.17  , 7.17  , 7.17  , 58.21  , 41.69 , 39.65 , 34.89 , 23.97 , 7.17  , 34.53 
26, 2210 , 7.61  , 7.61  ,0,0, 7.61  ,0, 7.61  , 25.91 , 7.61  , 7.61  , 7.61  , 7.61  ,0, 7.61  , 7.61  , 25.91 , 25.91 , 7.61  , 7.61  , 7.61  ,0, 7.61  ,0,0,0, 7.61  , 7.61  , 7.61  , 64.19  , 45.97 , 43.72 , 38.47 , 25.91 , 7.61  , 38.07 
27, 2220 , 8.08  , 8.08  ,0,0, 8.08  ,0, 8.08  , 27.90 , 8.08  , 8.08  , 8.08  , 8.08  ,0, 8.08  , 8.08  , 27.90 , 27.90 , 8.08  , 8.08  , 8.08  ,0, 8.08  ,0,0,0, 8.08  , 8.08  , 8.08  , 70.50  , 50.49 , 48.02 , 42.25 , 27.90 , 8.08  , 41.82 
28, 2230 , 8.58  , 8.58  ,0,0, 8.58  ,0, 8.58  , 29.92 , 8.58  , 8.58  , 8.58  , 8.58  ,0, 8.58  , 8.58  , 29.92 , 29.92 , 8.58  , 8.58  , 8.58  ,0, 8.58  ,0,0,0, 8.58  , 8.58  , 8.58  , 77.12  , 55.24 , 52.53 , 46.22 , 29.92 , 8.58  , 45.75 
29, 2240 , 9.11  , 9.11  ,0,0, 9.11  ,0, 9.11  , 31.96 , 9.11  , 9.11  , 9.11  , 9.11  ,0, 9.11  , 9.11  , 31.96 , 31.96 , 9.11  , 9.11  , 9.11  ,0, 9.11  ,0,0,0, 9.11  , 9.11  , 9.11  , 84.03  , 60.19 , 57.23 , 50.36 , 31.96 , 9.10  , 49.85 
30, 2250 , 9.67  , 9.67  ,0,0, 9.67  ,0, 9.67  , 34.01 , 9.67  , 9.67  , 9.67  , 9.67  ,0, 9.67  , 9.67  , 34.01 , 34.01 , 9.67  , 9.67  , 9.67  ,0, 9.67  ,0,0,0, 9.67  , 9.67  , 9.67  , 91.20  , 65.32 , 62.12 , 54.66 , 34.01 , 9.67  , 54.10 
31, 2260 , 10.26 , 10.26 ,0,0, 10.26 ,0, 10.26 , 36.11 , 10.26 , 10.26 , 10.26 , 10.26 ,0, 10.26 , 10.26 , 36.11 , 36.11 , 10.26 , 10.26 , 10.26 ,0, 10.26 ,0,0,0, 10.26 , 10.26 , 10.26 , 98.59  , 70.61 , 67.15 , 59.09 , 36.11 , 10.26 , 58.48 
32, 2270 , 10.89 , 10.89 ,0,0, 10.89 ,0, 10.89 , 38.33 , 10.89 , 10.89 , 10.89 , 10.89 ,0, 10.89 , 10.89 , 38.33 , 38.33 , 10.89 , 10.89 , 10.89 ,0, 10.89 ,0,0,0, 10.89 , 10.89 , 10.89 , 106.15 , 76.03 , 72.30 , 63.62 , 38.33 , 10.89 , 62.97 
33, 2280 , 11.57 , 11.57 ,0,0, 11.57 ,0, 11.57 , 40.69 , 11.57 , 11.57 , 11.57 , 11.57 ,0, 11.57 , 11.57 , 40.69 , 40.69 , 11.57 , 11.57 , 11.57 ,0, 11.57 ,0,0,0, 11.57 , 11.57 , 11.57 , 113.85 , 81.54 , 77.54 , 68.23 , 40.69 , 11.57 , 67.53 
34, 2290 , 12.28 , 12.28 ,0,0, 12.28 ,0, 12.28 , 43.20 , 12.28 , 12.28 , 12.28 , 12.28 ,0, 12.28 , 12.28 , 43.20 , 43.20 , 12.28 , 12.28 , 12.28 ,0, 12.28 ,0,0,0, 12.28 , 12.28 , 12.28 , 121.61 , 87.10 , 82.83 , 72.88 , 43.20 , 12.28 , 72.14 
35, 2300 , 13.04 , 13.04 ,0,0, 13.04 ,0, 13.04 , 45.87 , 13.04 , 13.04 , 13.04 , 13.04 ,0, 13.04 , 13.04 , 45.87 , 45.87 , 13.04 , 13.04 , 13.04 ,0, 13.04 ,0,0,0, 13.04 , 13.04 , 13.04 , 129.39 , 92.67 , 88.13 , 77.54 , 45.87 , 13.04 , 76.75 
