Code,Name,Countries
USA,USA,United States of America
CAN,Canada,Canada
WEU,Western Europe,"Andorra, Austria, Belgium, Cyprus, Denmark, Finland, France, Germany, Greece, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, Malta, Monaco, Netherlands, Norway, Portugal, San Marino, Spain, Sweden, Switzerland, United Kingdom"
JPK,Japan and South Korea,"Japan, South Korea"
ANZ,Australia and New Zealand,"Australia, New Zealand"
CEE,Central and Eastern Europe,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Hungary, FYR Macedonia, Poland, Romania, Slovakia, Slovenia, Yugoslavia"
FSU,Former Soviet Union,"Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan"
MDE,Middle East,"Bahrain, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Qatar, Saudi Arabia, Syria, Turkey, United Arab Emirates, West Bank and Gaza, Yemen"
CAM,Central America,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama"
SAM,South America,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela"
SAS,South Asia,"Afghanistan, Bangladesh, Bhutan, India, Nepal, Pakistan, Sri Lanka"
SEA,Southeast Asia,"Brunei, Cambodia, East Timor, Indonesia, Laos, Malaysia, Myanmar, Papua New Guinea, Philippines, Singapore, Taiwan, Thailand, Vietnam"
CHI,China plus,"China, Hong Kong, North Korea, Macau, Mongolia"
NAF,North Africa,"Algeria, Egypt, Libya, Morocco, Tunisia, Western Sahara"
SSA,Sub-Saharan Africa,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Chad, Congo-Brazzaville, Congo-Kinshasa, Cote d’Ivoire, Djibouti, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea- Bissau, Kenya, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Namibia, Niger, Nigeria, Rwanda, Senegal, Sierra Leone, Somalia, South Africa, Sudan, Swaziland, Tanzania, Togo, Uganda, Zambia, Zimbabwe"
SIS,Small Island States,"Antigua and Barbuda, Aruba, Bahamas, Barbados, Bermuda, Comoros, Cuba, Dominica, Dominican Republic, Fiji, French Polynesia, Grenada, Guadeloupe, Haiti, Jamaica, Kiribati, Maldives, Marshall Islands, Martinique, Mauritius, Micronesia, Nauru, Netherlands Antilles, New Caledonia, Palau, Puerto Rico, Reunion, Samoa, Sao Tome and Principe, Seychelles, Solomon Islands, St Kitts and Nevis, St Lucia, St Vincent and Grenadines, Tonga, Trinidad and Tobago, Tuvalu, Vanuatu, Virgin Islands"
