Region_WILIAM,Region_FUND_code,Region_FUND_name,Countries,ISO
,SAS,South Asia,Afghanistan,AFG
,CEE,Central and Eastern Europe,Albania,ALB
,NAF,North Africa,Algeria,DZA
,WEU,Western Europe,Andorra,AND
,SSA,Sub-Saharan Africa,Angola,AGO
,SIS,Small Island States,Antigua and Barbuda,ATG
,SAM,South America,Argentina,ARG
,FSU,Former Soviet Union,Armenia,ARM
,SIS,Small Island States,Aruba,ABW
,ANZ,Australia and New Zealand,Australia,AUS
AUSTRIA,WEU,Western Europe,Austria,AUT
,FSU,Former Soviet Union,Azerbaijan,AZE
,SIS,Small Island States,Bahamas,BHS
,MDE,Middle East,Bahrain,BHR
,SAS,South Asia,Bangladesh,BGD
,SIS,Small Island States,Barbados,BRB
,FSU,Former Soviet Union,Belarus,BLR
BELGIUM,WEU,Western Europe,Belgium,BEL
,CAM,Central America,Belize,BLZ
,SSA,Sub-Saharan Africa,Benin,BEN
,SIS,Small Island States,Bermuda,BMU
,SAS,South Asia,Bhutan,BTN
,SAM,South America,Bolivia,BOL
,CEE,Central and Eastern Europe,Bosnia and Herzegovina,BIH
,SSA,Sub-Saharan Africa,Botswana,BWA
,SAM,South America,Brazil,BRA
,SEA,Southeast Asia,Brunei,BRN
BULGARIA,CEE,Central and Eastern Europe,Bulgaria,BGR
,SSA,Sub-Saharan Africa,Burkina Faso,BFA
,SSA,Sub-Saharan Africa,Burundi,BDI
CHINA,,,,
,SEA,Southeast Asia,Cambodia,KHM
,SSA,Sub-Saharan Africa,Cameroon,CMR
,CAN,Canada,Canada,CAN
,SSA,Sub-Saharan Africa,Cape Verde,
,SSA,Sub-Saharan Africa,Central African Republic,CAF
,SSA,Sub-Saharan Africa,Chad,TCD
,SAM,South America,Chile,CHL
,CHI,China plus,China,CHN
,SAM,South America,Colombia,COL
,SIS,Small Island States,Comoros,COM
,SSA,Sub-Saharan Africa,Congo-Brazzaville,COG
,SSA,Sub-Saharan Africa,Congo-Kinshasa,COD
,CAM,Central America,Costa Rica,CRI
,SSA,Sub-Saharan Africa,Cote d’Ivoire,CIV
CROATIA,CEE,Central and Eastern Europe,Croatia,HRV
,SIS,Small Island States,Cuba,CUB
CYPRUS,WEU,Western Europe,Cyprus,CYP
,CEE,Central and Eastern Europe,Czech Republic,CZE
CZECHIA,,,,
DENMARK,WEU,Western Europe,Denmark,DNK
,SSA,Sub-Saharan Africa,Djibouti,DJI
,SIS,Small Island States,Dominica,DMA
,SIS,Small Island States,Dominican Republic,DOM
EASOC,,,,
,SEA,Southeast Asia,East Timor,TLS
,SAM,South America,Ecuador,ECU
,NAF,North Africa,Egypt,EGY
,CAM,Central America,El Salvador,SLV
,SSA,Sub-Saharan Africa,Equatorial Guinea,GNQ
,SSA,Sub-Saharan Africa,Eritrea,ERI
ESTONIA,FSU,Former Soviet Union,Estonia,EST
,SSA,Sub-Saharan Africa,Ethiopia,ETH
,CEE,Central and Eastern Europe,FYR Macedonia,
,SIS,Small Island States,Fiji,FJI
FINLAND,WEU,Western Europe,Finland,FIN
FRANCE,WEU,Western Europe,France,FRA
,SAM,South America,French Guiana,GUF
,SIS,Small Island States,French Polynesia,PYF
,SSA,Sub-Saharan Africa,Gabon,GAB
,SSA,Sub-Saharan Africa,Gambia,GMB
,FSU,Former Soviet Union,Georgia,GEO
GERMANY,WEU,Western Europe,Germany,DEU
,SSA,Sub-Saharan Africa,Ghana,GHA
GREECE,WEU,Western Europe,Greece,GRC
,SIS,Small Island States,Grenada,GRD
,SIS,Small Island States,Guadeloupe,GLP
,CAM,Central America,Guatemala,GTM
,SSA,Sub-Saharan Africa,Guinea,GIN
,SSA,Sub-Saharan Africa,Guinea- Bissau,GNB
,SAM,South America,Guyana,GUY
