Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Total agriculture impact,A.1,FUND v.3.8,"Damage in agricultural production,Damage in agricultural production level ,Damage in agricultural production due to CO2 fertilisation",Total agriculture impact,,a1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/JbHqhnapZ64ke60MLvoDeQ/TzjlBO2-vutLwMEMdZQzYka0Pb-Sq_DKJpaKjTJmiO_RauZhmJoNC2Fv5BE8rW6AzjxWbyO2rA2CBfVlKwGTpl-1kEgXPL0OENA4kt_a3DrdnxLH6ll84KkzMY04yulxNUK3N6jxbTrahwflGW83lw/-vHeF7kWiKwvoVZrUTQd_wYkyrrIbyYC3dAqAH-6Baw),,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=7NEFIDYW))  ,"Food production reduction,Food security reduction",Production,Production,"A_{t,r}=A_{t,r}^{r}+A_{t,r}^{l}+A_{t,r}^{f}",Oui,FUND total agricultural impact
Agriculture impact of the rate of climate change,A.2,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter for impact of climate change on economic welfare ,Non-linearity parameter,Speed of adaptation parameter",Damage in agricultural production,,a2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/W-8XzomDg-j2Ix3oAR3SDA/4I1QzGlpYd8-W4mZDG4dAkqDY7JE43_K_wkYtvm3IZltoPr89CEe-ViNxZwk0GcKCvmtqKww_AUzdbHXLhkX2w9c357ZBMvAk4zABKB4zV_7hiPUx03FsnAplaMbG-XjClsJ4HcR0jI5-tePe4SAIw/ZK-1BxPKr0UOXqIDWXfj3adyEaZ78mUUVW2HhmA4HtE),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=GDB5BXVY))  ,"Food security reduction,Food production reduction",", Temperature",Production,"A_{t,r}^{r}=\alpha_{r}\left(\frac{\Delta T_{t}}{0.04}\right)^{\beta}+\left(1-\frac{1}{\rho}\right)A_{t-1,r}^{r}",Oui,
Agriculture impact of the level of climate change,A.3,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter related to warming of 2.5°C ,Parameter related to warming of 3.2°C ",Damage in agricultural production level ,,a3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/vN3hnyHYhZavdZ5pWgoUIg/0lGGLLY0XMSbbtEFPUNbGxuuzHfYkibJ8YgVOyE1iooH3ORDR-ZVrXJIaKOTvqxnLZsnPQmmpDEO55B2cM5L3XZT0PXHyoEg7wRq_tMyzLuoE5fSd6JGahGH_e39pxStu2k-kPTUfYuaCUGPtrmIeg/nFGrzKtiFwAwXjSPQ3F4EBt73drlhC9nVtB6hgz995E),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=XSXBCZLF))  ,"Food production reduction,Food security reduction",", Temperature",Production,"A_{t,r}^{l}\,=\,\delta_{r}^{l}T_{t}\,+\,\delta_{r}^{2}T_{t}^{2}",Oui,"""FUND - agricultural impact of the level of climate change"""
Agriculture impact of fertilisation,A.4,FUND v.3.8,"Time,Region,Pre-industrial concentration of CO2,Atmospheric CO2 concentrations ,Parameter related to CO2 fertilisation",Damage in agricultural production due to CO2 fertilisation,,a4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/L6MF6zSMdhan0RYn-GkPvg/udeL5Gt_WGXFg9szo8vX9Aegp5lnxhejg2OCp6ykzh0Q1mUbnAFmIm0yr1rEX8dsJRqVniT5z_xf_Sz_WMrVTimfWuwOhUf4X6kJGokL29FDZK1Po8yPGh03zq6Oc8DrvvX5Zk4ImCV6Xy6GGcsC_Q/Hksbkeq0xg0V_LGK9riGZDt7uvd9f8GwGKmABjZlccU),Logarithmic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=9AKBR3NN))  ,"Food security reduction,Food production reduction",", CO2 concentration",Production,"A_{t,r}^{f}=\nu_{r}\ln\frac{G O2_{t}}{275}\,,",Oui,"""FUND - agricultural impact of the fertilisation"""
Agriculture production relative loss,A.5,FUND v.3.8,"Gross agricultural product,GDP in region r at time t ,Gross domestic product per capita,Time,Region,Income elasticity parameter",,,a5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/iSOwcGhMLEkW0TxuuZCKIA/8gAUvCv4bH4Wou2MLqL_2tmzMcGEfptJuAhR7v5R_s6W68mJjy4wTitTftQAk1ka4fYepIaLeaZ8L0RV5jVXSIFWDbFf2JbC8t_M3bqe6L0hyqmU2VvtfWFrLvvY1QI3BDH6XgdfE2G--_fEAWcPXw/fDi-yzOd2HjDyadRdfcXkIRcJO0HtD_6LdnYcrCEL54),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=YE8XS39V))  ,"Food production reduction,Food security reduction","Production, GDP, ",,"\frac{G A P_{t,r}}{Y_{t,r}}=\frac{G A P_{1990,r}}{Y_{1990,r}}\biggl(\frac{y_{1990,r}}{y_{t,r}}\biggr)^{2}",Oui,
Forestry impact,F.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Global mean temperature ,Parameter for impact of climate change on economic welfare ,Income elasticity parameter ,Expert guess parameter ,Parameter for the effect of doubling atmospheric CO2 concentration on forest value ",Change in forestry consumer and producer surplus ,,f1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/fzEapti_-CmHmZNcGtEqTA/0RrWNBxThWvx-VdxW-B4cih4ERb9FIlorfKR8ZWbRcIMx0ob4ovAHNnCHUGHMFX8Yat__ZDR8cmJYchtNA8wP1KrImeyw_YWonoLmAZ72r8N8Y49nfexgZA-LNpmSNlMvctufTLglCPlSpVrvZysOA/rd8T_mu04d9O9Vmh19sr3TmUiq4auWkxNOjFwGXfnNg),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=GWFZADWT))  ,Loss in terrestrial ecosystem,", GDP, Temperature",Production,"F_{t,r}=\alpha_{r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{s}\left(0.5\left(\frac{T_{t}}{1.0}\right)^{\beta}+0.5\gamma\ln\left(\frac{C O_{2,t}}{275}\right)\right)",Oui,
Water resources impact,W.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Global mean temperature ,Parameter for benchmark impact ,Parameter for economic growth response ,Parameter for population growth response ,Parameter for impact response to warming ,Parameter for technological progress ",Change in water resources ,,w1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/uX6WSFXMIdBmnR7_l1pevg/4ObfMWjCqlm7P_W-9akqsYipUTgzhq27tEDyFl1oH2R1-hXlFAhQUUNzQ6b5KnYsOc9qdIZT90lWvkmoWT-UZ328eixjk0SO4WorMO_JI0rMGmfnSH7TrTFCtjppKBRe7zbePBSwgxI6NkPasoPZvw/qcWMNAagHhD8sSVWyA4HdxHUYVzOBd5RrKXIRHGwtYA),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=FCPZZUZT))  ,"Loss in freshwater ecosystem,Water security reduction,Water scarcity",", GDP, Population, Temperature",,"W_{t,r}=\operatorname*{min}\left\{\alpha_{r}Y_{1990,r}(1-\tau)^{\prime-2000}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\not p}\left(\frac{P_{t,r}}{J_{1990,r}}\right)^{\not p}\left(\frac{T_{t}}{1.0}\right)^{\gamma}\frac{Y_{t,r}}{1.0}\right\}",Oui,
Space heating impact,E.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for benchmark impact ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Decrease in expenditure on space heating ,,e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/3PRo-bdUnGb1QGd2BmYEyA/PLCFvigA4-AUoxjoOD4tenCwXO_NsQ7_4WQ01ae-m4xrJ5tGwYMvqEGBxtrbczWJDT8haiJEbdF1N_xR5gA3TPWZyiFZ2Qby_V1NbtqiJQJ2t6FvMNgeenm74GtkpN7Xn7VE8m3NAqk7MA1OMLUcgQ/DZDMZMktcftyZkcJEgULJp_hMFd7x2LH95bPgUecVcc),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=9&annotation=L5D97PP2))  ,,", GDP, Temperature, Population",Consumption,"B_{t}=\operatorname*{max}\left\{\frac{B_{0}}{100},B_{t-}\left(1-\rho-\gamma\frac{\Delta T^{2}}{\tau^{2}}\right)\right\}",Oui,
Space cooling impact,E.2,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for economic growth response ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Increase in expenditure on space cooling ,,e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/2lA_HqNrjvOzjqVE-J_RMQ/oKfeO71HIDXsB1ESmSLA4hCdF5N6RMzmFbZ3gg0d46eQEdnmEquB1oZyhN5IOaf-o8gMZjxxaguJXc-UT_eCRPgL6pEIFaTZ_Sg-28f3cnDE2qNYcRMUE0jnxXhktO8m4Dm7zJAdR9-IXE20wgRerA/UreECkNypnFCwd0q-0YcSvQUdtd2dtZA9P4bBlPEf9w),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=10&annotation=9HNIT94Y))  ,"Extreme heat,""Heat, malnutrition and harm from wildfire""",", GDP, Temperature, Population",Consumption,"S C_{t,r}=\alpha_{r}Y_{1990,r}\left(\frac{T_{t}}{1.0}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\epsilon}\left(\frac{P_{t,r}}{P_{11990,r}}\right)\right/\prod_{s=1,900}^{t}4E E I_{s,r}",Oui,
Potential cumulative dryland impact,SLR.1,FUND v.3.8,"Time,Region,Dryland loss due to one metre sea level rise ,Sea level rise above pre-industrial levels ,Parameter calibrated to a digital elevation model ,Maximum dryland loss in region ",,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/N5TIWXkeHYzY-xVbRpsNHA/KWjpA-zdWb4RHEFeWwTLElrR3mMdcIwY9ywnpBesvhGqXU8OrU-5hojgLwlZpJLZAJVR2XwTOs4lPFCECgfvW5FMuBUNYeQoRZywm4at7JaqqSeIzb03JRe2zA4GJxkfHy93Rxg_vJL8VO4f0M-dKQ/N-swKWtY26dPcsG1tEt9DYE7mNeGbtJ8mDtlmjwI4ek),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=8NBHZVUR))  ,Loss in terrestrial ecosystem,", Sea level rise",,"\overline{{{C D}}}_{t,r}=\operatorname*{min}[\delta_{r}s_{t}^{\gamma_{r}},\zeta_{r}]",Oui,
Potential dryland loss without protection,SLR.2,FUND v.3.8,"Potential cumulative dryland loss without protection ,Actual cumulative dryland loss ",Potential dryland loss without protection ,,slr2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/Ca7XuLuSClweK8Oap9YNsg/b6gETxH7BaVg9s9SHRzuT33xpq1xwlX1G2A7Fu76LgiZ8g09yCw_BnGaCLC1TxuUXhSyYBEJ_f7ZsL9nP87AkHUajXwyetTrThftr8zDx7VP31nxikwBJ7XCmN2uXGDhptGPScCej8i1YPuJ5fppwQ/IFhkfunQPLwu9VmfXStZvMrOQ_jrCG3rag2gsfiNBkw),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=U2LKEDGJ))  ,Loss in terrestrial ecosystem,", Natural capital",,"\overline{{{D}}}_{t,r}=\overline{{{C D}}}_{t,r}-C D_{t-1,r}",Oui,
Actual dryland loss in the current year,SLR.3,FUND v.3.8,"Fraction of the coastline protected ,Potential dryland loss without protection ",Dryland loss in year ,,slr3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720548000000/b576jchsUJRAtookbSWVTg/9CbRH22ApC9KYw4VHNPIJxLqjevKYTd_ALqlE_v2Q5TtmE3oG7C9Wc_M6FKSOeKIwT6zShDjpOC0_6ydgB55CPAeQ1FUzu8fDby6cABVfvimp44NCzKydIGU6RYH2v63EUeloLLXyNslCSqcpedJoQ/UF5q0jyfoloxQjV1XjZren78i08auw4Ph61tkjg6B5g),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=XPNAQZ8K))  ,Loss in terrestrial ecosystem,,,"D_{t,r}=\left(1-P_{t,r}\right)\overline{{{D}}}_{t,r}",Oui,
