Name,Variable sign ,Module,Sector,Type,Scope,Description,Unit,Status,Damage functions,Damage functions 2,Related equation,Zotero Source,Quantité (Damage functions)
Autonomous Energy Efficiency Improvement , AEEI ,Energy,,,, Parameter measuring technological progress in energy provision for space heating , - ,,"Space heating impact,Space cooling impact",, Equation E.1,,2
Energy demand,,Energy,,,,,,,,Energy demand,,,0
Number of species , B ,Biodiversity,,,, Number of species , - ,,"Ecosystem loss,Number of species",Number of species, Equation E.1,,2
Natural resources in hydro power,,Biodiversity,,,,,,,,Run-off,,,0
Natural resources in thermal power,,Biodiversity,,,,,,,,Water cooling and run-off,,,0
Population in region r at time t , P ,Demography,Population,Stock,, Population at time t in region r , - ,,"Water resources impact,Human health : diarrhoea,Extreme weather : tropical storm mortality,Extratropical storms mortality",, Equation W.1,,4
Population in region r at time t , P ,Demography,Population,Stock,, Population size at time t in region r , - ,,"Space heating impact,Space cooling impact,Ecosystem loss",, Equation E.1,,3
Population in region r at time t , P ,Demography,Population,Stock,, Population in region r at time t , - ,,,, Equation EST.2,,0
Population density , d ,Demography,Population,Density,, Population density at time t in region r , person/square kilometer ,,"Wetland value,Human health : heat-related mortality",, Equation SLR.8,,2
Parameter for population growth response , η ,Demography,Population,Growth,, Parameter specifying how impacts respond to population growth , - ,,Water resources impact,, Equation W.1,,1
Population growth rate , p ,Demography,Population,Growth,, Population growth rate at time t in region r , - ,,Net present cost of wetland loss,, Equation SLR.11,,1
Fraction of people living in cities , U ,Demography,Population,Rate,, Fraction of people living in cities , - ,,,Human health : heat-related mortality, Equation HC.3,,0
Mortality due to tropical storms in region r at time t , TM ,Demography,Mortality,Stock,, Mortality due to tropical storms in region r at time t in people per year , people/year ,,,Extreme weather : tropical storm mortality, Equation TS.2,,0
Rate of mortality from diarrhoea in 2000 in region r , μ ,Demography,Mortality,Rate,, Rate of mortality from diarrhoea in 2000 in region r , - ,,Human health : diarrhoea,, Equation HD.1,,1
Mortality from extratropical cyclones at time t in region r , ETM ,Demography,Mortality,Rate,, Mortality from extratropical cyclones at time t in region r , - ,,,Extratropical storms mortality, Equation EST.2,,0
Change in mortality due to one degree global warming , D ,Demography,Mortality,Rate,," Change in mortality due to a one degree global warming in deaths per 100,000 people "," deaths/100,000 people ",,,Human health : cardiovascular and respiratory mortality, Equation HC.1,,0
?? (omega) , Damage function ,Economy,,,, Economic impacts or damages of climate change , $ ,,,Damage function, Damages Equation,,0
?? (A) , Output ,Economy,,,, Output level affected by climate change , $ ,,,, Damages Equation,,0
? (lambda) , Abatement-cost function ,Economy,,,, Cost of emissions reductions as a function of the emissions control rate , $ ,,,Abatement costs, Abatement-cost function,,0
 Net present value of global warming impacts ,DD (delta) ,Economy,,,, The sum of adjusted damages discounted over time with regional and time variable discount rates , Mecu ,,,Discounted damages, Equation (39),,0
 Damage sector index ,? (delta) ,Economy,,,, Index representing economic (?=0) and noneconomic (?=1) damage sectors , unitless ,,,, PAGE2002 damage sector model,,0
 Growth rate of GDP ,GRW (gamma) ,Economy,,,, Rate of change in GDP from the previous analysis year to the current analysis year , % ,,,, Equation (28),,0
