Model,IAMC model,Statut,Damage function ? ,Model name long,Name and version,model_team,model_date,reference,IPCC ?,SSP ? ,EU ? ,modelisation,solution_algorithm,model_category,direction,regions-number,regions-comment,sectors-number,modelisation-type,economic-school,economic-theory,Field 20,Comment,Damage functions,Nombre de fonctions de dommages,Cumul de Equation form (à partir de Damage functions),Critiques,Institution,Model link,Model type,Geographical scope,Objective,Solution concept,Solution horizon,Solution method,Time discounting type
FUND v.3.8,,Fonctions de dommages ajoutées,Oui,Climate Framework for Uncertainty Negotiation and Distribution,,,,@FUND Technical Description,,,,,,,,16,,,,,,,,"Total agriculture impact,Agriculture impact of the rate of climate change,Agriculture impact of the level of climate change,Agriculture impact of fertilisation,Agriculture production relative loss,Forestry impact,Water resources impact,Space heating impact,Space cooling impact,Potential cumulative dryland impact,Potential dryland loss without protection,Actual dryland loss in the current year,Actual cumulative dryland loss,Value of dryland,Wetland loss,Cumulative wetland loss,Wetland value,Level of protection,Net present cost of protection,Net present cost of wetland loss,Net present cost of dryland loss,Ecosystem loss,Number of species,Human health : diarrhoea,Human health : vector-borne diseases,Human health : cardiovascular and respiratory mortality,Human health : regional cardiovascular mortality,Human health : heat-related mortality,Extreme weather : tropical storms damage,Extreme weather : tropical storm mortality,Extratropical storms damage,Extratropical storms mortality,Value of a statistical life,Value of a year of morbidity",34,", Elasticity, Quadratic, Logarithmic, Linear",,,,,,,,,,
PAGE02,,Fonctions de dommages ajoutées,Oui,,,,,,,,,,,,,,,,,,,,,"Tolerable rate of change,Tolerable plateau,Adjusted tolerable plateau,Adjusted tolerable rate,Adjusted tolerable level,Impact,Impact of a discontinuity,Weighting of the impacts,Weigthed impacts,Certainty equivalent of the risk,Total weighted impact,Adjusted damage,Discounted damages",13,,,,,,,,,,,
GRACE,GRACE,Fonctions de dommages ajoutées,Oui, Global Responses to Anthropogenic Change in the Environment (GRACE) ,,,,,,,,,,,,,,,,,,,"Vient de la base de données de l'IAMC
","Productivity of land in agriculture,Productivity of land in forestry,Fish stock,Water cooling and run-off,Run-off,Energy demand,Tourism,Extreme events,Sea-level rise,Health",10,"Quadratic, ",,,,,,,,,,
DICE 2023,,Fonctions de dommages ajoutées,Oui,,,,2023,,,,,,,,,,,,,,,,,"Damage function,Abatement costs",2,Quadratic,,,,,,,,,,
WITNESS,WITNESS,Fonctions de dommages ajoutées,Oui,,,,,,,,,,,,,,,,,,,,,"Dice-like damage,Tipping point damage",2,,,,,,,,,,,
DSK,,Non fait,Oui,,,,,,,,,simulation,,,,,,,"Agent-based, Stock-flow consistent modelling",,,,,"Climate shock,Beta 1 parameter",2,,"Substituability in production functions and increasing returns to scale,Inequalities,Feedback of energy and other resources as production constraints,""International trade, finance and flows"",""Need for a multi-sector approach and cross-sector dynamics, both for goods and capital""",,,,,,,,,
"C3IAM
",C3IAM,Fonctions de dommages ajoutées,Inconnu,,,,,,,,,,,,,,,,,,,,,Damage function,1,Inverse quadratic,,,,,,,,,,
GLOBIOM,,Pas de fonction de dommage,Non,GLObal BIOsphere Model,,IIASA,,,checked,checked,,,Intertemporal optimization,General equilibrium,,,,,,,,,,,0,,,,,,,,,,,
IMACLIM,IMACLIM,Pas de fonction de dommage,Non,,,CIRED,,@The IMACLIM-P Model Version 3.4,checked,,,Optimisation,,,,,,,Computable general equilibrium,Neoclassical school,General equilibrium models,,,,0,,,,,,,,,,,
GEM-E3,GEM-E3,Pas de fonction de dommage,Non,General Equilibrium Model for Economy-Energy-Environment,,,,@GEM-E3 model documentation.,checked,,,Optimisation,,,,31 member-state level + rest of the world,,,Computable general equilibrium,Neoclassical school,General equilibrium models,,,,0,,,,,,,,,,,
"GCAM
",GCAM,Pas de fonction de dommage,Non,,,,,,checked,checked,,,Recursive dynamic,Partial equilibrium,,,,,,,,,,,0,,,,,,,,,,,
MESSAGE,MESSAGE-GLOBIOM,Pas de fonction de dommage,Non,Model for Energy Supply Strategy Alternatives and their General Environmental Impact,,IIASA,,,checked,checked,,Optimisation,"Intertemporal optimization, linear programming",Partial equilibrium / General equilibrium,,,global coverage,,"General equilibrium models, Partial equilibrium, Cost-optimisation",,General equilibrium models,,,,0,,,,,,,,,,,
"COFFEE
",COFFEE-TEA,Pas de fonction de dommage,Non,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"TIAM
","TIAM-ECN,TIAM-UCL",Pas de fonction de dommage,Non,,,,,,checked,,,,,,,,,,,,,,,,0,,,,,,,,,,,
MAGICC ,,Pas de fonction de dommage,Non,Model for Greenhouse gas Induced Climate Change,,IIASA,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
AIM,"AIM-Hub,AIM-Enduse India,AIM-Enduse Japan,AIM-Hub Indonesia,AIM-Hub Korea,AIM-Hub Thailand,AIM-Hub Viet Nam",Commencé,Oui,Asia-Pacific Integrated Modeling,,,,@AIM/CGE [basic] manual,checked,checked,,Optimisation,Recursive dynamic,General equilibrium,,,,,,Neoclassical school,General equilibrium models,,,,0,,,,,,,,,,,
WITCH,WITCH,Commencé,Oui,World Induced Technical Change Hybrid,,,,,checked,checked,,,Intertemporal optimization,General equilibrium,,,,,,,,,,,0,,,,,,,,,,,
