index,pop_est,REGIONS 35 I
China,1397715000.0,
EASOC,877232287.0,
India,1366417754.0,
LATAM,362837734.0,
LROW,2746446914.3,
Russia,144373535.0,
UK,66834405.0,
USMCA,493404314.0,
 Fiji,889953.0,LROW
 Tanzania,58005463.0,LROW
 Western Sahara,603253.0,LROW
Canada,37589262.0,USMCA
United States of America,328239523.0,USMCA
 Kazakhstan,18513930.0,LROW
 Uzbekistan,33580650.0,LROW
 Papua New Guinea,8776109.0,LROW
 Indonesia,270625568.0,EASOC
Argentina,44938712.0,LATAM
 Chile,18952038.0,LATAM
,86790567.0,
 Somalia,10192317.3,LROW
 Kenya,52573973.0,LROW
 Sudan,42813238.0,LROW
 Chad,15946876.0,LROW
 Haiti,11263077.0,LROW
 Dominican Republic,10738958.0,LROW
 Russia,144373535.0,RUSSIA
 Bahamas,389482.0,LROW
,3398.0,
 Norway,5347896.0,LROW
,56225.0,
,140.0,
 East Timor,1293119.0,LROW
 South Africa,58558270.0,LROW
 South Africa,58558270.0,LROW
 South Africa,58558270.0,LROW
 South Africa,58558270.0,LROW
 Lesotho,2125268.0,LROW
 Mexico,127575529.0,USMCA
 Uruguay,3461734.0,LROW
 Brazil,211049527.0,LATAM
 Bolivia,11513100.0,LROW
 Peru,32510453.0,LATAM
 Colombia,50339443.0,LATAM
 Panama,4246439.0,LROW
 Costa Rica,5047561.0,LATAM
 Nicaragua,6545502.0,LROW
 Honduras,9746117.0,LROW
 El Salvador,6453553.0,LROW
 Guatemala,16604026.0,LROW
Belize,390353.0,LROW
 Venezuela,28515829.0,LROW
 Guyana,782766.0,LROW
 Suriname,581363.0,LROW
 France,67059887.0,FRANCE
 Ecuador,17373662.0,LROW
 Puerto Rico,3193694.0,LROW
 Jamaica,2948279.0,LROW
 Cuba,11333483.0,LROW
 Zimbabwe,14645468.0,LROW
 Botswana,2303697.0,LROW
 Namibia,2494530.0,LROW
 Senegal,16296364.0,LROW
 Mali,19658031.0,LROW
 Mauritania,4525696.0,LROW
 Benin,11801151.0,LROW
 Niger,23310715.0,LROW
 Nigeria,200963599.0,LROW
 Cameroon,25876380.0,LROW
 Togo,8082366.0,LROW
 Ghana,30417856.0,LROW
 Cote d’Ivoire,25716544.0,LROW
 Guinea,12771246.0,LROW
 Guinea- Bissau,1920922.0,LROW
 Liberia,4937374.0,LROW
 Sierra Leone,7813215.0,LROW
 Burkina Faso,20321378.0,LROW
 Czech Republic,4745185.0,LROW
