Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Total agriculture impact,A.1,FUND v.3.8,"Damage in agricultural production,Damage in agricultural production level ,Damage in agricultural production due to CO2 fertilisation",Total agriculture impact,,a1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/CeAltxH4iU_D9t9cOIFPgQ/IEcMZ_tAmNcHtzpDomPDh0ONkThLh76Nv4jyFZxbiWlDx4moas3s78at7czwugBJl0JfScFcmrf5otq413jy9vnWdaCQ2q3AV8mrfVRrd0HWTg825AnKiNf_zhhzMA3YD3c4xsOIHpA7vGDeFftRww/Wo55-JSxiUdzVSq5bmKayt9qKkSjCFqWg4VFxevFsmQ),,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=7NEFIDYW))  ,"Food production reduction,Food security reduction",Production,Production,"A_{t,r}=A_{t,r}^{r}+A_{t,r}^{l}+A_{t,r}^{f}",Oui,FUND total agricultural impact
Agriculture impact of the rate of climate change,A.2,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter for impact of climate change on economic welfare ,Non-linearity parameter,Speed of adaptation parameter",Damage in agricultural production,,a2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/wBEW0Grht_RaCWhRBTf6yg/jEh_3WCrqTfgRHDXWK5LkhxfN0W5UadiNnD18Pe79zAlqaE_8vEMCHgIWcLDLalVe0fobNqYPxuallgM_x4ivq-4UQXVTK94GJ6xmDdd8o3D8x6aHZ_KmiEgLcAhYRj6meG-SAA5m6rpMDEanruiUQ/5TiFkrY3F9yBLnNJ5m3CBWf4o2VmQcFPXW1L0TJh2Kw),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=GDB5BXVY))  ,"Food security reduction,Food production reduction",", Temperature",Production,"A_{t,r}^{r}=\alpha_{r}\left(\frac{\Delta T_{t}}{0.04}\right)^{\beta}+\left(1-\frac{1}{\rho}\right)A_{t-1,r}^{r}",Oui,
Agriculture impact of the level of climate change,A.3,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter related to warming of 2.5°C ,Parameter related to warming of 3.2°C ",Damage in agricultural production level ,,a3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/cI_AaFvZZKrApjRaMH1k8A/d8bKOt9rb2vIINT3RK8L8r4eYFaIVq-_Z4atB8rJB8GWOC9bpBvlJBUA_DrK-4pCV328hS4kNBMLaJJANfLlQmY_t0szvOmiDLahPZ1P0-GY-33O90xOSA5R93P29PZZXsemasrAMNZqysTNvhLqCg/vuQhayK5z4otboRcUv2UnMmrzmo0OhgTVZQ4SahgNkc),Quadratic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=XSXBCZLF))  ,"Food production reduction,Food security reduction",", Temperature",Production,"A_{t,r}^{l}\,=\,\delta_{r}^{l}T_{t}\,+\,\delta_{r}^{2}T_{t}^{2}",Oui,"""FUND - agricultural impact of the level of climate change"""
Agriculture impact of fertilisation,A.4,FUND v.3.8,"Time,Region,Pre-industrial concentration of CO2,Atmospheric CO2 concentrations ,Parameter related to CO2 fertilisation",Damage in agricultural production due to CO2 fertilisation,,a4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/ye1FPmKxhmcvj9FFj-F5wA/Gv3DB8pwa3PomlfmzO_UGr8TMQOtZUUvnJjqnFnHvtoqsSBEip4AM95bu86uOnnnnnsgVctaH53lxNntxnh_6Fvq6u9PAuHXx_MjyMHDyBrCVi-9enxlhmzLgCaQppb5Qp81rH9oi9ho-jZzM4irGg/4vDS9fK1mQU9bwHqahOzuy8o-QzfAnpogu4pAeZS_uU),Logarithmic,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=9AKBR3NN))  ,"Food security reduction,Food production reduction",", CO2 concentration",Production,"A_{t,r}^{f}=\nu_{r}\ln\frac{G O2_{t}}{275}\,,",Oui,"""FUND - agricultural impact of the fertilisation"""
Agriculture production relative loss,A.5,FUND v.3.8,"Gross agricultural product,GDP in region r at time t ,Gross domestic product per capita,Time,Region,Income elasticity parameter",,,a5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/_3rMYZ_VOmHCFsUhBxMm6Q/Ka4jLv3SnGLsQxLyyl9eQg18pbxZ9Dvxvve_ypx_2nh7WURXvRd70FFN6vhEgScJWbO19dd43VvtcwV2ImMqSSX90UrDCZegHn8jRc3-YzXr4t4ahTpeq5MmvEPGaiY4P4Uziqk-sqSMqqwBbntJ8Q/5Bqc1r_Li45W1zpXLbLD0RQbAW5L8dHfucocqrGGL3Y),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=YE8XS39V))  ,"Food production reduction,Food security reduction","Production, GDP, ",,"\frac{G A P_{t,r}}{Y_{t,r}}=\frac{G A P_{1990,r}}{Y_{1990,r}}\biggl(\frac{y_{1990,r}}{y_{t,r}}\biggr)^{2}",Oui,
Forestry impact,F.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Global mean temperature ,Parameter for impact of climate change on economic welfare ,Income elasticity parameter ,Expert guess parameter ,Parameter for the effect of doubling atmospheric CO2 concentration on forest value ",Change in forestry consumer and producer surplus ,,f1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/RnWZuys4Hfct7bLld6-O7Q/Mm-2Heags8_pmAhvBW-V_rJIg_Pd9h0cKC8uEFhlk7xWwW6j8jdYf57Zg2PlZewrfVsgIBKQwmOUoQ_4z86oHX48erbkK0vcgDJXmYobxlRW_gDziys_e8EEtjdNDYqmYHrYlFw1NvdrufUJ_u2f1w/ajQDjPxIQelJyHq8soQCyhGPGu7qZ1lC5R_ARTlSdhE),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=GWFZADWT))  ,Loss in terrestrial ecosystem,", GDP, Temperature",Production,"F_{t,r}=\alpha_{r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{s}\left(0.5\left(\frac{T_{t}}{1.0}\right)^{\beta}+0.5\gamma\ln\left(\frac{C O_{2,t}}{275}\right)\right)",Oui,
Water resources impact,W.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Global mean temperature ,Parameter for benchmark impact ,Parameter for economic growth response ,Parameter for population growth response ,Parameter for impact response to warming ,Parameter for technological progress ",Change in water resources ,,w1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/Rn4-sdxkej7DwkN7kyZJlQ/dknaVMus7ESonySong3RULbU0DRhDFbOp3sremzcBaqytrzaHGPHQygFAKtUvrCuF3qZ0AUn_nfK046rZfjytAeLsWvzzVtHDl0fkrYfmSt0C8t7hgmH9hI8FUvO8imhdN0mWJkWg-v3hOEWTpMifA/wffrq40woJ-uQ7rt6uL2WZCMZizIv7EwQV3Bnmfyvb4),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=FCPZZUZT))  ,"Loss in freshwater ecosystem,Water security reduction,Water scarcity",", GDP, Population, Temperature",,"W_{t,r}=\operatorname*{min}\left\{\alpha_{r}Y_{1990,r}(1-\tau)^{\prime-2000}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\not p}\left(\frac{P_{t,r}}{J_{1990,r}}\right)^{\not p}\left(\frac{T_{t}}{1.0}\right)^{\gamma}\frac{Y_{t,r}}{1.0}\right\}",Oui,
Space heating impact,E.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for benchmark impact ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Decrease in expenditure on space heating ,,e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/tvnOQOfm8IM6_RN5I1yyAw/wHc08OXnFOvPdrh9vrPzKMPDsuBhvRLwA6ogoNO89CAqw3ACf-SEibbUDei6Jp9vUhJNI9P0Jg6YVo0MbjwkuvRaRjfwLOpCVVJI_vTwRCw0go05BmUzAqBNCCLIp43l2NoEyZHIlpf3aPg_KASjWQ/S9RgMvLMgPoMrvM0vwQy2mW1RfMSmDAB4j6nEjiY8fg),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=9&annotation=L5D97PP2))  ,,", GDP, Temperature, Population",Consumption,"B_{t}=\operatorname*{max}\left\{\frac{B_{0}}{100},B_{t-}\left(1-\rho-\gamma\frac{\Delta T^{2}}{\tau^{2}}\right)\right\}",Oui,
Space cooling impact,E.2,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for economic growth response ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Increase in expenditure on space cooling ,,e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/jwKUapqSyzRqN1iVl6LmTA/rAUL0cHqFUR3kS_APSufoICGWsir-1p6AijHhNqoKTSBymfq79RMNiaCY2htRGAB_zzYbMUh8La1L-TV8DIs5oHlOX5ljg2Ubplj6x5sNTxjYSbLSa7mJTwUQFzaJMtqiiI4gQY5ckHAqGQ0BpR1MQ/90UC9ySk7lAulZBNu5qp4hnP8WOGJetk-Qg4lC2J-qM),Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=10&annotation=9HNIT94Y))  ,"Extreme heat,""Heat, malnutrition and harm from wildfire""",", GDP, Temperature, Population",Consumption,"S C_{t,r}=\alpha_{r}Y_{1990,r}\left(\frac{T_{t}}{1.0}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\epsilon}\left(\frac{P_{t,r}}{P_{11990,r}}\right)\right/\prod_{s=1,900}^{t}4E E I_{s,r}",Oui,
Potential cumulative dryland impact,SLR.1,FUND v.3.8,"Time,Region,Dryland loss due to one metre sea level rise ,Sea level rise above pre-industrial levels ,Parameter calibrated to a digital elevation model ,Maximum dryland loss in region ",,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1720540800000/C53C0ikousRLbyLsP3pbAg/1ylqRDQ3fJzNI74hAgwNcvy4pXJ7O2zxYM7iSV5jLSTiXU0S-Xlwexu2lDZmU7oFZabMA7tLUqr4-SsrNzH3A1tGCOtQSch_if_fDyt8eu3TfTxOgBS8lHXYgbMQaj9ClOKhSaThCvQqP-RNhaRQkw/6yWmRmPE-31OZw7JaVvSw8JfdosVEH0FY1PhI81iK2U),Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=8NBHZVUR))  ,Loss in terrestrial ecosystem,", Sea level rise",,"\overline{{{C D}}}_{t,r}=\operatorname*{min}[\delta_{r}s_{t}^{\gamma_{r}},\zeta_{r}]",Oui,
