Name,Equation number,Model - new table,Input variable,Output variables,Equation shape,Formule,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name
Total agriculture impact,A.1,FUND v.3.8,"Damage in agricultural production,Damage in agricultural production level ,Damage in agricultural production due to CO2 fertilisation",Total agriculture impact,,a1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/4wvGcKQ0C2gLVcdd2WhC4Q/E5GL3ooJ9p7048vJrgCbpgFVxUjPpm0rno2ykrIOLg5SEc3zFjqTb5mezOa0VunZI_ZhoEnUceVI-5ZuxACdhHJT2vJ-CkqN2EIAiTjUZ1u3j3KypyCAR-rLxd411yt1GAE3T3sJwOyH7eQvLwsK5A/b0W6mKKDhdPlaXXyu63z3R_raYdJZfIUQiP81V2__ek),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=7NEFIDYW))  ,"Food production reduction,Food security reduction",Production,Production,"A_{t,r}=A_{t,r}^{r}+A_{t,r}^{l}+A_{t,r}^{f}",Oui,FUND total agricultural impact
Agriculture impact of the rate of climate change,A.2,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter for impact of climate change on economic welfare ,Non-linearity parameter,Speed of adaptation parameter",Damage in agricultural production,,a2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/0I9d08Bz-3Zs23Cp4nzL0Q/ZtJ0pR7nIHMbIYZLhb4u5_hwxsT8WMAOXNneNwMjT_YeOEA8yTNxGU59yLh6C_ng3GuIlmLaM7TBEL2wEcP5bE5lDZkeiYP_zfwVNQG3b8BaseW0huPVzgclieH18JiRnV5qPtcBii38oA0vtVmQYw/7V4dV-5ZwMZTdcsgkqXr_cpE1vxOEnvfqpneXsDr9vQ),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=GDB5BXVY))  ,"Food security reduction,Food production reduction",", Temperature",Production,"A_{t,r}^{r}=\alpha_{r}\left(\frac{\Delta T_{t}}{0.04}\right)^{\beta}+\left(1-\frac{1}{\rho}\right)A_{t-1,r}^{r}",Oui,
Agriculture impact of the level of climate change,A.3,FUND v.3.8,"Time,Region,Change in regional mean temperature,Parameter related to warming of 2.5°C ,Parameter related to warming of 3.2°C ",Damage in agricultural production level ,,a3.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/OYgeoKqv0jWtsADJo3aKqg/qkFufNWKqb9cBaNA-qzbat-6cpMNPNXiwgeAob7xX1xK9tGrjb58Pqfkb2g7Zs4ZqPcSJcQKEwv0KCo5mdisF04DHN8E-PKKex-3R-lutlHkcR6pWNnJUKR01L8E6zo_TBbQi1t_kAlkwNhKOS2nWA/tc6UbEveqkpElpMFeeLthJF5RqnMWeMriIoQ0-QezpQ),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=6&annotation=XSXBCZLF))  ,"Food production reduction,Food security reduction",", Temperature",Production,"A_{t,r}^{l}\,=\,\delta_{r}^{l}T_{t}\,+\,\delta_{r}^{2}T_{t}^{2}",Oui,"""FUND - agricultural impact of the level of climate change"""
Agriculture impact of fertilisation,A.4,FUND v.3.8,"Time,Region,Pre-industrial concentration of CO2,Atmospheric CO2 concentrations ,Parameter related to CO2 fertilisation",Damage in agricultural production due to CO2 fertilisation,,a4.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/h6PPD_hsiaEtz8OPrye2Vg/NcsQJ95ALmil-2OtPjCFEka_EpuJvRL-q5TGkYvbYV4k8CNwbebxgi62eGlyWX-HYMVwTdurOSh7aa44DX2kjxu2Z0jSsDAP8LFpCh0gveZH69G5YVuGo8ogutfBS-rSmVCFcFr36S-4lQ-xRlhE-Q/0bu6TD-rkg6YxOe6sBo8choZexbnHA0Jo9Viluns1zU),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=9AKBR3NN))  ,"Food security reduction,Food production reduction",", CO2 concentration",Production,"A_{t,r}^{f}=\nu_{r}\ln\frac{G O2_{t}}{275}\,,",Oui,"""FUND - agricultural impact of the fertilisation"""
Agriculture production relative loss,A.5,FUND v.3.8,"Gross agricultural product,GDP in region r at time t ,Gross domestic product per capita,Time,Region,Income elasticity parameter",,,a5.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/G6C18VVHkbC-aHXTQDPIDw/3qH64o_1SpXu5Rl9y8ibcJUBJP9wA8ORcgDkpflp4i_P4gJuipFBY2xfsk8fyTpNdz2TUwzLu4FXIZ1BuDTlwsJXL34R5bX1uCvcn8nK-RKYcbDVyYZOgWvNXSIpEu0Dmi5UpFVYWjuUHeKsUO-pmA/Ol24ExvVccqbZAsV59jVe3NMtHtORl098DvvI1X2Z1U),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=7&annotation=YE8XS39V))  ,"Food production reduction,Food security reduction","Production, GDP, ",,"\frac{G A P_{t,r}}{Y_{t,r}}=\frac{G A P_{1990,r}}{Y_{1990,r}}\biggl(\frac{y_{1990,r}}{y_{t,r}}\biggr)^{2}",Oui,
Forestry impact,F.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Global mean temperature ,Parameter for impact of climate change on economic welfare ,Income elasticity parameter ,Expert guess parameter ,Parameter for the effect of doubling atmospheric CO2 concentration on forest value ",Change in forestry consumer and producer surplus ,,f1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/qM2GZNweHh8swpcREEhHiw/vw5U2TOrkFIMrO0Z7eLPiMQUSDo-IiHIteu3i8cyJZEl3wJy6bcIrNGXbHaQrp_bk-JS3TbguwSeutmHVPVhkIusgx6cURbByjd0_bXJycrg1fR9Y4S_dvkcZUv8KoYLv2J5jfU1_5kLtzCcz3K42g/N8rNqIMl6hK8j-oQLsuOph62Yv0QDDO9wIOfrCb2Gcs),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=GWFZADWT))  ,Loss in terrestrial ecosystem,", GDP, Temperature",Production,"F_{t,r}=\alpha_{r}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{s}\left(0.5\left(\frac{T_{t}}{1.0}\right)^{\beta}+0.5\gamma\ln\left(\frac{C O_{2,t}}{275}\right)\right)",Oui,
Water resources impact,W.1,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population in region r at time t ,Global mean temperature ,Parameter for benchmark impact ,Parameter for economic growth response ,Parameter for population growth response ,Parameter for impact response to warming ,Parameter for technological progress ",Change in water resources ,,w1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/xKHA8VXdqqXJIGAgVc77Rg/zyhFGLl5RNU2kLzuL3Rl6t3ndhpDBmXkY2FSLzhSSqYPQ6mNzB8J2IcM5lwEVSB92Qwq5UzT9IJy0FEHSxXjyuq6qIOAX6BniupqP69YUONAJZ_b_R5KrpSOdVwax_wjCICaFE4-xr_l3UgSIFG1JA/ig2K5CM6Q-ncfkRP_8s15g1GSEK4R2cVbvJwoOmtKHc),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=8&annotation=FCPZZUZT))  ,"Loss in freshwater ecosystem,Water security reduction,Water scarcity",", GDP, Population, Temperature",,"W_{t,r}=\operatorname*{min}\left\{\alpha_{r}Y_{1990,r}(1-\tau)^{\prime-2000}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\not p}\left(\frac{P_{t,r}}{J_{1990,r}}\right)^{\not p}\left(\frac{T_{t}}{1.0}\right)^{\gamma}\frac{Y_{t,r}}{1.0}\right\}",Oui,
Space heating impact,E.1,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for benchmark impact ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Decrease in expenditure on space heating ,,e1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/dTNGaxz5tTd5DiwbIZwsIg/0UQOJZp7lAnbnR7YOilUASMn8KkWwa0CL2u2D7eUfc3lyD4B8kPju6A1HHHl_Dn44LvAdaWHeZsixyW7FCumV_2756hdwVPYALEx_C72zfBpCp_SZDj8IyYFmQMq4fNK92_63VHdttVDAj3NqQaXsA/URSl0TbUQjpRRhWektKHUSdsAR4Ppm1z3ZE34jAapo0),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=9&annotation=L5D97PP2))  ,,", GDP, Temperature, Population",Consumption,"B_{t}=\operatorname*{max}\left\{\frac{B_{0}}{100},B_{t-}\left(1-\rho-\gamma\frac{\Delta T^{2}}{\tau^{2}}\right)\right\}",Oui,
Space cooling impact,E.2,FUND v.3.8,"Time,Region,GDP in region r at time t ,Change in regional mean temperature,Gross domestic product per capita,Population in region r at time t ,Parameter for economic growth response ,Income elasticity of space heating demand ,Autonomous Energy Efficiency Improvement ",Increase in expenditure on space cooling ,,e2.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/U8BkkdCvC6YFJ58Gy-emRQ/NJzjW-chwMbp7DFvTohf27zD2oUVeoffk9ORVIzU0MdXIKaBb0z6NXYXSnspGuhRuTxnBcZiYNhVDYItVF_2KHuFmmidZOqZu4lA98trefAy3ChvwKYMuFLq4b-9pUnt3BCkYPr8YMLg8mTVx7o3Xw/-HEKwLcKjjcvoAWrBX48j2wCAd0kd1VqWEvKGQBzZdM),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=10&annotation=9HNIT94Y))  ,"Extreme heat,""Heat, malnutrition and harm from wildfire""",", GDP, Temperature, Population",Consumption,"S C_{t,r}=\alpha_{r}Y_{1990,r}\left(\frac{T_{t}}{1.0}\right)^{\beta}\left(\frac{y_{t,r}}{y_{1990,r}}\right)^{\epsilon}\left(\frac{P_{t,r}}{P_{11990,r}}\right)\right/\prod_{s=1,900}^{t}4E E I_{s,r}",Oui,
Potential cumulative dryland impact,SLR.1,FUND v.3.8,"Time,Region,Dryland loss due to one metre sea level rise ,Sea level rise above pre-industrial levels ,Parameter calibrated to a digital elevation model ,Maximum dryland loss in region ",,,slr1.png (https://v5.airtableusercontent.com/v3/u/30/30/1718985600000/iODP2grCVohegeCrBwSPnA/EZEjXJpmh2abgPqsHzrgXn0XZ9zU4OukxlCHT521zL-2fBiOswNqef0jersNx0-qVH10Ql2dCj88U6aoH958vAM63u1dxflgmfuJ0HkeD5yq-QFsSb8IvWQEHI1Cd9Na2JLlkhb9nkG2L1sQtQeJGQ/Fstyo99fksNyXIs1VrE4UudkhciFRQHx5dmtL3C5CLA),[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=8NBHZVUR))  ,Loss in terrestrial ecosystem,", Sea level rise",,"\overline{{{C D}}}_{t,r}=\operatorname*{min}[\delta_{r}s_{t}^{\gamma_{r}},\zeta_{r}]",Oui,
