time,WILIAM_RCP4_5,RCP6_0,RCP4_5,RCP2_6,RCP8_5
2000.0,,1.723,1.723,1.723,1.723
2005.0,1.7144909502196166,1.901,1.905,1.904,1.906
2010.0,1.9859848753800393,2.089,2.126,2.129,2.154
2020.0,2.3690093120049958,2.48,2.579,2.584,2.665
2030.0,2.85238386259973,2.854,3.005,2.862,3.276
2040.0,3.312338633771902,3.146,3.411,2.999,3.993
2050.0,3.7877724402466217,3.521,3.766,2.998,4.762
2060.0,4.276296876069173,3.905,4.021,2.918,5.539
2070.0,4.784616580529969,4.443,4.188,2.854,6.299
2080.0,,4.932,4.256,2.808,7.02
2090.0,,5.255,4.265,2.759,7.742
2100.0,,5.481,4.309,2.714,8.388
