,Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment,Model,Equation,isEquation,Interest
0,1975 1995 temp change lt,nvs_1975_1995_temp_change_lt,,DegreesC,"(nan, nan)",Lookup,External,Historic Temperature change from GISS NASA from year 1975 to 1995.,,,,False
1,COAL PRICE HISTORICAL $/t,coal_price_historical_t,,$/t,"(nan, nan)",Auxiliary,with Lookup,Average Coal price of for each year based on the Source: acessed 10.10.2022 - https://tradingeconomics.com/commodity/coal,,,,False
2,Cu demand incl. semi product demand,cu_demand_incl_semi_product_demand,,Mt/Years,"(nan, nan)",Auxiliary,Normal,"Copper demand reported is not accounting for the Copper demand that is needed to produce the final products. With the scaling factor we account for the amount of copper that is needed for semi products. Most of this will end up as new scrap. The reported copper demand is the amount of copper that is consumed in final products. Estimation based on the Source: Loibl, A., & Tercero Espinoza, L. A. (2021). Current challenges in copper recycling: aligning insights from material flow analysis with technological research developments and industry issues in Europe and North America. Resources, Conservation and Recycling, 169(January), 105462. https://doi.org/10.1016/j.resconrec.2021.105462",,,,False
3,DEFINE: 46: EQ damage function,define_46_eq_damage_function,,,"(nan, nan)",Auxiliary,Normal,,DEFINE, 46,True,False
4,DEFINE: 46: eta1,define_46_eta1,,,"(nan, nan)",Constant,Normal,Based on Dietz and Stern (2015); Dt = 50% when Tat=4°C,DEFINE, 46,False,False
5,DEFINE: 46: eta2,define_46_eta2,,,"(nan, nan)",Constant,Normal,Based on Dietz and Stern (2015); Dt = 50% when Tat=4°C,DEFINE, 46,False,False
6,DEFINE: 46: eta3,define_46_eta3,,,"(nan, nan)",Constant,Normal,Based on Dietz and Stern (2015); Dt = 50% when Tat=4°C,DEFINE, 46,False,False
7,DEFINE: 46: exponent,define_46_exponent,,,"(nan, nan)",Constant,Normal,,DEFINE, 46,False,False
8,DEFINE: TOT: EQ DEFINE total impact,define_tot_eq_define_total_impact,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,DEFINE, TOT,True,False
9,DICE: 5: EQ damage function,dice_5_eq_damage_function,,,"(nan, nan)",Auxiliary,Normal,,DICE, 5,True,False
10,DICE: 5: damage function phi 1,dice_5_damage_function_phi_1,,,"(nan, nan)",Constant,Normal,,DICE, 5,False,False
11,DICE: 5: damage function phi2,dice_5_damage_function_phi2,,,"(nan, nan)",Constant,Normal,,DICE, 5,False,False
12,DICE: 6: EQ abatment function,dice_6_eq_abatment_function,,,"(nan, nan)",Auxiliary,Normal,,DICE, 6,True,False
13,DICE: 6: Emissions control rate,dice_6_emissions_control_rate,,,"(nan, nan)",Constant,Normal,TODO: checker cette valeur là,DICE, 6,False,False
14,DICE: 6: abatment theta 1,dice_6_abatment_theta_1,,,"(nan, nan)",Constant,Normal,,DICE, 6,False,False
15,DICE: 6: abatment theta 2,dice_6_abatment_theta_2,,,"(nan, nan)",Constant,Normal,,DICE, 6,False,False
16,DICE: TOT: EQ DICE total impact,dice_tot_eq_dice_total_impact,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,DICE, TOT,True,False
17,DN\_fibre,dn_fibre,['REGIONS 9 I'],g/kcal,"(nan, nan)",Auxiliary,Normal,,,,,False
18,DSK: A.128: EQ shock from climate change,dsk_a128_eq_shock_from_climate_change,,,"(nan, nan)",Constant,Normal,TODO,DSK, A.128,True,False
19,DSK: A.129.1: shock from climate change param 1,dsk_a1291_shock_from_climate_change_param_1,,,"(nan, nan)",Constant,Normal,TODO,DSK, A.129.1,False,False
20,DSK: A.129.2: shock from climate change param 2,dsk_a1292_shock_from_climate_change_param_2,,,"(nan, nan)",Constant,Normal,TODO,DSK, A.129.2,False,False
21,DSK: TOT: EQ DSK total impact,dsk_tot_eq_dsk_total_impact,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,DSK, TOT,True,False
22,EXTRA: EXTRA: GDP modifyer,extra_extra_gdp_modifyer,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,EXTRA, EXTRA,False,False
23,EXTRA: EXTRA: exponent,extra_extra_exponent,,,"(nan, nan)",Constant,Normal,Same as in FUND,EXTRA, EXTRA,False,False
24,EXTRA: EXTRA: normalisation constant,extra_extra_normalisation_constant,,,"(nan, nan)",Constant,Normal,Same as in FUND,EXTRA, EXTRA,False,False
25,FUND: A.1: EQ Total agricultural impact,fund_a1_eq_total_agricultural_impact,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,FUND, A.1,True,False
26,FUND: A.2: DELAYED agricultural impact of the rate of climate change,fund_a2_delayed_agricultural_impact_of_the_rate_of_climate_change,['REGIONS 35 I'],,"(nan, nan)",Stateful,DelayFixed,,FUND, A.2,False,False
